MessageId,ChatId,Order,Read,Edited
nJHVGx,lWvJ,73,False,True
AIzX,Yqcj,12,True,False
WIcosDRZ,uqdAKRjd,43,True,False
XETwQK,FgIOB,65,False,False
iHmA,jJbOsS,15,True,True
pbXvctr,qhFNp,41,False,False
ZN,WIQjfo,13,False,True
zEtCXkh,XeaFdbNb,59,True,True
CzVze,fSsbuz,42,False,True
lQt,TGUYrWmvs,9,False,True
zBM,oxQsrNBBM,66,True,False
aupmvAmK,kmJ,40,False,True
Cz,xSaTm,58,True,False
FZ,DWoQddNEXD,90,False,True
ZsqeCW,nvPxG,31,False,False
dLoFLr,rwz,30,True,True
LlQOcPGIO,GJ,19,False,False
xxhaUZ,KKqFpec,28,False,True
ubmgyWGB,xPWHjVx,4,True,False
DXdHsuy,FPBnHZ,60,True,True
yQock,UdslnJIowK,19,True,False
LZwrYdF,MPXPLp,64,False,False
eaBkndgGc,cUbkKujt,63,True,True
aqCBx,WHHtOhz,23,True,False
oLxjUQGBOf,RvFvZYQ,81,True,True
vGsHfDRB,uWGqbm,90,True,False
mqe,CVLbLfObm,61,True,False
dWJwQjC,mygfUHk,61,True,False
fXepksDr,UF,83,False,True
XyQIgCH,OOgtbj,32,False,True
IJtO,oplLj,74,False,False
yYKuZfz,aZYFBs,96,True,True
gbKdE,arrw,55,True,False
JsZYQCu,idgciydxm,35,True,True
Jwp,xxMFmtT,38,False,False
fY,tnYJHbhzh,27,True,False
Pmp,Chee,91,True,True
Fdl,FUBq,14,True,True
VznwfkAP,ZRHGKVEG,65,True,True
BvUhxpq,lO,100,True,True
dLBsmYA,edv,42,False,False
QSGy,acQNKq,13,False,False
DkzrRckaL,ElFOUNc,4,False,True
PnmlgpW,OkHet,50,False,False
QwDy,ITe,73,True,True
NDra,Bs,46,True,True
EkOrU,qLEbPBjM,84,True,True
uBEntHPsI,CguPpnY,65,False,False
XJwudeYJKw,PyAz,23,False,True
UFDH,hHhuDTYS,66,True,False
gTPxtgF,VGaLvmfF,64,True,True
AJrDoyQI,OqUkgT,47,True,True
fNXqa,VbmUNn,59,False,False
AzTTNYJEhO,hYg,76,False,False
MmhIKiDwAT,aNZu,70,True,False
TtPLkDa,owxR,30,True,True
jsKDeCJj,CJOAcrmms,76,False,True
Mi,ZK,100,True,False
vvPPc,Zifz,8,True,True
kCHtJQ,CzASpaDWG,63,False,True
jbbYAqW,IJH,36,False,True
lHygV,PkSRBayDDD,8,True,False
sMK,LR,81,False,True
luCunyf,SUYqpM,100,False,False
AfAls,bASf,60,True,False
MdBlMJsqh,UEbOIv,3,True,True
owmUVO,WeHB,66,False,False
lV,BzinVwM,57,True,False
bieKKMzNW,xsJvHhfm,14,True,False
ulOTKOCVQ,XMTz,1,True,False
hQgdNRUT,aJJqZQaDg,83,False,True
eGqmDYaq,lnGDkS,67,True,True
AlzO,YsALAjBA,16,True,False
dOlZxOC,COrTkpewg,91,True,True
nSZtJHe,HrhPYg,88,False,False
BtMtEyHa,aGeVompnA,4,True,False
VTReuytUBm,Lo,19,False,True
WyfCxycrm,wOTsUcfLr,80,False,False
lMZUTa,hmVPuEQV,24,True,False
Ouz,RXgcBm,40,True,True
aNsx,UaOHed,1,False,False
ERkuKQTKFS,ieNCME,25,True,False
xbBKRiPMk,yqjRcm,7,True,False
MFr,cWGaHT,40,False,False
zW,NuXqg,99,True,True
zBM,GgnNptDAXN,26,True,True
dHYUyX,nk,4,True,True
Rqvr,iTSYEXh,72,True,False
NVN,FmMbqwx,96,False,True
Mqg,MRXQKAi,9,True,True
lNqor,rLF,39,False,False
PYJxIKIy,YuGvvWTVq,30,True,True
lcXYDmamM,HJOR,12,True,False
FWQBotnqDE,OUb,38,False,False
pni,MhpiA,1,False,True
wIS,Fb,3,True,True
IIr,zWPJlhhE,25,True,True
GX,AZFC,27,True,True
yDAI,xtpFRS,95,True,True
IgO,HketzRm,60,True,False
ByTaVDT,Mv,94,False,False
VD,keGypzO,45,False,False
cVhzqESihb,CdlwB,55,True,False
lCdicolTop,QVGjgelRk,73,False,True
Zwbg,FwMQKPo,87,True,True
LiBoPi,XLND,59,True,True
dtj,XeaFdbNb,79,True,False
oFXQXjL,lUtK,76,False,True
BxFidt,TAqSIOhnzY,27,False,False
zEgqJlnWW,OgiD,16,True,True
GYYCFC,qWb,87,False,False
qpFehwEC,tFvPJoCjd,77,False,True
UwF,LvuyRP,77,True,True
bTJmulgF,jblmTbior,50,False,True
kyG,eODaFebmV,79,True,False
XeJRYaHtp,EmD,95,True,False
svoJiT,Tie,71,False,True
srojNnxeCo,IKTaPMdw,18,True,False
FrJSv,KBS,80,False,True
QSdcMSYAXJ,CdkwvOd,72,False,False
ULjzosW,tkPmvTm,98,False,True
FWHmyGbB,IUDEl,6,False,True
YahcxSPR,pxIDCAytrS,58,False,False
PacyUwgQ,AXlsfJ,88,False,False
qP,frHcyNYl,44,True,True
DrmGc,KMFmnvfYYU,24,False,True
wLec,OGAknRPSd,14,False,True
VTZQLbneb,UZZJrNUXi,91,False,False
OoL,CPy,68,False,True
CrCyEL,wUa,48,False,False
yKjuw,aejo,95,True,True
dKvfjLDB,NQSgggMea,40,False,False
xC,fNzCbIjNUI,35,False,False
DVdkv,Mb,87,False,False
iKnKJLS,RIedhs,50,True,True
iecwQwm,ezMAxcIn,65,False,False
GnJgNQd,dCJoX,8,True,False
nuKZ,VKiiuhy,65,True,False
pMFRKl,KNJYURRYJt,10,False,False
zdDPP,yCinkeNucb,52,True,True
cGa,DknuyB,100,True,False
kDFLxLEtA,XIsuunDPj,57,True,False
ju,CSu,69,True,True
Utn,lWo,9,True,True
HhVjO,DmBKFKGLm,68,True,False
jwcCzjAH,ZNofMBsPE,25,False,True
hQJr,Jk,59,True,False
Fbjjzwood,KMZc,68,False,True
SYXBlw,Bu,94,True,True
WtMSI,PByFl,81,True,False
Jyhu,BrxqDwaqZ,76,True,False
wZrXp,pvgCSvx,76,True,True
fevuyq,Zpni,72,False,True
thtjJazA,eLSzu,89,False,True
IevahaLFIX,YsGS,3,False,True
LlNjG,Jja,29,False,True
nVHqahJD,pAZX,33,True,True
BqUKbEg,jDlvvJ,40,True,False
XJsGDi,ONHCLZKDs,33,True,False
TortIJo,oR,27,True,False
XAKRHBlGRW,fnENICVjKL,20,True,False
yFXFczD,vUfn,4,True,True
gQxu,PhiQZAJz,30,True,False
lAfxBH,NhfLhELYT,96,True,False
GGYnAlMPCL,usCKXO,35,True,False
OaKTrow,vydsttpVC,51,False,True
pEOMTBp,cKoKDlyyt,99,True,False
Cnffla,Fyxlk,30,False,True
tVkMVgOIBN,AiAQVy,35,False,False
kVv,xoSNDOu,41,True,False
Gs,JBSr,66,True,True
vNYs,CMFQqt,93,False,False
mWaed,AThUonZ,73,True,False
gwCaUfJu,yhQrNXz,82,False,False
zY,AiAQVy,43,True,False
uZkPHieNTG,lgH,65,False,False
bK,oswshLo,89,True,True
dKVhGFbvp,AN,47,False,True
mLjah,qWRIdi,93,True,False
eAfFvk,ZJbZTvSZ,64,False,False
jKHjUUkFCG,yxxPq,36,False,True
RgP,oPfkY,51,False,False
aaYDDUJt,DOznlRmtP,33,True,False
sgls,vZsRuqQi,37,True,True
VMGkQbyJt,ZndCM,84,False,True
HIX,Vyfk,53,True,True
GuRo,ClMJDXLgR,11,True,True
xLJcbu,XCgzmqC,68,False,False
BKE,JjFO,91,True,False
If,SOrb,18,False,False
ycLHYmNzN,oYqVasbpvY,50,False,True
fDI,svbFSuvtK,31,False,True
lbCAuG,upykyZfFqT,86,True,False
SqoGwM,qoPz,27,False,True
duCtG,aZHXRqG,50,True,True
LHNJQ,rCR,48,False,False
gTTaBvDC,oBwMZ,15,True,True
NZRAGUIEkl,eZnhi,37,False,False
HvhIoc,JFimOpuRm,62,False,False
ZMBeMakvR,iDTDgjVowg,89,True,True
yDAvug,aZYFBs,41,False,True
JBNTNa,BitIqR,22,True,True
uPIxMjom,PDRKFoKit,56,True,False
PCgVJwyPd,ayGtVKTkKN,20,False,False
fJ,bNcNBdU,18,True,False
TRXpDaz,WneDIC,85,True,True
aIesojD,CKui,92,True,False
qie,HBU,81,True,False
JJEcOMFT,pprZoR,41,False,True
qocMTfx,Yij,20,False,True
sTfltxB,HYEzMpY,79,False,False
vdtQkBaLWd,uatusDSBe,78,False,False
ViNGfvBrv,lubBVs,31,False,False
FTMAb,vbMhiYjdP,94,False,True
DW,sdCSpOuNH,7,True,False
OzOZJsIT,whM,54,False,False
MNhvwq,hHe,63,False,False
MSb,SgW,32,False,False
QbPg,kTlyU,87,True,False
lnRo,XAhvZiGw,78,True,False
gQCzNqtv,LHYdmJC,2,False,True
ZxeEf,VtNenZipkz,83,False,False
dKvfjLDB,GXT,77,True,False
aNtd,LucnE,40,True,True
MFRoUuOJ,hH,63,True,False
kskhWwo,JybKk,87,False,False
oCHR,hnkqAClf,47,True,True
zYZC,UIZFsg,52,False,False
LVomA,KcdLfVbb,59,False,True
NbptbEMZQ,yuxTU,3,True,False
xSzujVPXr,UEcwMKMs,11,True,False
gKsETep,KMZc,60,True,True
WZckGRu,lplTWjt,33,True,True
MdStYbkfX,MmhsA,92,False,False
Hhogs,QPN,49,False,False
LrTGinQN,uTwfjZEoIL,21,False,True
PiAqwC,BrxqDwaqZ,88,False,False
vIqXwPWqk,JIMDMxljT,83,True,False
gFdIoBfBd,tvOUEWBF,69,False,True
dnGbE,ssjh,16,False,False
xI,PUpv,100,False,True
oinEdQEU,QSrIL,78,False,False
XsUPlH,NTZn,81,True,False
YkOdvC,cPaMxF,9,False,False
aNsM,qetg,93,True,True
GKs,NcU,72,True,True
gStOSAbyA,FgtzR,48,True,False
pcxCFZH,dWugBKFHab,13,False,False
YUODoZIQYr,bRCroRX,65,False,True
KISMHyrqy,kmH,68,False,False
PIBa,RXbbCUH,51,False,False
fkmxVh,XkyMT,87,True,True
YokT,Yfvn,66,True,False
sOacklpze,qKL,91,False,False
bDFRi,nlSTaai,78,True,True
nxKldC,ttcslquCe,84,False,True
JQtFAZq,Klft,16,True,True
qYm,ZFYOrjC,1,False,False
FBixse,SSX,78,True,False
zrbb,hAroLQTR,2,False,True
Mqg,lgjTg,77,True,True
vC,UIZFsg,56,True,True
HLpZ,FTK,52,False,True
aJXjtg,tSIpAolxB,54,False,False
AomgpOMyA,BqJI,97,True,False
WigOeadx,TGaKoyMi,43,False,True
XFB,fSVoxs,78,True,True
lHnLfIxIGf,NBEfVG,28,False,False
amFW,Mrf,51,True,False
eBtAqLeUE,ZTXjST,98,True,True
ZQAeYyS,njDPYM,25,True,True
OoOgTBp,wQByA,11,False,False
jcvEwypu,QXFVKTAD,18,False,False
rYIRIsa,VTYezx,70,False,True
lOYcGpRL,JcYgF,40,True,False
uzkBPIY,rj,42,True,True
yso,ryrlCr,52,False,True
qwuhkNQ,PLQiaSBWqR,88,False,True
afD,RkbcNDgrVU,11,True,False
SDIZoM,CQKhHdpKx,22,False,False
KCqZbrvBD,gzKTIKSrQt,9,True,True
RlPqXCQAPj,YpAHqY,2,False,False
sxNaTK,rMp,45,False,True
gvDeP,ttAJvUF,59,True,False
zYyCOka,qPQvkKrwh,76,False,False
lTWsIhcH,Pys,15,False,False
aaYDDUJt,xxeNCZ,38,True,True
sY,ajXTsYq,83,False,True
dBFugVmgFi,vXf,78,False,True
PnGdP,JFrVh,60,True,True
jZOjVIZ,pmLg,41,False,False
AHPHc,mtrpQWhele,20,True,True
OyR,YEI,75,True,True
goGLQ,YVNw,30,True,True
SOSTtegA,XrlOdu,3,False,True
rcpsBYvwLS,vRvKHl,36,True,True
kciu,WEz,50,False,False
bLvqIYKBu,kUcxTTiim,21,True,False
ZEuKMphO,iHyvPdonu,47,True,False
qwELEDkcgv,ziLdxrV,99,False,False
djR,tnQLWVABbc,33,False,True
xskSAKqyvh,MkBGS,83,False,False
xHZlcq,hOrIa,1,False,True
AGjRvicn,GEP,66,False,True
Uu,fogHUYIo,69,False,False
SnoevY,zRXrUhlM,67,False,True
ZAgkcV,biwAg,60,False,True
bbJldvvQNI,ZqMxqOZXF,76,True,False
DaQlHeseZZ,LxEPQD,1,False,False
gxtvS,AQgjQgqn,52,True,True
iZEoCNIpu,snuHSlPEKz,85,False,False
nxGqePwKf,yQxlKxmT,46,False,True
LmsQtu,kGhWj,89,False,False
gQxu,NBEfVG,68,False,False
yOignRzmk,PyAz,20,False,False
ZpOpgKSCc,arrw,97,True,False
MxNU,bpSJBXcZmx,5,True,True
GPigajZC,naKTp,63,False,False
AJiVi,newR,10,True,True
JxcHJZXM,IeaKNzDa,98,True,True
fzyUSZkO,kpUGx,1,True,True
WC,djeqJEj,47,False,True
qIzVTgD,OeW,77,False,False
KyaLluKO,zFDblDaFB,92,True,False
WrNqLuXcd,Me,51,True,True
qmOSg,NDcwnBxIhC,99,True,True
ejtpTQiBU,RkbcNDgrVU,56,False,True
sMK,YEI,12,False,True
vBwh,pPRWonG,25,False,False
qWgTLbhq,YxOHmdS,73,False,True
fikBzjk,JeEU,7,False,True
qcPJXM,dqOx,8,True,False
gvDeP,ppsTlns,31,False,True
SbXISdjaye,FhbTV,57,False,True
GjkAQAONg,lUtK,97,False,False
dOlZxOC,cGcV,84,True,False
rgCAjsNcL,sPHbwJue,31,False,True
GnJgNQd,wPsFnzq,89,True,False
eGqmDYaq,YvoKAeS,15,False,False
UgGiEwrTU,XqOELFkY,41,False,True
wdyStnxe,dEoM,38,True,False
LkuASve,JfeQwWbV,25,False,False
Ncd,UTyUF,2,True,False
HMNT,urMa,9,False,True
vnZMo,zUzhdvh,11,True,True
mhuTlYa,zqt,1,False,False
aPOncPP,PaEbsrXn,24,False,False
ldz,LWtnOY,13,True,True
DCiDgoS,kEjXOngoz,77,True,False
KMGpYIqp,qtJ,61,True,True
wAx,KhDaU,17,True,False
wabXvGB,wGvItF,51,True,True
VbIyWdC,UxvciJOJh,78,False,False
PIONsNiBKQ,gFQnYoJKum,7,False,True
lfB,yokGdmDI,25,False,False
oNSD,nLmYuETUqW,59,True,True
wrY,tvOUEWBF,11,False,False
UhVOLNety,Xw,36,True,True
BSxwFQGrJI,UQFY,65,True,False
KCZq,vNKm,39,True,True
ikBxTNjXr,mXZamc,78,False,False
NGxQZko,hJeWns,20,True,False
hKAlsxn,MC,35,False,True
SgfM,YHsVDLjC,13,True,True
hFkhDmi,smR,10,False,False
kCbVeaR,ICF,22,False,True
RsJ,QHYs,68,False,True
WnpTaAu,yNcUxAOi,82,True,False
YKQpgHDK,KpFIu,18,False,False
sv,EBATf,7,False,True
NkvpkD,bOL,30,True,True
YEDZranIe,vY,42,False,False
oconspzJG,fnQPFo,67,True,True
PimCy,DgzLGAabo,4,False,True
bxx,zxrUkdEr,13,True,True
oaskmNg,zWPJlhhE,23,False,False
EPAQ,BgO,100,True,True
ginuuF,ra,83,True,False
IjnM,yMjOjT,12,True,False
KLmDXHJCL,Jk,43,False,False
VNxq,FPACsddAGG,56,True,False
ZCrvnQw,gyDTgaSGrm,75,True,True
aFS,uatusDSBe,35,True,True
cYIdj,ZBnEijnmn,34,False,True
QGTAQ,OOoVnimbCJ,58,True,False
gVAgkfQ,yC,59,False,True
FNhHqvxttd,kkGh,21,False,False
yFTO,aVFWBj,60,True,False
oIOW,BIkEfEurW,28,False,False
SyF,ACeoojqj,70,True,True
QGGHQA,DQVw,64,False,True
fIjKw,zra,71,False,False
jRo,RfpQmQX,87,False,False
mHvjzWWJVU,UQFY,33,False,True
hBpef,CC,74,True,True
kmEuG,rt,57,False,True
aKPcD,uXowIat,86,False,True
HkTqMdkhgy,qIMFoQnCS,25,True,False
DOZ,pxRN,12,False,True
FhZvRoMMJ,KLbuVASZ,100,True,True
pIzz,GuPOl,80,True,True
DnnDyop,mChuxQuWQF,84,True,True
cBTZG,qLiZwzG,85,True,True
neO,LHDCajzm,70,False,False
jTgha,mtONWO,17,True,False
ehLoUJZq,BUQODnmKyM,65,False,False
vodqEdVgug,BWyy,66,True,True
MQa,yBDCzCa,81,True,False
MreCXIPCRf,MBdKxWBKrh,3,True,True
WnAY,xxyXON,2,False,False
DCP,dqK,7,True,True
FpExLk,uvPmJqQPwL,3,False,True
TVwCisPYk,SilvY,27,False,True
HXgIVJ,zfgqXh,40,True,True
ST,rt,2,True,True
iCJsMcpC,dKRVQRG,22,False,False
dCtJBK,Vew,10,False,True
lbdojALTI,JNTIMa,85,False,False
SbXpTsh,Zah,23,False,True
huySjuLPA,rEQOd,36,True,True
xLszvcBc,VZwxQvWN,55,True,False
OwRBgMjmUy,PgS,56,False,False
yOncp,jd,14,False,False
xjpLYWrJ,OqUkgT,85,False,False
CqHVRO,aJX,9,False,False
ugPjpknVq,zznDuufZE,34,False,True
aKyL,PYe,75,True,False
MiqzzYOH,kFlHe,47,False,False
eXRnRnIE,mxTFUPjlRz,14,True,False
vvFXRhwivI,XGRr,50,False,False
aEBMe,ZPb,22,False,False
aCUDq,FDcorj,42,False,True
hSfLhoUzm,nOOShMTy,68,False,False
jkV,XrlXZNuuEd,26,True,False
yKjuw,ruaflPbRS,69,True,True
YtmLQghJ,ECOxa,41,True,True
BLKIexf,oeMgLOq,46,True,True
hcOl,Dqa,100,False,False
VrWr,omSbSqX,99,False,True
qYmPyEhQP,cUbkKujt,4,False,False
HihqriwK,hIkjLQc,10,False,True
YZOkYtn,yliTMoSI,18,False,True
ftqsLPDzpm,bXibaLS,17,True,True
OHacThZqkx,TRrmoor,42,True,False
WHTVWjo,HBmueEhMd,85,True,False
ZnsPl,VG,16,True,True
WDRG,XgzrpiDeio,87,False,True
PPoIPwf,oqioG,35,False,True
xCtlS,bnQl,84,False,False
qdZLkYBEx,WAUyh,65,False,True
bViicmKxLl,ICF,84,True,False
eNhRkRof,YDeVoBs,60,False,False
wiYpVxjqR,RkKmKc,38,True,True
vXd,UjixiLPPAe,57,False,False
DkElgNd,BF,62,False,True
OaGHMll,fV,83,True,False
nrkMn,ZPb,74,True,False
aNsx,qiys,6,True,True
FeUaNX,KMZc,29,True,True
DZaXiWcBmo,tTxzBG,4,False,True
DgZ,jCvjFl,63,False,True
xyMg,PBtyTscktp,33,True,True
rGyxKb,oPc,3,False,False
mNdxCfwQxK,NrlLI,46,True,False
jXXHqR,RBvwAAibB,64,False,False
euLm,TBuY,3,False,False
qjN,fl,32,False,True
FeStBm,pdLQIdgIYM,43,False,True
rhNFmlri,ZWDGa,2,False,False
LAHPkQXdJq,Ebq,63,False,False
rmqqrdOnZ,XQz,69,False,False
DPWq,jlZxkXvKt,37,False,True
OnKoJP,VeaD,17,True,False
JbL,vDqzbD,76,False,True
syEWsqB,XrlXZNuuEd,46,True,False
rQkZVHx,WuaHVg,54,True,True
wJcCcnp,acQNKq,62,False,True
HvxVEDeYoL,Bdpd,98,False,False
eVfrl,sHiKaL,72,False,True
QnTbLd,xcvgYjZg,76,True,True
AHPHc,LwNqmXsD,45,True,True
boV,BQ,51,False,False
DyzSC,jOaGirmOqe,33,False,False
LrTGinQN,oFwRbPJ,72,True,False
VOIRs,lVLvUSVpzg,58,False,False
gTTaBvDC,mLlaaCGx,17,True,True
AjBomD,EuNAJo,94,True,False
cUBLXcj,FzqT,90,True,True
eFfMzVst,jTxxsifF,45,True,True
QptTvkXsN,lDd,83,False,True
emMtkRCUN,wdYkNC,60,True,True
BGesYWUwSO,JcYgF,78,True,True
SCcm,PwHsDCayP,38,False,True
nYMNy,ArDi,99,True,False
HkLibRU,zxrUkdEr,60,False,False
XbIKLmDY,hh,47,True,True
mfBpvKE,ibRM,60,False,True
pIFSV,PwHsDCayP,23,False,False
uOwsWF,ccYokJ,9,False,True
aLzKsPC,nPHpkfx,59,False,True
HTnFtCTV,NTZn,53,False,True
IkhwUrtG,nJZ,85,False,False
OwlUOPjc,FcSDzMr,22,False,False
vRStXJceT,HVsODO,81,False,False
wXNb,CzASpaDWG,7,False,True
YbCPdSyUP,capqnLfA,72,True,True
znFc,PDRKFoKit,83,False,False
OWyrNb,SzBLhMf,54,False,False
ZkMphRid,YBcfzCdUad,4,False,True
ElrNwu,vsqefAD,90,False,True
TQg,BhW,79,True,False
oDuptQOebL,MjNCi,78,True,True
cekXiqc,GfXi,31,False,False
VznwfkAP,ZLc,4,False,True
wMm,hylRDvFdj,32,True,False
cESrAyVX,kne,43,False,True
lJSbcfAq,OA,35,False,False
vBwh,YvmiF,52,False,True
cekXiqc,QznRHmD,31,False,True
HXPdXFHiXU,vjVsqGG,62,False,False
fugKzOxV,YHsVDLjC,67,False,True
xLszvcBc,hWLJVzvDT,15,True,False
uLgKXqHu,DANeJrVtO,82,False,False
XTJPOHh,pdLQIdgIYM,80,False,False
vJFYo,SbymzD,99,False,False
rwuNnsbC,lN,56,False,True
Mg,yCJZJ,28,True,False
lfbPogS,nbo,17,True,False
uUVpgBpYj,FPymaLEUUN,66,False,False
hwjzRg,VXe,66,True,True
qjN,GcStkCFi,60,True,True
cGtZC,MenkVFMd,7,False,True
VNxq,YHC,88,False,False
aEh,UyUild,73,False,True
LWIjRYYZ,DVhLii,93,False,True
tiy,NqStflMUQP,6,False,False
YOD,EV,23,True,False
snASFmyV,IgDXgkBI,94,True,False
ujlAIXuH,bwBzNQOaG,45,True,True
wdyStnxe,wrkdcrWpxl,3,False,False
lvZlEdN,GQHiGSr,82,True,False
RRqzS,vqkvgaE,88,False,True
vAPASHO,tUDBiyM,74,False,True
HgF,SfTTQeXeO,68,False,False
yGoMFXzdDg,fBLta,61,False,False
rnKCHKyKM,cCQirIBlpZ,57,True,False
SjOg,uTHxnuSJ,53,True,True
KkdgIxUYKw,XEQPABein,70,False,True
wocc,oVbsWT,55,False,True
xZZCigw,fENgTZEH,38,False,True
