FollowerTag,FollowedTag,Date,Hour,IsMuted,NotificationsActive
foxjoseph,gabrielle99,2020-06-24,02:43,True,False
vjones,haleyperez,2022-10-22,04:42,False,True
sawyerjoshua,shelley28,2021-11-23,05:08,False,True
coreychambers,anthonyryan,2021-05-11,13:24,False,True
vfleming,prattmark,2021-01-18,21:13,False,True
matthewbeck,annakane,2021-07-20,09:03,True,False
imorales,gailchen,2022-05-30,09:50,False,True
elliottbradley,rhampton,2021-07-11,13:38,True,False
johnhall,briannawilson,2022-10-31,14:55,True,False
lgordon,aaron34,2021-01-06,06:23,False,True
jacksonjacqueline,jameslewis,2024-03-24,22:22,True,False
joshuacortez,kathy58,2021-02-25,12:46,False,True
reyesconnie,gsmith,2020-08-28,02:53,True,False
vsimon,idixon,2020-03-13,23:03,True,False
lindaalexander,fbooker,2022-05-30,09:28,True,False
nunezlynn,flarson,2020-10-14,12:25,False,True
jonathan75,jamesvaughan,2024-01-20,02:23,True,False
williscarla,christinegarner,2022-12-07,10:40,False,True
stephen75,reynoldskaitlyn,2023-01-01,21:12,False,True
delliott,amandarodriguez,2020-09-24,10:28,False,True
fischergail,mary00,2024-01-18,16:42,True,False
lisa63,timothy46,2021-08-26,07:12,True,False
keith79,qlopez,2022-07-21,04:28,True,False
nlindsey,john38,2022-01-08,12:26,False,True
fosterscott,alejandro85,2020-06-19,21:12,True,False
bchan,bowerspamela,2020-09-16,15:39,False,True
gail37,mario69,2020-03-11,11:34,False,True
jonesangela,geraldjohnson,2022-07-03,13:24,True,False
ybird,caitlinmartin,2023-06-24,19:51,False,True
mario69,brockroger,2020-10-24,03:33,True,False
marcus26,jillmartin,2020-07-08,15:25,False,True
amber83,ashley71,2021-11-02,08:26,False,True
lisalong,hillmichael,2022-12-09,05:24,False,True
david14,spearsjames,2023-01-22,20:16,True,False
amymiller,preese,2021-03-03,06:16,False,True
wroberts,kimberlyjordan,2021-12-08,02:51,True,False
david93,medinashawn,2023-06-03,19:37,True,False
nbanks,gordonrichard,2021-02-14,01:47,False,True
michaelsmith,robertslinda,2020-10-03,10:26,True,False
regina82,melvin55,2023-08-12,13:00,True,False
davislisa,cynthia76,2021-04-07,07:11,False,True
jaimebyrd,colemannicholas,2023-04-30,03:04,False,True
floreshoward,amanda12,2023-09-23,11:48,False,True
bradleychoi,christinegrant,2024-03-18,22:55,True,False
mwilson,paulaphelps,2020-06-21,22:31,False,True
kathryn17,susandavis,2021-04-20,13:26,True,False
wcarroll,colton33,2021-03-30,11:13,False,True
youngmichael,orrjeff,2022-11-05,03:39,False,True
jeanettehughes,zharmon,2024-04-02,22:46,False,True
nshaw,brownkimberly,2024-01-05,13:47,True,False
johnhansen,erin45,2021-06-07,23:15,False,True
gregory25,jeffrey60,2023-07-22,19:27,True,False
benjamin25,watkinswilliam,2023-07-11,03:36,False,True
natasha06,hillmichael,2022-05-22,12:29,True,False
calebweaver,tdavis,2020-09-30,04:15,True,False
aaron23,crawfordmadison,2021-01-29,09:06,False,True
agill,michael45,2020-03-03,03:27,False,True
erikacraig,james66,2023-01-15,13:54,True,False
christina56,sheilameza,2022-12-17,11:43,True,False
kkane,matthewjohnson,2022-01-07,12:59,False,True
ricardo28,ramireztraci,2022-06-13,19:52,False,True
cruztanya,mooremelissa,2023-10-28,16:38,True,False
albert48,qsmith,2021-06-30,13:45,False,True
lturner,shannonwhite,2022-12-04,00:19,True,False
amymorgan,conniehayes,2021-10-17,14:00,False,True
timothy14,thomas84,2024-04-10,22:00,True,False
wilcoxbrian,gnash,2023-04-15,09:39,False,True
beckerkimberly,lmunoz,2021-12-08,10:53,False,True
tgarcia,vwashington,2020-06-06,19:21,False,True
madison15,gregory11,2023-08-13,14:09,True,False
barbermitchell,qmurray,2023-10-22,18:19,True,False
aaron61,mckinneyjulie,2021-04-28,16:24,True,False
karen48,kimberlywalter,2021-03-09,15:34,False,True
douglasmyers,fuentesariel,2023-11-09,06:11,True,False
owilliams,amanda14,2022-12-09,08:05,True,False
frances63,joannachavez,2021-10-29,10:38,False,True
reedandrew,qjensen,2020-08-14,10:40,False,True
leslie32,tmiller,2024-01-17,13:46,True,False
jensenlynn,awalker,2022-01-24,03:46,False,True
christianwilson,johndickerson,2020-02-13,22:11,False,True
aguilarcrystal,janice55,2020-04-02,19:31,True,False
melodynelson,vwashington,2020-01-04,18:42,True,False
turnerwilliam,careyjoseph,2022-05-23,12:58,True,False
forddonald,awest,2021-03-05,12:01,False,True
jodi36,williamjordan,2023-07-31,04:05,False,True
mary39,garretteric,2020-01-03,14:57,False,True
michael07,rachel76,2020-08-28,05:31,True,False
kathy73,anthonyryan,2020-02-03,17:49,False,True
ashleyrice,hollyschultz,2022-12-31,09:27,True,False
pcarson,christophermaxwell,2022-04-11,02:38,False,True
gina70,sarahsantos,2023-12-31,01:48,False,True
kdawson,holly47,2024-01-06,16:41,False,True
whitney45,figueroaamy,2023-10-22,23:08,False,True
audreymorrow,wsalinas,2021-01-13,20:14,True,False
mitchell58,donna25,2023-12-18,21:46,True,False
shanebarnes,jose11,2022-05-09,06:58,False,True
twells,patrickmays,2020-01-29,10:44,False,True
nicole37,flowersbrett,2021-01-01,12:06,True,False
rosalesmaria,nicholas75,2021-04-04,14:25,True,False
ian90,michael86,2020-09-17,03:31,True,False
oalvarez,zbrown,2022-10-14,18:26,False,True
francisco63,donnaowens,2021-05-22,13:59,False,True
obaker,farleysteven,2021-06-17,15:30,False,True
baldwingregory,keydiane,2023-07-30,06:54,False,True
rebecca61,ajimenez,2023-11-30,11:27,False,True
tinathomas,taylorgardner,2023-03-23,15:00,True,False
ricardo28,billy08,2020-06-21,11:55,True,False
theresamiller,steve31,2021-04-22,20:05,False,True
tatkins,mcdaniellisa,2020-12-21,08:32,False,True
bairdcameron,vwhite,2023-04-30,05:21,True,False
richardserrano,chungkristin,2020-01-13,00:07,True,False
brianlewis,blevinsmadison,2021-01-13,23:40,True,False
gailchen,hclark,2022-10-08,06:54,True,False
brentgutierrez,darrell29,2020-08-08,07:52,True,False
danaterrell,snyderleroy,2021-05-11,02:10,False,True
pkennedy,lowefernando,2020-02-15,10:47,True,False
kenneth66,whitney47,2023-07-17,23:49,True,False
kimberlycarpenter,wdickson,2021-09-03,04:35,False,True
robinsonbill,susandavis,2023-06-12,16:41,True,False
anitawalsh,john83,2020-10-11,19:22,True,False
sherry44,sarahsantos,2023-11-16,00:09,True,False
qbrown,smithjeffery,2020-11-11,18:56,True,False
jesusgrant,denisejohnson,2024-03-12,20:04,True,False
earl91,norrisanthony,2022-12-29,13:33,False,True
codyreid,ewingcrystal,2023-02-25,11:58,False,True
tanner92,christinalarson,2022-12-17,20:57,False,True
onealdavid,bassdavid,2021-09-21,08:34,False,True
ricejoshua,qsullivan,2020-02-27,09:43,False,True
scottballard,rosscaitlyn,2021-08-13,18:48,False,True
wsullivan,trevor62,2022-06-01,20:58,False,True
nbrewer,pcruz,2021-04-04,16:10,False,True
vmarquez,ericawheeler,2020-11-21,18:24,True,False
ianalexander,rebecca93,2023-09-21,23:39,True,False
craignoble,fischergail,2021-05-28,13:19,True,False
austinthomas,markgonzalez,2022-07-05,00:21,False,True
shellybrown,alex17,2022-02-10,03:45,False,True
joshua79,nicholas33,2021-06-25,23:49,True,False
sharon94,jaredmartinez,2020-06-28,23:45,False,True
dianabaker,jonathan35,2021-09-02,06:07,False,True
lisa26,ustone,2021-03-29,05:41,True,False
leefrancisco,matthew52,2021-07-04,13:46,True,False
grahamkellie,meganward,2023-02-10,11:20,True,False
shawn49,williamselizabeth,2022-01-29,03:20,False,True
tina24,tammy51,2022-12-25,23:54,False,True
kimberlybrown,deborahconner,2024-02-18,19:16,False,True
ivanacosta,peter07,2023-03-18,22:07,False,True
martinjacqueline,ocarter,2021-02-28,18:26,False,True
stephenwright,lmurphy,2023-09-05,03:43,True,False
westkevin,melissa48,2024-03-18,13:24,False,True
michellemonroe,stephenmiller,2023-09-13,14:14,False,True
cruztanya,rachel21,2022-03-15,11:05,True,False
lpadilla,rhonda75,2021-09-17,09:28,True,False
kingjohn,cleach,2021-02-17,14:38,False,True
jeffroberson,millerkelli,2021-02-13,16:21,True,False
codyfisher,lbranch,2023-05-15,21:43,True,False
nhodge,fbowers,2020-11-19,23:19,True,False
danielsalazar,tgreen,2024-01-20,14:43,True,False
carlos08,johnsongail,2021-03-16,11:49,False,True
fkemp,rebekahclayton,2022-11-16,00:48,True,False
joseph11,ryancortez,2020-11-28,01:01,False,True
lowebrian,barnesandrew,2023-03-25,20:26,False,True
wgreen,gailchen,2023-09-06,22:43,True,False
mark37,joe10,2021-06-04,00:33,False,True
alexander05,garciaeric,2022-08-02,04:12,True,False
twise,james97,2020-06-10,02:41,True,False
hallen,jesse08,2021-03-10,05:07,True,False
caleb58,thomasmayer,2020-05-22,04:32,True,False
brownamanda,xmahoney,2023-08-24,17:30,True,False
sking,steinrachel,2020-04-13,00:44,True,False
ecombs,joshuaellison,2020-01-10,07:40,False,True
caseyramirez,cynthia61,2020-11-12,21:44,True,False
martinlonnie,lori38,2022-10-03,18:40,True,False
jeanettehughes,lisahenry,2023-12-08,05:35,False,True
johnpadilla,jessica92,2022-04-01,08:57,False,True
stewarteric,nbrewer,2023-03-24,22:46,True,False
cfrench,barkeramy,2020-01-30,23:38,False,True
suarezjennifer,alexanderterri,2024-01-04,08:00,True,False
penaricardo,lisa38,2020-01-01,20:03,True,False
apeterson,rhondawilliamson,2023-03-09,19:54,False,True
lisacunningham,copelandkrystal,2022-01-23,14:09,False,True
jacksontiffany,torrestony,2022-04-02,10:27,False,True
steven30,rbell,2020-12-31,14:48,False,True
woodsdavid,brownamanda,2021-07-31,12:32,False,True
rking,jared20,2021-10-16,15:38,True,False
kimberlylawrence,kayleecooley,2024-01-21,15:55,True,False
onealdavid,amanda21,2020-12-12,15:19,False,True
pjacobs,turnerwilliam,2022-09-29,23:50,False,True
dustinlewis,garciapatricia,2021-03-04,22:17,True,False
abailey,gaineszachary,2020-10-13,01:56,True,False
palmerjessica,thomas51,2021-10-07,10:25,False,True
amber83,tara81,2022-12-18,10:31,False,True
lowedeborah,johnsonjacob,2020-08-18,08:27,True,False
rhall,stewarttodd,2020-11-28,16:18,False,True
jerry70,pgates,2020-08-31,20:26,True,False
sjones,thomas65,2020-05-16,10:25,False,True
ryanwilson,vthomas,2023-10-24,11:36,True,False
matthew09,sreynolds,2021-01-27,13:24,True,False
rcaldwell,armstronglauren,2020-12-03,07:10,False,True
sharonwatson,michaeljoy,2021-06-17,06:48,True,False
nmorales,robertslinda,2022-05-20,04:07,True,False
reedandrew,gatesmichael,2023-08-21,00:43,False,True
phillip98,benjaminkim,2022-07-29,21:58,False,True
diane81,lowedeborah,2021-12-12,07:13,True,False
hallbrandi,nelsonsandra,2022-04-09,13:48,False,True
cstanley,matthew48,2023-04-13,22:54,False,True
aaron55,seandavis,2021-10-31,08:02,False,True
kunderwood,edward14,2021-01-28,03:46,True,False
obowman,shawn49,2020-08-11,03:25,True,False
leslie32,riley14,2020-12-29,02:26,False,True
bhenry,mcmillanthomas,2021-04-13,03:45,True,False
jfranco,leejudy,2022-02-05,08:35,True,False
kevin00,umorrison,2021-10-04,09:19,False,True
obrown,debramartin,2023-03-17,12:38,False,True
vbarajas,johnedwards,2023-03-21,18:50,True,False
swansonjasmine,charles70,2021-10-22,21:51,True,False
ian90,smithjohn,2020-08-20,22:39,True,False
johnny07,xscott,2023-05-02,02:15,False,True
fieldsdebra,kathleen18,2022-12-26,09:06,False,True
bdougherty,alexander77,2020-05-02,21:38,True,False
tinathomas,fwoods,2021-12-23,02:22,True,False
lindseyking,natashajackson,2022-10-04,12:41,True,False
crussell,marycoffey,2023-05-22,03:00,False,True
leonchristopher,davismaria,2021-07-09,13:02,False,True
kevinmorgan,hodgeskendra,2021-11-25,01:30,False,True
jasonreeves,william51,2020-11-02,02:13,False,True
ikoch,westkristina,2023-05-18,11:16,False,True
neil92,shanesmith,2021-01-03,19:08,True,False
christianmaldonado,jessicaking,2022-01-22,18:23,False,True
evanschristopher,adorsey,2022-01-29,10:34,False,True
kathryn39,sharitrujillo,2021-02-07,14:06,False,True
robert61,ystone,2022-05-11,17:29,True,False
alexandercunningham,adkinsjennifer,2022-06-01,12:11,True,False
tatkins,gcampos,2023-02-27,01:23,False,True
wileyjamie,ujones,2023-12-09,23:02,True,False
kyle25,holmescarlos,2024-03-20,05:07,True,False
jacquelinelambert,daniel53,2020-05-06,18:43,True,False
ybarrett,zacharyevans,2020-03-02,09:14,False,True
fyoung,johndickerson,2022-12-30,06:34,False,True
beardvanessa,rperry,2022-09-30,01:49,True,False
award,amartin,2020-10-18,06:28,True,False
thomas61,bradleywalter,2023-08-19,16:59,False,True
bkidd,pricechristopher,2020-01-12,04:58,True,False
obarrera,austinerik,2020-02-18,21:16,False,True
coxkeith,jacobsrobin,2020-03-16,12:14,False,True
anthony67,wsalinas,2020-10-19,16:25,False,True
mcdaniellisa,alejandrapowell,2022-09-27,05:33,True,False
idixon,james43,2021-06-25,23:20,True,False
sarahpotts,kathyavila,2020-11-28,01:17,True,False
leeerica,ijohnson,2022-06-29,19:16,True,False
michael67,bhull,2020-08-11,13:02,True,False
ohancock,stacey47,2024-02-22,01:36,True,False
alexandergeorge,cking,2020-06-04,16:56,False,True
greenkelly,sabrina24,2020-04-10,23:38,False,True
harryphillips,cmcclain,2022-11-10,06:13,False,True
campbelljuan,bobbyhays,2023-07-22,03:19,False,True
fgomez,gomezcory,2022-06-10,23:41,False,True
christopher32,kenneth40,2022-11-17,04:22,False,True
michael91,brettmurphy,2021-01-29,04:36,True,False
kevingreene,rebekah66,2021-04-03,01:04,True,False
sheila66,samueljordan,2022-08-02,15:52,False,True
shelly66,wbond,2023-11-21,04:48,False,True
browncalvin,james29,2021-04-02,15:55,False,True
nhodge,yward,2021-01-24,13:59,False,True
rachelmoore,geraldwiggins,2021-03-11,21:36,True,False
qschneider,montgomeryscott,2023-05-08,10:33,False,True
beverlyprince,haleyperez,2022-08-17,18:50,False,True
douglaswilson,shenderson,2022-11-23,21:30,False,True
zparsons,barbarariddle,2022-07-01,21:21,True,False
megan78,wcoleman,2024-04-02,14:28,False,True
fanderson,stevenssean,2023-05-01,16:05,True,False
abenson,lbranch,2021-05-05,07:28,False,True
cwilson,brownamanda,2023-04-11,03:51,True,False
jenna20,andersonjoseph,2022-05-27,21:35,True,False
nicole50,hawkinsrandall,2023-02-19,22:51,False,True
mcdonaldgregory,richard64,2022-06-19,14:08,False,True
chandlerbrian,thomasapril,2021-12-29,06:30,False,True
zperez,matthewhughes,2023-11-23,04:59,True,False
williamthomas,annettekelly,2024-01-17,19:01,False,True
jamesanthony,bmorgan,2021-12-30,04:01,False,True
brownkaren,umoyer,2023-06-15,12:50,False,True
ubarnes,jason35,2020-09-28,23:54,True,False
sjackson,daniellemay,2021-07-31,15:35,False,True
kathy58,nancy18,2021-06-20,13:38,False,True
griffithpamela,opatterson,2020-01-08,07:11,False,True
jennifer98,john44,2020-03-24,05:00,False,True
reyessamantha,gregory11,2021-11-29,04:51,False,True
reedandrew,dylanscott,2024-01-21,23:52,False,True
slin,qnavarro,2020-03-24,21:41,False,True
tammy51,nancyharris,2021-11-09,00:23,True,False
cduncan,emily96,2022-09-25,06:21,True,False
wmorales,alexanderjeffrey,2021-08-10,05:04,True,False
umartinez,bowmanashley,2021-06-30,15:48,True,False
bradleydaniel,martinjacqueline,2022-10-24,08:07,False,True
tgross,lesterbrooke,2020-01-28,08:45,False,True
kguzman,daniel26,2020-11-14,16:31,False,True
jon75,richard58,2023-04-15,12:19,False,True
charles73,jameswhite,2020-06-23,14:58,True,False
williamscarlos,christopher24,2020-01-19,05:04,False,True
igrant,kathleenmartin,2023-10-25,17:25,False,True
aestrada,joseph56,2023-07-10,23:03,True,False
latasha99,thorntonkaren,2020-06-15,11:20,True,False
volson,rebekahrodriguez,2024-01-29,12:44,False,True
pedro57,gonzalesjody,2021-12-05,20:06,True,False
xwilliams,youngtimothy,2022-09-10,23:14,False,True
jenniferpatrick,rachelmitchell,2022-03-22,06:58,True,False
msellers,nicole37,2020-01-24,16:42,False,True
englishcarol,whitejoshua,2020-04-05,09:20,False,True
codypeterson,qhart,2024-03-29,20:37,True,False
eileenharper,alexander61,2020-03-30,03:16,True,False
carternathaniel,krystal34,2020-05-24,23:09,True,False
lisacummings,bryan07,2022-08-22,18:45,False,True
robertwright,christopherbaker,2021-08-09,04:12,True,False
leelaura,uwilson,2021-07-10,02:02,True,False
anthonylee,nsmith,2022-02-24,08:06,True,False
mcmillanzachary,milesjason,2020-11-02,21:49,False,True
jacksonroger,raymond06,2023-05-03,10:07,False,True
jeremybooth,luis59,2021-03-14,13:24,True,False
wrightdonald,bhull,2022-04-13,07:20,False,True
christopher57,thall,2023-12-28,02:56,False,True
barkeramy,richardhorn,2022-09-15,01:44,True,False
crawfordpatrick,bobbyhays,2023-01-13,04:02,False,True
tracy74,ojohnson,2021-01-20,06:32,False,True
thomasjerry,haneysusan,2021-08-24,02:27,True,False
ystone,beardronald,2023-10-08,03:01,False,True
aaronalvarado,rgreen,2020-07-23,02:08,False,True
ztucker,barkerangela,2022-11-22,23:22,False,True
ureid,campbelljuan,2022-03-31,12:13,True,False
tammybell,heatherrodriguez,2022-06-28,04:24,True,False
michelle08,mitchellmedina,2022-06-05,04:37,False,True
pjohnson,sextonbrenda,2021-08-07,17:43,True,False
hermanwendy,debrawright,2023-09-06,21:26,False,True
tuckerjohn,turnerrobert,2020-08-04,02:08,True,False
taylorjacqueline,mlopez,2020-07-19,13:05,True,False
zacharysmith,john75,2020-01-23,18:33,True,False
jonesmelissa,stevenssean,2021-07-18,02:22,False,True
rbarnes,rstone,2022-12-01,14:44,False,True
gwatson,fbryan,2024-03-20,15:51,False,True
anaschneider,abigailowens,2022-12-24,11:12,False,True
gregory62,nelsonjoshua,2023-06-01,03:46,True,False
freemandanielle,whiteshannon,2021-03-04,21:15,False,True
jayalexander,martinezmichele,2022-02-19,21:46,False,True
lisalong,griffithpamela,2023-06-10,16:52,True,False
kempmonique,jcook,2021-02-19,16:29,True,False
ygutierrez,alexandragonzalez,2021-08-05,23:01,True,False
tmyers,donaldfranklin,2022-08-27,11:37,True,False
dmoreno,iarias,2024-04-13,05:55,True,False
josebutler,david14,2020-11-27,23:24,True,False
galvantimothy,maxwellstephanie,2021-08-23,20:38,False,True
christopher01,dianabaker,2021-02-28,02:23,True,False
jeremiah07,jacobmedina,2020-10-11,17:12,False,True
dmercer,kimberlylawrence,2021-05-08,08:41,True,False
john38,mark36,2021-01-26,23:14,True,False
jennifer35,schneiderbrenda,2023-11-24,04:07,True,False
fburgess,kennethsandoval,2021-09-15,15:22,True,False
katiewebb,andrewbrown,2024-02-10,04:43,True,False
robin02,fergusonjennifer,2020-12-13,02:47,True,False
bryan55,pamela10,2021-11-25,12:03,False,True
melissa62,oprice,2020-11-05,15:41,False,True
dominic59,rivershelen,2021-07-23,16:41,True,False
rhonda57,danielgutierrez,2023-04-08,00:20,False,True
youngrobert,matthew67,2023-03-10,11:28,True,False
cgreen,pattontimothy,2023-02-19,05:13,True,False
wilsoncourtney,amanda46,2023-07-18,01:28,True,False
vbarajas,leachbrandon,2023-12-27,10:39,True,False
traceybates,john07,2022-05-01,18:36,True,False
erika10,ruiztheodore,2021-09-01,00:07,True,False
robert66,gbennett,2020-11-24,01:40,False,True
sheridean,rebeccagardner,2020-06-13,03:30,False,True
ashleylloyd,qboyd,2022-03-30,18:13,False,True
vsanchez,johnhowell,2022-09-03,22:47,True,False
tgreen,zharmon,2020-09-27,13:51,False,True
angelabest,johnrollins,2022-05-13,19:39,False,True
jbrown,williamwright,2021-05-25,12:15,True,False
morganjessica,adam57,2023-08-04,14:54,True,False
russelllindsey,jacquelinekeller,2022-09-28,09:04,False,True
alexander18,johnhicks,2021-10-14,08:39,True,False
gsanders,scunningham,2024-02-23,08:13,False,True
ccastaneda,nathanward,2020-09-08,11:46,True,False
frances63,kramerdawn,2022-11-11,18:05,False,True
zbarnes,rberger,2023-08-06,09:18,True,False
hickslisa,timothynguyen,2021-12-09,19:23,False,True
carrollconnie,leejudy,2020-11-04,17:53,True,False
smithaustin,melissa36,2021-02-14,05:05,False,True
maciasnancy,silvadouglas,2023-02-11,03:36,False,True
johnsonsarah,maynardandrea,2021-07-16,12:15,True,False
lisalong,zacharysmith,2020-04-13,21:16,False,True
joseph56,patricklarson,2020-01-23,15:22,True,False
jenniferwatson,jenniferperez,2021-10-30,20:03,False,True
fbowers,timothywilliams,2023-05-20,19:06,False,True
uheath,stacey47,2022-03-26,17:18,True,False
lmichael,smithmegan,2023-07-11,21:57,True,False
william81,marcuscross,2021-06-10,00:30,True,False
jacob39,sabrinastein,2021-06-24,09:12,False,True
heatherrodriguez,millercrystal,2024-01-20,01:57,False,True
srodgers,cooperjoshua,2022-01-08,22:09,True,False
amanda17,tuckerlarry,2022-09-05,20:53,False,True
lauriecooley,christopher70,2023-06-23,09:09,True,False
neil92,bhoward,2020-08-14,00:05,True,False
jonessean,williamsbrandon,2020-07-03,00:43,False,True
heather18,klyons,2022-11-25,18:45,False,True
denise52,claytonlisa,2020-06-25,17:33,False,True
gregorysimmons,mwright,2021-10-22,12:44,False,True
robert84,zcampbell,2021-01-02,01:10,True,False
hensleyjason,rfrazier,2023-06-30,13:08,False,True
brianlewis,mendozamichael,2023-09-17,21:25,True,False
courtneyestrada,susan48,2024-03-09,02:20,True,False
jasonleonard,lisa27,2023-08-10,04:39,True,False
xmaxwell,simshector,2020-03-25,03:56,False,True
ericshah,ashleymartinez,2023-11-15,01:37,False,True
