UserTag,TweetId,TimeStamp,HasMedia,HasPoll,Mentions
andreacruz,ok,2023-08-22,True,True,"amcgrath,pamela72,john03"
ellissamantha,CBEuE,2024-02-25,True,False,"larryjones,xbaker,youngnicole"
alvarezthomas,KgudQei,2023-09-16,False,False,"jenna25,gaustin,taylorgeorge"
torresjennifer,yMGLSATi,2021-04-26,False,False,"millerraymond,makaylaayers,matthew92"
zmarshall,DWMpYq,2023-04-12,False,False,"robertsjessica,omills,nkelley"
mary53,oWmgKIgM,2023-08-21,False,False,"hchavez,michaelfitzgerald,bdiaz"
ricardonunez,mAdQzT,2022-04-24,True,False,"scottlopez,iparsons,robert49"
lindseycannon,ngHvZpWLG,2020-07-31,False,False,"vrobinson,rodriguezrobert,qtran"
ncampbell,uuVFNuaSQC,2021-05-14,False,True,"james90,trevorthomas,mcarey"
felicia46,ANyq,2021-02-09,False,True,"probbins,dawnguerra,leestephanie"
gibsonkenneth,PBczzM,2022-02-26,False,False,"tannerrichard,fmayer,keithlauren"
maria13,sagFBbaPfG,2023-12-19,True,False,"maria36,wpittman,frogers"
johnortiz,JVF,2023-07-12,True,True,"thomas76,crystal50,jamie24"
suzanne03,AhFwyKZM,2021-08-22,False,True,"thenry,heather78,lawsonrichard"
reynoldsjoshua,xr,2024-01-05,True,False,"hannah32,sharon84,thompsondavid"
john53,ImAqEftHng,2020-05-05,True,False,"tracyfarmer,samuel95,mathew99"
mbenson,OUMWlmS,2024-01-03,True,False,"allenkelly,ohubbard,villarrealbrenda"
pbates,ZSwmoTk,2023-05-11,False,True,"william96,xhoward,claudia17"
bergmark,vgvAHpg,2020-07-28,False,False,"tranjoan,christyscott,karengreene"
suttoneric,iBTeHVUwKF,2022-05-30,False,True,"obrady,ahuang,enelson"
lynchjustin,BoR,2022-06-12,True,False,"alexandria17,sharon64,walterlopez"
nmitchell,lAwNlKo,2023-11-22,True,False,"parkeramanda,tbrown,ywright"
simmonsjesse,YlhyaQNUvg,2022-06-07,False,True,"matthew05,scottmiddleton,chungjeffrey"
revans,BmWm,2021-11-20,False,True,"kennethmacias,xrobinson,donovansteven"
william34,lxTcsAsM,2022-01-31,True,False,"mccanndestiny,turnereric,fmckee"
grios,CKptKAXRK,2022-05-08,True,False,"daleshaw,lawrencejanice,ryan61"
griffithjames,jClNfJR,2023-12-05,True,False,"millerraymond,aaron64,susanwilliams"
hernandezbrent,Lzi,2023-09-19,True,False,"kylemorris,fthompson,otaylor"
frencheric,GHZDAy,2020-01-05,False,False,"timcohen,courtneyhess,michellereilly"
jonathon67,FUuMXz,2020-11-28,True,False,"zreyes,james78,ryan34"
jordanhoward,EvjpQdMEN,2023-10-09,True,True,"matthewswayne,ashleygriffin,yhammond"
erika87,TQEm,2020-07-16,False,False,"andrew86,melissabarker,christopher11"
brittany97,dM,2022-11-25,False,True,"hallbruce,xjones,keithflores"
rachel99,veWuihb,2021-12-12,True,False,"katelynmcknight,shannondanielle,mgreen"
gary24,BWM,2022-11-09,True,True,"jeffreywatts,mathewsronald,bsmith"
chamberscody,KLhZLb,2021-12-07,False,False,"thoover,kennethmacias,karenmeyer"
joseph40,Mzncu,2022-10-05,True,False,"angelabaker,brandihernandez,jonesjohn"
sototracy,SKhETIMum,2023-03-30,False,True,"stephen65,todd00,richardpayne"
andrewcaldwell,LjxlUtFH,2020-04-14,False,True,"crystaltaylor,banderson,jennifer74"
chasemark,oSsGq,2022-07-09,False,False,"alexanderkimberly,mary16,xpatrick"
johnathanmiller,tsPb,2023-05-24,True,False,"brownlisa,bellrebecca,hmartin"
savagejohnny,osMDUDRNZ,2023-01-09,False,False,"thomassmith,pacekristen,brianna57"
dgarza,ttEQx,2023-07-31,False,False,"aprilpena,stephanieburke,brian03"
ucordova,bH,2024-01-06,False,False,"bowmankayla,gregorycline,nealashley"
kylehuff,yM,2021-01-03,True,True,"mariahardy,michaelrichards,zromero"
garciajessica,gSWIsXQmc,2023-03-05,False,True,"riveraalexander,spencer51,anthony71"
xanderson,wA,2020-08-24,False,True,"teresageorge,angela53,april19"
deannayoung,kUaHv,2023-08-18,False,False,"cooknicole,ehawkins,sharon95"
jenkinschristopher,wBXVl,2020-07-04,False,True,"craigmartinez,santosrichard,adamrobbins"
guerraalexander,plaL,2022-07-25,True,False,"peter51,lance99,rosariodavid"
denise26,aRXdf,2023-11-02,False,True,"kaylagoodwin,barryhernandez,schneiderkenneth"
raymond92,cTcw,2022-10-28,False,False,"tinaadams,jacksoncharles,tgraham"
pamela41,peCLBPofQN,2024-03-02,False,True,"ktran,lisasanders,abautista"
ewright,gYgKslzhv,2022-05-29,True,False,"williamsfrancisco,makaylawaters,uriggs"
jamesadams,AxiWCm,2021-03-22,True,True,"floresjonathan,jay80,shawntorres"
todd00,sqizzkMbyb,2021-10-14,True,False,"gthomas,amy72,stewartemily"
nancyrodriguez,BRJVc,2022-03-26,True,True,"ajones,travis99,cooperroberto"
lauriehanson,ozHwhNj,2021-10-04,True,True,"rogersbrandi,justin60,smithsusan"
burkeralph,NhFeD,2020-03-15,False,True,"michaelwebb,rsmith,hhouse"
parklaura,UZV,2023-03-21,False,True,"robert07,erinmejia,penny56"
jonathan24,mredCRmn,2022-01-07,True,False,"jessicadunn,crystal50,kirbysandra"
jhawkins,jOIE,2020-07-19,False,True,"wlopez,martinezchristine,jonesjoel"
brianlee,pgmGrw,2023-01-08,False,False,"hedwards,apowell,thompsondavid"
carterjustin,qnXbOfnlWl,2023-04-30,False,True,"williecampbell,michelle89,ywright"
lopezryan,ck,2022-02-26,True,False,"acrawford,codychapman,rileyvictor"
scottchase,jRl,2023-12-16,True,False,"reginald48,mooremadison,nnichols"
webbstacey,og,2020-02-29,False,True,"zgomez,liucharles,brittany15"
emily05,dsk,2022-10-18,False,False,"qcollins,scott43,powellbrian"
johnsonian,eQmwdVD,2023-12-31,True,False,"george45,lucas71,ywarner"
shane24,hMlBKN,2021-02-20,False,False,"chaseburns,prestonduke,jasonvalencia"
ymorgan,CgK,2020-07-22,True,False,"owensgregory,colleenwebb,michaelcastillo"
markcarlson,cVPhk,2023-07-09,True,False,"nwiggins,deborahbullock,grahamwilliam"
berrybradley,oLKkpTSEaX,2022-04-08,True,True,"vmcclure,doughertytracey,pattersonsheryl"
alejandro32,SdfPKPG,2022-02-22,True,True,"blankenshipscott,rshannon,matthewlarsen"
erinmejia,nqhweJ,2023-12-27,False,False,"daniel65,xlittle,pmiller"
gabriellanorman,owT,2021-07-16,False,False,"courtneyturner,esilva,teresaodonnell"
charlesibarra,ZW,2021-08-16,False,False,"frances12,fwilson,owenschristine"
ytate,hZCuhQfn,2022-07-17,False,False,"tvazquez,jacksontracy,samuel43"
reesekatherine,Whaw,2020-04-09,True,True,"felicia10,lalexander,mendozatiffany"
valeriejohnson,IknNSNPj,2020-06-12,True,True,"hardinsusan,rmorrison,operez"
waltonharry,OeHHuR,2023-04-02,False,False,"whitejean,tlyons,fbaker"
davisvanessa,XWvg,2023-02-27,True,False,"plara,bfuller,ashleycooper"
aharrington,cyKdy,2022-12-01,False,False,"joe42,codyortega,pacekristen"
jgibson,AZCJta,2023-12-23,False,False,"qlee,kstewart,loganmurphy"
romerorhonda,rkZICKY,2021-05-17,False,False,"heather49,reneeherrera,nicholas67"
pporter,iFTf,2020-02-10,True,False,"stevenjohnson,gwilliams,jwright"
andrew62,XjuTqAah,2023-02-24,False,True,"nancy43,jessicarichards,cynthiamejia"
adam99,XyrD,2023-12-24,False,False,"davidsavage,aaronbutler,brianna97"
jjones,DSWGbLSTJX,2022-09-03,False,True,"williammontgomery,barkerjaclyn,emaxwell"
shelby47,xqWNSKaRSp,2024-01-21,False,True,"jasonholmes,probbins,henryerin"
shane77,XUtFCXQH,2020-09-27,False,True,"kbarker,christyscott,michele56"
crystal50,hD,2020-11-26,True,False,"tonyaclarke,geraldrodriguez,james17"
debbie01,FLvSlDxKr,2023-04-19,False,True,"kbennett,andrea89,zwood"
vmclaughlin,zuGdd,2024-01-13,True,True,"bonnie97,parkjames,jeffrey40"
sophia27,ZkpgtX,2020-06-16,True,True,"youngrobert,dwalker,joellopez"
meyererica,HAg,2020-04-19,True,True,"gregory03,burkejeffrey,wrightpeter"
johnathanthompson,JvEJKmef,2020-10-19,True,True,"kathryngriffin,karen22,justin70"
colson,gFbwoBACHJ,2023-09-04,False,True,"vthompson,lopezryan,jacob74"
jackdavis,PPsb,2021-01-03,True,False,"meyerssamantha,richardsonjohn,tracywright"
glane,WMFJKPciB,2021-07-18,True,True,"melissahayes,vanessajohnson,jimmyperez"
rileyjohn,HzLS,2021-10-29,True,True,"deborah80,brandon70,rmcclure"
nicolesutton,UR,2022-12-08,False,False,"james70,fhernandez,phubbard"
ericthompson,Or,2021-08-29,True,True,"hamptonnicole,thomaselizabeth,crussell"
terrydalton,wtz,2020-02-15,False,False,"crystalschneider,frederick16,danmorrison"
joshua53,UFBcg,2021-09-04,False,False,"nelliott,williamsjulie,fryejavier"
lewismichael,hPqTzwG,2022-12-04,True,False,"clineerin,jennifer36,jeanne79"
kingalyssa,Bcd,2022-02-15,True,False,"nicholas79,campbelldillon,osmith"
kstevens,XUGwO,2020-05-23,True,True,"carmenmorgan,mclaughlinalexandria,mwashington"
zlevy,TlqX,2021-03-04,False,True,"sarahharrison,john86,clinton19"
ronald47,svDMuhFjOE,2023-08-19,False,True,"cooperdrew,james09,bryan10"
alexander18,Vfw,2022-07-18,True,True,"powellbrian,williammassey,derrickgreen"
richard72,QQEAMGLCqt,2021-08-24,False,False,"stephaniemartinez,dpatel,jesusmorrison"
scottwilson,MhTdfFJztl,2020-12-30,True,False,"zfigueroa,john53,marthaflowers"
anelson,rbLCFQdxA,2022-07-27,True,True,"alyssablack,nortontracy,christopher33"
cbenjamin,YtU,2020-03-09,False,False,"williamsnicole,aharrington,thomasheather"
makaylaayers,ePneT,2020-07-23,True,True,"rcrawford,brad87,debrapatterson"
ipoole,ZraUy,2023-12-22,False,True,"brittneymoss,obradshaw,linda06"
scott79,uNOX,2024-01-11,False,True,"jasongonzales,william06,icalhoun"
christopherlane,QVCsUgUBwO,2022-01-28,False,False,"boyerlaurie,brandoncameron,cowanbrittany"
harrisonrobyn,uKKgjam,2022-09-09,True,True,"kenneth62,osantiago,spencerallen"
amurray,iXPpETlvJ,2022-02-26,True,True,"robertobrien,deborah60,allenjonathan"
xaguirre,XM,2023-06-23,False,False,"alison62,jdavenport,rebeccarussell"
smithtracey,RAIVsLrFA,2023-09-04,False,True,"markdouglas,sheila63,millerlouis"
jill57,JxUhmE,2020-08-28,False,True,"catherine77,kentmichael,jacquelinemoore"
michaelschultz,Yik,2022-11-19,False,False,"jacquelinefernandez,ywalker,michelle34"
xroberts,kFz,2022-11-20,True,False,"aramos,juliebrown,jacksoncharles"
terryamy,qXPFBDRm,2020-06-30,False,True,"marybell,lrussell,qherrera"
washingtonmark,vTS,2023-05-06,True,False,"timothyking,wday,madison26"
tlopez,rN,2024-02-09,True,False,"nicholasdixon,emily53,robert27"
patrick37,FWRBAaEM,2020-10-09,False,True,"bdiaz,tmaynard,dylangarcia"
bonnietran,FBoW,2020-11-21,True,True,"anthony11,keithfletcher,sharonpeterson"
stokesjesse,hJS,2022-07-21,False,True,"graykimberly,ymartin,regina90"
nicholas87,GAmHLUZ,2023-10-03,True,True,"rvasquez,marvin59,angela15"
fmartin,ybTNsTGgkq,2023-03-26,False,True,"drichmond,juanherrera,mariayoung"
mmurphy,PkrM,2023-02-17,False,False,"drobinson,toddmary,earmstrong"
katherinesaunders,rzH,2021-06-24,False,True,"victorbell,stephanie08,brent89"
moralesmalik,Zotvarsp,2022-09-04,False,False,"kennethwilliams,katherineprice,gbrown"
theresabeard,soZ,2023-07-25,True,True,"sfrazier,jbutler,ihardy"
hullleslie,yYgpwMmMV,2020-10-15,True,True,"tmoore,wjuarez,rlarson"
william57,mm,2020-03-13,True,True,"robertsdaniel,christopher93,cynthia19"
jeffrey44,uTDG,2021-08-18,False,True,"justin22,stephaniegarcia,crystal50"
heathersalazar,OhdLERT,2022-07-01,True,False,"deborah18,katherine09,chapmanann"
garciaellen,bw,2023-08-02,False,True,"juanpatel,kristi07,thomas34"
rferrell,IJfmA,2021-11-01,False,False,"ashaw,esilva,jhawkins"
parroyo,UOgRAYAs,2022-02-23,True,False,"david54,coopercynthia,spencerallen"
richard74,YjPz,2020-08-19,True,True,"mitchellmaria,pmitchell,evazquez"
jeffreyreed,LMkoaaM,2023-09-02,False,True,"chrisbarber,aaron93,lewismarvin"
jeffery28,bqPEyX,2023-05-03,True,False,"vjacobs,davidknox,liphillip"
krystal22,lBLSz,2023-10-08,True,True,"chrisnelson,eandersen,annlloyd"
tperkins,kne,2020-06-02,False,False,"ellissamantha,kristina61,aaronlewis"
jessica15,WJbMyRJeE,2021-03-03,False,True,"brittanylee,nicholas87,misty03"
harrisregina,GhQRq,2020-01-04,True,True,"jamessullivan,watsonbonnie,davidwelch"
jamesromero,MMxrmyrZ,2020-05-30,False,True,"tdavis,mindy52,westmichael"
mary64,rKtPRX,2021-05-30,True,True,"samantha54,levi61,qgonzalez"
ashley12,FlPrDKXvK,2023-11-17,True,False,"reevessean,thompsondaniel,riveradawn"
drichmond,IWvfCVvLEZ,2024-03-01,False,False,"carlos99,collinsashley,teresageorge"
tbrown,mIhGKxm,2022-11-24,True,False,"hallchad,davisdaniel,jerry30"
hernandezpaul,CukiLP,2024-01-14,False,True,"richardreed,shelbymelton,christyhayes"
mackenzie92,fTWWjgU,2020-05-12,True,True,"morgansanchez,gdaugherty,kingalyssa"
hoffmanbarbara,PpyA,2020-09-04,False,False,"erica20,fischermario,vaughnvicki"
gary24,izbHBTsnEz,2024-01-02,True,False,"robert02,stephanie36,snyderjoel"
jenkinschristopher,BOvxtiwqV,2022-02-01,True,False,"xparsons,bradylarson,bobby01"
elizabethmartin,zeKDa,2022-05-03,False,True,"tgraham,edward98,michaelross"
williammedina,gmZNyaBKC,2021-01-25,False,False,"sreed,youngrobert,rebeccagonzalez"
caitlinwood,fjEHxroG,2022-10-31,True,False,"blanchardbrian,schultzdennis,cherylpeters"
shane77,fljASWESX,2022-09-14,True,False,"rebecca41,isabellabrooks,rodriguezrobert"
qbates,mlOmNRuqF,2020-09-14,False,False,"qwright,nicholasarias,kenneth39"
brittanymurphy,WACzXNib,2020-11-03,True,False,"vrobinson,jacobmoss,tnelson"
grahamjason,oLuqEPC,2023-10-30,False,True,"allenkelly,oferguson,eduarte"
frostkristin,oxaJdKKX,2023-01-01,False,True,"courtney48,uferguson,donald97"
nicolebrown,VXGnecO,2023-07-01,False,False,"michael19,deannabarber,alexander94"
linda06,cRx,2020-06-07,True,False,"quinntracy,joseph81,jayperez"
nesparza,jsfRbuqDw,2020-02-25,True,False,"johnsonjacob,ssexton,stanleylisa"
mistybennett,ixmTr,2023-06-05,True,False,"stonegregory,cball,brandonkennedy"
henryhunt,pXw,2022-02-21,True,False,"billgardner,cheyennemcbride,allison76"
leestephanie,xZybZ,2023-09-10,True,False,"drichmond,christianharris,lauren95"
amy00,xvj,2021-07-27,True,False,"anthony11,wpittman,lhodge"
pstout,fa,2022-06-11,True,False,"ethan94,david33,ssanders"
nschroeder,EDLWIu,2022-09-07,False,False,"markwilliams,matthewsanne,yzuniga"
michaelsilva,IxxIjOlEF,2022-09-11,True,True,"williammassey,eramirez,heidi70"
patelgeorge,lfZ,2022-12-07,False,True,"evansmarc,cjennings,andrea89"
mullinsrichard,yocIAQixXV,2022-08-25,False,True,"shernandez,jenna25,swalters"
wvaughn,xpb,2022-08-30,True,True,"davidrivera,amandamitchell,kenneth39"
mcculloughjames,fwflnayv,2021-01-15,False,True,"griffintodd,jwhite,kristenpotter"
barnesdawn,vemiSZoSrw,2022-02-28,False,False,"melvinhines,ericking,michellesalazar"
ruizchris,oN,2021-11-24,True,False,"seth39,whitakerkelly,dean21"
michellenguyen,WbN,2020-08-16,True,True,"alicia61,thompsonjames,owenjasmine"
gbrown,hNswFNQod,2020-12-21,False,False,"gwells,robertmartinez,robertjohnson"
petersondeanna,CVyS,2022-12-11,False,False,"sullivansusan,pbates,heather49"
mary94,ccUq,2023-10-19,False,True,"heberttammy,keith30,ggonzales"
mary84,hFwNcBOTn,2023-02-27,True,False,"ssexton,caitlinking,jennifercruz"
mitchellclark,onDJ,2020-02-17,False,True,"brandonkennedy,butlerheather,susan40"
kelly50,yINipCxiTD,2023-01-16,False,False,"gregory44,justinjohnson,munozsergio"
wleonard,eDXTS,2023-01-08,False,True,"jameshill,tjohnson,craigmartinez"
chandlerdaniel,oP,2023-04-29,False,True,"daniel09,canturenee,elizabeth23"
amandagonzales,YarokpWgFk,2020-12-12,False,True,"dpatterson,mgarza,vcochran"
kelly93,yqeFq,2022-07-07,True,False,"ugonzales,megan77,hedwards"
mpeterson,cFJv,2021-12-27,True,True,"kristin74,hblake,denisehughes"
parkkathryn,au,2022-04-29,True,False,"lawsonhector,landrykathleen,stephanie39"
danielle01,TjOR,2021-02-13,True,True,"sabrinagill,nicoleespinoza,ngonzalez"
gonzaleskrystal,UPneqy,2024-03-17,True,True,"angelaramirez,rsimon,phillipseric"
danielblake,GipvBGQz,2020-12-07,False,True,"ljohnson,rcox,marisa62"
rshannon,UnlenDqN,2023-01-06,False,False,"figueroacharles,jwright,evansanita"
burnettbradley,AWujGoHPaa,2023-10-05,False,True,"donald78,hannah56,vstewart"
fischermario,yMa,2021-09-23,True,True,"jill57,alex15,jenniferduncan"
petersondeanna,mBOeADC,2021-12-11,True,False,"juancole,ctorres,tlynch"
mariocooley,fRPmK,2020-04-07,True,False,"nguyenmonica,paulwalsh,mjones"
kenneth19,skhQq,2022-02-13,False,True,"miranda08,pjones,cbates"
andersonkenneth,gxztNy,2020-07-28,False,True,"charles98,willisjohn,kyle38"
hintontyler,eOFQhIb,2021-02-21,False,False,"alexander58,kelleydavid,andrewstevens"
kathryndunn,rETKsNpxRf,2020-04-21,False,True,"jenniferdecker,olee,nortonsusan"
mooneyjoshua,DFwGMjahg,2021-10-26,True,True,"trosales,meganfoster,tjohnson"
mgilbert,pEtl,2021-07-24,True,False,"nataliegibson,julian09,palmerjustin"
osbornesheri,lImbsny,2023-09-14,True,False,"thampton,kholland,hmartin"
michelethompson,KktUgMGB,2024-03-16,True,False,"riveradawn,martinchristopher,rebekahsanchez"
tgreen,vamifo,2022-09-11,True,True,"simskaren,colton31,kyle96"
cynthia90,VqbEaoPjyL,2020-11-24,True,True,"codychapman,abarton,chelseayoung"
josephgutierrez,AvsjPfYjR,2022-06-11,True,True,"mdavis,saragreen,hhansen"
brett84,Fri,2023-01-19,False,True,"nschroeder,riveratimothy,aguerra"
oneillchristopher,ZDIbW,2023-04-21,True,True,"emaxwell,stephen65,vwatkins"
stevensonautumn,coo,2021-04-04,False,False,"hernandezsteve,chelseacarlson,fsaunders"
ericwilliams,KXrMDoPKPJ,2021-05-24,True,False,"gabriellopez,pjones,heather27"
brightelizabeth,oefyn,2023-03-08,False,True,"dale00,umyers,davidsonmichelle"
awaller,ehAkUBvjIz,2023-12-06,True,True,"awright,scottchristopher,dalvarez"
philipbush,BiwlLTl,2021-07-21,False,True,"sandrawilliams,hhall,cameron35"
hopkinssara,EHXeJ,2021-04-17,False,True,"amberlarson,gregorywayne,gthomas"
kathleen84,adFNr,2023-01-12,False,True,"kmack,karenmeyer,lisabush"
djuarez,uUR,2022-01-03,True,False,"madisonvasquez,burkeralph,daniellerodriguez"
gabrielle41,bZOPfkuJ,2023-09-24,True,False,"mitchelljulia,kerryzavala,sean83"
joelwalker,zlYfVSlhRX,2023-10-21,True,False,"simmonssamantha,travis64,wpaul"
davisdaniel,hbq,2022-11-08,True,True,"perrymark,jeremy08,melissashea"
ugross,oLhU,2023-05-27,True,False,"joshua27,michaelsmith,beverly54"
lvega,QMJ,2023-07-10,True,False,"shernandez,jacobmorris,jenniferduncan"
eflores,LZBpumlvut,2020-09-24,True,False,"blackwalter,johnpatterson,brandtnicole"
hallen,ckFjMCGEIb,2021-05-24,True,False,"jacksonrodney,iyoder,harriselizabeth"
glenn05,QiscFZa,2021-12-05,True,False,"hallalexander,kellybrian,brenda31"
april19,nVALvudf,2020-05-11,False,False,"burkechristopher,meganjackson,fitzpatricknicole"
brownmark,pEre,2020-06-29,False,False,"craiggreen,leonard22,zachary03"
emily17,aEIV,2022-08-02,True,False,"agraves,beth26,hensonfrank"
james85,fNHFzK,2024-01-19,True,True,"deanrichard,emilymiller,cody41"
lisaday,LmiSmuaAQ,2021-11-18,False,True,"davidmorales,singletonjennifer,jacqueline43"
elizabethcabrera,VyA,2023-04-21,True,False,"vpeterson,erik68,justin90"
pricebrandon,NB,2020-02-16,True,True,"yatesscott,cbates,collinsalexander"
fsheppard,fCLJl,2021-06-01,False,False,"claudianewman,robertchavez,mrobertson"
keithrobertson,OBD,2021-08-03,False,False,"wallacediamond,jonathan77,qperez"
rluna,EoMlTbq,2020-10-21,True,True,"rochacharles,bdiaz,lambertsamantha"
mooresue,om,2022-03-22,False,True,"teresageorge,munozgrant,nathansanchez"
jacobmcdaniel,DfWId,2023-07-31,True,False,"davidallen,cooknicole,xmartin"
rebecca18,kuQxXx,2023-02-08,False,False,"matthew16,dunnmarco,miranda98"
carrie46,FUaA,2022-11-18,True,True,"angelamurphy,toddmatthews,cjones"
whitejean,iskkRmPA,2021-08-18,False,True,"kroberts,sabrinagill,lsutton"
wyatt40,ChLbQo,2020-12-04,False,True,"robertshepard,garciaellen,wyattdavid"
qlewis,Qri,2021-05-01,True,True,"brittany81,andersonblake,brownjorge"
michaelrogers,tIuNS,2022-12-16,True,False,"amycunningham,johnsonryan,xjohnson"
martinezholly,lmxTM,2022-04-03,False,True,"walterstracy,oneillwilliam,hannah56"
johnathanmiller,pVPLxuXFF,2020-04-19,False,True,"cooperroberto,apacheco,jillian52"
jmartin,odQdtRdwB,2023-12-10,False,False,"jose01,davidmatthews,bwoods"
erikhernandez,FgLpwMVw,2021-04-09,True,False,"hjones,chamberscody,annette95"
catherinepeters,gdxqx,2022-01-03,False,False,"katherine09,brentrich,davidlin"
garrettpaul,iRJqhVQOe,2023-07-26,True,True,"sophia27,pmiller,pstout"
kenneth35,bUd,2022-11-22,True,True,"xhahn,bdiaz,stewartdonald"
bbell,zULpFeCPV,2022-02-06,False,False,"brucejohn,maria36,christywarner"
keithflores,dYMDVZ,2022-03-03,False,True,"roberthernandez,mfisher,stevenjackson"
mendozatiffany,hMShitPlwO,2021-05-24,True,True,"vernon75,ryan34,rachel12"
grahamjason,gCrUWaLIy,2023-08-01,True,True,"richard32,joseph87,robinsondavid"
johnsonjessica,oIVxZdktTF,2021-12-14,True,False,"benderamanda,kristin72,trodriguez"
