UserTag,ChatId,Date,Hour,IsAdmin,MutedMentions
buckpeter,Qw,2023-01-31,08:17,True,True
jason61,MasHYqLwP,2022-05-09,23:49,False,False
bpena,jaVvkjoBAe,2024-02-20,06:03,True,False
evanspatricia,XwNm,2020-02-09,23:42,True,True
justin10,DAvecLrdN,2022-03-23,04:28,False,False
christopher25,GRUAqjpUDU,2020-08-12,18:51,False,True
lesterbrooke,uZQR,2023-10-25,16:32,True,False
natashasims,qybpO,2021-01-30,14:08,True,False
alvarezjennifer,AN,2022-04-16,00:08,True,True
jasonholmes,jwDhCLYjz,2020-06-19,16:18,False,False
johnmatthews,AlIOy,2020-02-14,15:18,False,True
bobbysoto,nm,2021-09-10,16:54,True,True
mjames,EVzWaV,2023-01-28,11:39,True,True
chelseabennett,rjGJlhSXb,2022-04-14,03:52,True,True
rachel48,fogHUYIo,2021-06-01,21:34,False,False
garciapatricia,tIJsfK,2022-11-23,00:04,False,True
jtrevino,TkAlH,2023-05-17,18:41,False,False
cbrennan,QaneYf,2022-10-01,18:50,False,False
gardneranthony,lubBVs,2022-08-30,04:06,True,False
jgarcia,MJDeVw,2023-07-22,00:04,False,True
ihill,hmVPuEQV,2023-03-03,17:51,True,True
turnermichelle,JcYgF,2022-10-29,06:38,True,False
fbowers,CGnSk,2023-01-22,14:33,False,False
travismoore,cusSb,2022-03-04,19:31,True,False
vmatthews,tfqdw,2024-02-05,08:32,False,True
pkennedy,zDinU,2023-07-08,00:50,True,True
marie29,oqdNq,2021-04-21,09:54,False,False
wjimenez,KGMBcOom,2021-06-16,13:43,True,True
deniseellison,OMO,2021-11-26,00:40,True,False
jeremymoyer,wiNBjr,2021-05-07,08:20,True,True
roseernest,NrlLI,2022-01-26,04:26,False,False
michael83,HrA,2023-03-02,07:39,False,False
faulknerrodney,df,2020-05-19,00:42,False,False
ramoskatherine,JyUFNO,2020-07-24,15:03,True,True
karensosa,lPNB,2024-03-12,01:47,True,False
xwoodward,GmBjGuR,2020-02-28,06:30,False,True
mark38,WUYLYb,2020-10-26,22:35,False,False
onealdavid,VbmUNn,2023-09-01,08:06,True,False
freemandanielle,nx,2021-03-29,16:03,True,False
evan20,fPZfWlak,2023-12-24,07:01,False,False
hlee,CguPpnY,2022-12-15,13:02,True,True
jessicamcdonald,JkTjcYv,2023-07-21,03:32,False,False
adamswanson,xMOciOLf,2023-08-31,06:13,False,False
meganthompson,Ofp,2022-09-06,10:52,True,False
jamesbriggs,ojmNWGbM,2021-11-09,12:43,True,True
daniel51,rlbrzAQRA,2022-02-09,05:58,True,True
opatterson,lmRLwyPs,2021-03-17,16:04,False,False
jasonholmes,rYL,2022-12-31,14:36,True,True
weberglenn,LUWjFJcUIk,2023-01-23,12:55,False,False
martinezkimberly,yhQrNXz,2020-07-27,06:42,True,True
timothy21,xLHACJnc,2022-10-30,21:49,True,True
upierce,GEP,2020-10-05,08:10,True,False
anthony59,SbNCQTh,2023-06-29,17:16,True,False
boyletodd,MaQDht,2022-05-30,02:02,False,False
kmoss,QOPXbqBRZZ,2022-06-05,07:49,False,False
hodgetara,OxIH,2023-11-09,02:45,True,False
wlee,mgeb,2022-12-29,05:01,False,False
whitejoshua,qQxrnk,2024-02-04,23:04,False,False
belladam,qKnBARhwVq,2022-09-04,14:06,True,False
kellyhernandez,Of,2022-08-08,19:48,False,False
richardswilliam,SuHtgJtM,2023-02-08,21:22,True,False
ryansmith,FAq,2022-04-12,07:47,True,False
shirley06,XBUxiP,2020-04-07,21:39,True,True
osmith,HjkJpSAM,2021-04-18,23:10,True,True
cherylrobertson,fUj,2021-12-18,07:38,False,False
jonessharon,xfT,2023-08-14,17:45,True,True
suarezjennifer,YHepfTxtX,2020-01-18,06:18,True,True
joseph56,ECRigJkKH,2023-04-14,14:40,False,True
williamssandra,TsHSSn,2022-12-02,06:57,True,False
jlong,pWKvaLBJ,2024-03-21,15:20,False,True
jamie89,jGOXWdBEyR,2020-06-26,03:12,False,False
lopezchristy,HdmB,2023-10-04,01:10,True,False
karengomez,WAufRG,2022-10-29,00:32,False,True
yreed,FQM,2022-09-02,16:32,True,True
reidlauren,udHj,2023-01-12,17:14,False,True
larseneric,IqG,2020-05-10,09:32,False,True
jack98,qGoZrKbEb,2024-03-18,13:53,False,False
harrispaul,uHii,2024-03-09,04:26,True,False
johnbradford,ybZD,2020-02-17,09:40,False,True
riggslisa,riP,2020-08-07,16:02,True,True
chapmanscott,nqfBQrDyWz,2022-12-21,15:04,False,True
chandlersarah,AE,2021-12-08,15:29,True,True
gutierrezelaine,ZwOvIz,2022-10-24,11:13,True,True
xking,tcND,2023-01-23,15:10,False,True
reynoldsrichard,nIVcFEZU,2023-02-19,20:52,False,False
jimenezsara,xEdFtpz,2022-08-17,21:42,False,False
meganserrano,wFugdXeO,2021-11-27,10:32,True,True
haynesjoe,jNXyMuv,2022-01-28,03:12,False,True
nicole79,fSayR,2022-02-27,18:24,False,True
ryansmith,EqqgMw,2022-01-15,22:33,False,False
allen27,cteqBJps,2021-12-15,00:14,True,False
orivas,qQFP,2021-06-24,17:00,True,True
hopkinsdouglas,KGMBcOom,2022-11-20,11:16,False,False
lbrown,ltuRTPUZuS,2024-03-29,14:40,True,False
armstronglauren,RXbbCUH,2023-11-26,15:56,True,False
iarias,JjeXh,2023-07-11,12:37,True,True
kayla50,DQVw,2022-02-25,13:58,False,False
andrea58,HBmueEhMd,2023-10-31,20:54,True,True
russelllindsey,LpAdPBx,2023-09-19,02:30,True,False
juan75,df,2020-09-20,09:36,False,True
kathryn17,zXhLY,2023-11-15,07:47,True,True
sphillips,sGAQAMuD,2020-11-04,06:52,True,True
harmonamanda,qoefARMI,2021-11-24,04:52,True,False
christophermaxwell,xKFCV,2023-08-28,11:37,False,False
eileenlynch,Tbt,2023-03-19,03:55,True,True
zacharycarrillo,mUOOVcqhzf,2023-07-03,00:16,False,False
mckinneyjulie,wVau,2022-11-23,23:03,False,True
delgadoannette,hokfPdCY,2023-08-21,18:23,True,True
travis21,WZFv,2021-12-13,12:13,True,False
foxjoseph,oxlee,2023-04-09,12:17,False,False
elizabethperkins,fcqLX,2021-05-23,06:13,False,False
veronicatorres,seg,2021-11-27,16:15,True,False
williamsmichael,BeZnzxOOJ,2023-09-11,03:49,False,False
nortoncheryl,oldUwAg,2020-01-08,17:39,False,True
timothymitchell,kJi,2020-06-20,05:45,False,True
cole82,dqK,2020-02-12,20:54,True,True
evanschristopher,HnBOfhvca,2022-08-29,16:13,False,False
scottaudrey,nYtYA,2020-01-18,06:45,True,True
stephanie84,hBVy,2021-03-06,08:31,True,True
samueljordan,YnuNTXTR,2021-01-28,22:13,False,False
woodsbrenda,WMKEcgqj,2021-07-25,18:37,True,False
allisonmelanie,xenivEwIE,2021-08-23,23:04,True,False
lamdaniel,xa,2023-11-28,08:05,False,True
ehunter,XObAb,2020-05-16,03:12,False,True
steven30,qqhcba,2022-08-06,19:56,False,False
angelaking,aTo,2021-11-27,06:27,True,True
kingkyle,xvxFVQbgo,2021-12-21,12:47,True,False
patriciafox,NfPhlWOPZJ,2022-02-11,18:10,True,False
denisebell,Ebl,2023-04-16,08:48,False,False
dgentry,apueRtiEkI,2022-02-12,18:02,True,True
kramerdanielle,JBdJ,2022-09-23,15:59,True,True
annecollins,zjph,2021-11-15,19:22,False,True
latasha99,lgH,2023-08-14,21:49,False,False
jackierios,nYtYA,2023-02-02,11:06,True,False
marvinwilson,pPRWonG,2021-03-29,10:08,True,False
lclark,VhCuSmroDt,2020-06-20,09:03,False,False
paul03,tcQilz,2022-07-24,01:31,True,False
bautistacarlos,yVFUvpkFRU,2021-09-17,08:53,True,False
kthomas,SilvY,2023-03-25,00:00,True,True
melissa62,IJMqdA,2020-06-27,09:57,True,False
susan11,IDOIJS,2020-01-20,14:19,True,False
rlloyd,OvMhQEpGm,2023-05-06,04:47,False,True
wsimmons,PiAz,2022-10-28,21:57,True,True
ericenglish,NPdyCbZO,2021-03-03,02:07,False,False
ashleyhicks,tgNkJP,2021-03-07,18:43,False,False
samantha65,MzMTWiDyHG,2021-05-27,17:19,False,False
ricardodunn,UWSkXqvS,2022-11-02,11:25,False,True
keithjustin,PJYjpdea,2022-09-04,17:53,False,True
monicamurray,ZYpcrOMXe,2021-03-11,18:27,False,False
henrysarah,wZPYDG,2023-12-11,03:08,False,True
enolan,BQ,2020-06-12,15:38,True,True
martinezsteven,GEbTdDfYH,2023-05-09,17:22,True,False
summerandrews,Fb,2022-08-20,04:12,True,True
kathyavila,KrgFHW,2022-07-31,06:28,False,True
dcook,MCfeh,2022-09-08,20:01,False,False
fosterdawn,DeyV,2021-04-20,07:49,True,True
kmorgan,WSPMqm,2021-07-25,07:24,True,False
evansrussell,XneLq,2020-03-25,23:59,False,False
carlreilly,xsJvHhfm,2021-11-27,01:03,True,True
rlong,gAeRlYTUI,2020-11-29,12:11,True,False
andrewbrown,EcRYbeN,2020-02-14,19:17,True,False
lunadenise,uYnm,2022-10-07,10:36,False,False
wcarter,lCXskc,2022-02-02,08:41,True,True
jchan,rJpWu,2020-04-01,16:45,True,False
brandon68,spmzPOkD,2022-02-10,23:58,False,False
douglasmyers,MsJur,2023-09-26,02:34,False,False
dalvarez,IVoXbmR,2020-10-10,17:55,False,True
lopezrichard,rwWkdDz,2022-04-28,11:02,True,True
iklein,oypVXrjlI,2020-06-04,21:24,True,False
michael74,wKwAfJ,2021-12-07,13:22,True,True
andreaanderson,dEWpTTB,2020-03-30,12:32,True,True
charles73,scfNNjH,2021-08-09,04:29,True,False
katiebrady,HketzRm,2021-01-25,07:28,False,True
ericawheeler,EaMnzXw,2020-04-03,03:14,False,True
alexandergeorge,NFeVSk,2021-02-14,19:07,False,True
anna65,kqBgItyv,2022-03-25,02:36,False,True
donnaholloway,WFGRBELZgz,2023-05-05,15:09,True,False
jeremymoyer,WSPMqm,2021-07-07,17:42,False,False
laurie95,HMHBLzG,2020-05-21,11:47,True,False
clarkjulia,iHyvPdonu,2022-06-18,11:07,True,False
brandi05,GEP,2022-07-24,12:16,True,True
mooredawn,wSFzrT,2023-07-06,00:58,False,True
wliu,sMnvYN,2020-03-16,15:23,False,False
nguyenandrew,QDs,2020-01-06,05:29,False,True
karen29,ZwOkrEAmU,2023-04-18,06:27,False,True
qdaniels,NCRXHfH,2022-12-16,04:17,False,True
robertawilliamson,pTyEY,2021-12-26,05:40,False,False
frank73,DknuyB,2021-06-06,07:45,True,True
rachaelpatterson,SuM,2022-05-14,12:29,False,True
eatonsteve,ZBX,2023-03-21,13:41,False,True
dianemartinez,TkAlH,2021-07-01,00:35,True,True
gthomas,AYo,2021-10-03,08:32,False,True
brandon29,QDs,2021-07-28,08:43,True,True
melvinchang,dWHpt,2023-09-19,23:46,True,True
eray,BfYUuWym,2023-01-12,22:40,True,True
annecollins,vNKm,2022-11-30,07:18,True,False
ylester,vtEg,2020-10-27,04:02,True,True
sullivanelizabeth,PNslZ,2023-06-25,23:22,False,True
morrisonmichelle,LfZ,2022-03-24,03:21,True,True
william29,FcioHrE,2022-08-18,19:33,True,True
jennifer64,pjuk,2023-02-25,05:02,True,False
rpratt,CRdHfYwDUk,2022-02-05,11:14,True,True
andrewbarrett,OEdyiUQkI,2020-09-21,21:41,True,True
wabbott,oqH,2022-01-31,06:09,False,False
smithjohn,rKGyeHSkuJ,2022-10-10,21:03,True,True
frank39,TkAlH,2021-12-03,04:41,False,False
laura54,NwbrV,2020-04-10,09:50,False,False
qfitzpatrick,EXRq,2020-04-13,03:24,False,True
christopherbaker,HiWRPVXiY,2024-04-01,07:07,False,True
gcampos,RFXkMKvZ,2021-11-04,08:17,False,True
elizabethlutz,UJVf,2021-07-26,02:23,True,False
christinegarner,vGuAQmjhy,2021-07-17,15:00,False,False
lopezdanielle,fQb,2021-01-08,06:01,True,True
josephbrown,eYBxDPGtv,2022-05-17,18:28,True,False
phayes,FX,2020-12-17,08:10,True,True
wroberts,yltvgPLW,2021-03-22,15:31,False,False
natashasims,ldJHx,2021-09-01,01:55,False,True
susandavis,KqGJc,2022-06-29,05:40,True,False
lmunoz,AVvpYlMnTj,2020-09-11,07:42,False,False
angelabest,zXGnYA,2020-03-31,13:08,True,True
fyoung,fhqtFV,2020-02-16,20:16,False,True
lopezdanielle,nxtXfvAg,2021-07-23,14:05,True,False
mayshelby,hUXxCwLdw,2022-02-04,19:27,True,False
burkekathy,cjTlal,2023-10-29,18:28,True,True
elizabethlutz,nmkdGeA,2023-05-17,08:11,False,True
kyle00,CmmlNTXIPW,2024-03-09,05:03,True,False
briancisneros,IBnvuZss,2022-06-22,14:55,False,False
georgenicholas,LajkDx,2021-08-22,00:37,True,False
dkane,ftR,2020-08-02,00:19,False,False
abigailscott,KYQeDiB,2020-04-14,20:05,True,False
anthonyryan,olxBSIH,2021-08-07,16:29,False,True
rbridges,mz,2024-02-12,16:38,True,True
carolynbrooks,ccTRIytat,2021-10-29,21:18,True,True
roblesmichelle,zrSUk,2020-12-01,09:18,False,False
ecompton,FZizAvI,2023-07-29,00:26,False,False
fharvey,jXBTWblRz,2022-09-08,07:10,True,True
dianamitchell,ZGrnUf,2021-11-14,13:28,False,False
kimberlyvillanueva,RFBwSWwt,2021-01-22,14:33,False,False
butlerjay,GVBeahU,2023-05-08,01:02,False,False
lori97,QSEnXyoi,2021-10-10,03:15,False,False
timothyhayes,hUNZKfWlc,2023-01-02,16:48,True,False
nmcneil,EjcQxWjSCX,2020-06-11,17:22,False,False
daviesroy,cRSuORUht,2023-04-02,01:27,False,True
robert17,VKiiuhy,2022-07-21,22:17,False,False
samueljordan,EgigNtzU,2021-07-23,23:45,True,False
jeffrey81,CdlwB,2020-11-22,13:25,True,False
sheanancy,qbS,2020-10-25,18:45,False,True
mtorres,sPHbwJue,2023-05-01,20:16,False,True
garytran,Mma,2020-11-18,01:15,False,False
bassdavid,smR,2023-09-04,03:10,False,False
conniehayes,PUIEtjW,2023-12-08,22:41,True,False
nicole45,qnnFjTIKe,2021-03-10,22:28,False,True
erikmoody,kPrxTqIK,2020-10-14,23:42,False,True
carolynmccoy,GB,2021-08-05,13:12,False,True
fcox,YkLEtXUi,2020-03-24,22:04,True,True
echarles,SOahgthfU,2022-11-16,16:03,True,False
fgordon,IGg,2020-06-28,12:27,True,True
kellyramos,qzszPN,2023-04-02,02:25,True,False
richardrangel,pFP,2023-08-22,01:31,True,False
rperry,smjeJxMx,2020-05-27,03:22,True,False
oreed,XSyeff,2022-11-19,05:45,False,True
deborahreynolds,SirGByTNbh,2021-10-25,12:11,False,False
gerald61,JIMDMxljT,2020-05-28,10:24,True,True
martinezdebra,fBLta,2020-06-30,16:54,False,True
cbradley,eCY,2020-11-06,15:31,True,False
kdawson,xFoV,2022-12-14,04:59,False,False
monicaaustin,gWw,2022-12-15,20:45,True,False
andrew83,pGujql,2021-10-19,00:20,False,False
ryanlawrence,nOOShMTy,2022-02-17,00:35,True,False
qhart,VOxOhyyVaX,2020-10-11,16:18,True,True
kcastro,fhJyBTS,2023-03-26,01:46,True,False
eross,vRz,2020-11-03,12:16,False,True
brandon94,Cgp,2024-01-08,22:16,False,True
fnewman,CwwEn,2022-08-23,20:37,True,False
zbailey,Mrh,2022-12-27,17:23,False,False
joshua93,YXis,2023-07-09,20:38,True,False
crussell,dCtltvqSS,2023-12-04,20:48,False,True
alexanderchristina,ZelROlLP,2022-10-26,19:08,True,False
qnavarro,NVLuiaV,2020-07-23,22:22,False,False
bryan55,QSrIL,2021-11-08,14:52,True,True
brandon19,BrxqDwaqZ,2023-05-16,23:37,False,False
todd05,Dx,2020-05-07,14:55,True,True
davidcarter,QL,2023-12-26,12:57,True,False
cohenanita,aCEAvPMuwJ,2023-11-07,16:32,True,False
christopher68,UTTkJbUAT,2023-06-07,02:16,False,True
elizabethlutz,PvW,2020-07-11,05:00,True,False
fpearson,uvPmJqQPwL,2020-10-31,14:29,True,True
ybarr,BLkvrPD,2022-02-05,20:42,False,False
kennethhale,GRUAqjpUDU,2023-03-08,18:13,False,True
alishawillis,XjYlmGiNQI,2021-12-22,02:22,False,False
michael03,WKLaKS,2023-02-28,15:58,False,False
sarahpotts,huIwNchHNL,2021-12-21,02:20,True,True
amberanderson,nOFFfAzQf,2020-11-09,03:39,False,False
andreakelly,Yfvn,2023-11-28,20:49,False,False
melissa11,seg,2023-08-25,23:46,False,False
markgarcia,RbJIFkfz,2021-07-06,09:41,True,False
tonyaperez,jmn,2023-12-08,11:50,True,True
christinalarson,zQPl,2021-04-05,09:20,False,True
shannon67,PsHhwSkjR,2020-08-03,01:08,True,True
gregory81,RYVZWHvPy,2024-04-03,04:08,True,True
williscarla,TPZzZQ,2024-04-05,03:43,False,False
gonzalesjody,EDVwwKP,2021-04-26,07:16,True,True
robertslinda,owHeSQKdTq,2021-09-07,11:44,True,True
taylor06,eb,2023-10-29,11:58,False,True
timothy28,HvB,2020-08-17,12:40,False,False
melissa63,CYr,2022-12-21,11:53,False,False
jnash,qIKJ,2022-11-03,13:58,True,False
kathyavila,KkxAJGry,2021-07-19,07:26,True,True
smithadrian,vN,2021-10-05,21:10,False,False
anthony04,PyYcD,2021-05-04,12:18,False,True
stephen85,xFWLJvJD,2023-08-25,01:14,True,True
philliprichards,xxoxxv,2023-03-30,17:43,False,False
careyjoseph,rnfzysFjJS,2022-05-20,16:03,False,False
aaronmendoza,EowUtfM,2023-09-25,03:43,True,False
morseroy,CKhk,2021-02-23,04:52,True,False
fostersara,JzUN,2022-09-10,06:03,True,True
philipfuller,iMroOHLHnp,2020-05-03,07:53,False,False
ystone,rKGyeHSkuJ,2022-12-17,08:29,True,True
arichards,NLN,2022-05-26,13:44,False,False
jlong,PdLaAH,2022-12-24,01:46,True,True
emccoy,TGDC,2020-06-28,02:08,True,True
kstevenson,TKMP,2024-03-12,21:04,False,False
daniel52,PLwIao,2023-11-23,21:10,False,True
wbond,kpIZ,2021-08-23,04:18,True,True
grimeschris,PdLaAH,2020-05-26,13:45,False,True
brockroger,TiqhpYLOz,2023-01-05,05:47,False,False
sreynolds,vVsQQ,2023-08-12,06:31,False,False
ocalderon,YuMvcuOxe,2022-07-14,12:03,True,True
amandasmith,PFpyEDigNf,2022-04-26,10:29,False,False
melissa68,NTPX,2021-08-01,03:06,True,False
alvaradodanielle,zrIoqW,2020-05-11,16:35,False,True
zstewart,CBdtBF,2021-09-09,21:29,False,True
jtownsend,wrkdcrWpxl,2020-04-03,20:21,False,True
rubenhayes,jYvpCC,2023-06-07,12:54,True,True
vargasantonio,NfPhlWOPZJ,2023-07-19,22:40,True,True
andrea79,bwM,2020-05-30,23:18,False,True
amandarichardson,FWci,2023-10-31,03:51,True,False
zfigueroa,bz,2024-01-31,21:14,True,False
stevensoneric,TAfTxjeyZc,2021-04-03,00:27,True,False
dwaynemartinez,uWGqbm,2022-07-18,12:11,True,True
hartmantiffany,wb,2022-02-04,07:19,True,True
juanthomas,ZYnKeLMGn,2021-01-30,01:29,True,True
melissa36,qJULpwu,2020-04-12,08:29,True,False
ianalexander,nJCOrWVr,2022-05-07,17:48,False,False
djones,AnmgvO,2023-10-07,03:18,False,False
caleb58,aTUrwzsykR,2022-03-31,02:14,False,False
johnreid,yC,2023-06-08,06:27,True,True
lcabrera,PkSRBayDDD,2020-10-10,16:25,True,True
michael83,hSmnA,2020-04-27,19:34,True,False
reedwilliam,Ofp,2021-10-15,03:26,True,True
acostamargaret,FKau,2022-08-19,19:37,True,True
holly47,cGcV,2023-07-29,05:49,False,True
wsullivan,fe,2021-12-27,07:35,True,True
ocalderon,wUDRy,2022-06-06,08:56,False,True
kathryndiaz,drwLShQIh,2022-12-02,01:14,False,False
mwright,RkbcNDgrVU,2020-10-31,12:10,False,False
cindyray,AVvpYlMnTj,2020-02-12,06:17,False,True
kramerdanielle,RremTKY,2020-09-04,09:04,False,False
robertpowell,PhV,2020-08-18,18:09,True,True
farrelljohn,SfTTQeXeO,2024-01-08,01:45,False,False
dakota89,DOznlRmtP,2023-09-01,16:45,True,False
jenniferlee,rxm,2020-04-14,01:34,True,True
debrawright,OxpbN,2023-03-08,04:44,True,True
dturner,xvxFVQbgo,2023-01-16,03:12,True,False
etate,tBrTRLT,2021-08-11,18:24,True,False
vpatterson,yUlBmKLl,2020-10-02,04:07,False,False
brianjennings,UoirH,2023-11-12,20:43,False,True
jennifer16,whM,2021-12-09,04:42,True,False
medinacarrie,tTxzBG,2020-01-23,22:43,False,False
nfernandez,luYzwkkC,2023-04-18,22:30,True,True
unavarro,UoirH,2021-10-26,02:15,True,False
vthomas,YhKOFLiY,2020-09-02,18:26,False,True
padams,dxRhDMMUM,2022-11-17,18:41,True,False
mary11,HBmueEhMd,2022-01-24,12:39,True,True
morsejeremy,eIMmfiefRR,2022-02-05,11:59,False,True
cathycharles,aiFMKZ,2022-11-15,04:16,True,True
julie86,LtMft,2022-05-03,15:41,True,False
gary22,Cqe,2021-11-02,04:03,False,False
dkelly,mGHKRTXfDU,2020-05-11,16:27,True,False
hernandezelizabeth,jIPeENDtT,2023-12-12,10:40,False,False
judithlang,rT,2020-11-13,20:15,True,False
amy69,gfAvIMIp,2021-12-18,01:53,True,True
darrell29,SdvFYFxj,2023-03-05,08:46,False,True
iburke,rgndrNV,2023-10-06,07:37,False,True
annecollins,aiEYLLY,2020-05-22,03:34,False,False
emack,cdGEkPtoVg,2020-11-03,08:35,False,True
zacharywilliams,vyjUXi,2020-05-02,04:11,False,False
molly69,tra,2020-02-05,10:01,False,False
haley99,uWnUBgfL,2020-03-06,11:53,True,True
llewis,AC,2022-08-20,23:56,False,True
julie86,CwI,2020-12-26,06:02,True,False
kevinmorgan,WhIfUKD,2021-03-12,11:54,True,True
rebecca49,sEEj,2020-02-25,11:01,False,False
michaelchang,OvbSMd,2020-06-06,17:57,False,False
millertimothy,wgrOOEM,2020-04-24,17:02,False,False
boyletodd,HvQiIDBw,2021-02-18,08:36,True,False
taylorapril,UcWrCF,2020-03-09,04:33,True,False
smithashley,IycmLD,2020-08-15,05:23,True,True
williamsonamanda,AsQtjgy,2020-04-07,21:49,False,False
wileyjamie,qbS,2023-07-14,19:27,True,False
nancyrobinson,XtvlgnTy,2021-10-19,21:13,True,False
mary43,SXKdgK,2020-05-21,18:38,True,False
margarethicks,DjLUZnn,2021-02-13,09:23,False,True
melodynelson,fSsbuz,2020-12-14,13:06,False,False
smithtonya,ghLRSyWo,2024-01-19,00:35,True,False
davidsteven,ACvWXWaekT,2023-06-04,12:01,False,False
sara95,mBRBXPl,2020-08-17,08:39,False,False
mercermichael,OZEDFMHa,2020-12-20,00:20,False,True
boyletodd,fgicS,2021-09-16,18:57,False,False
danielreed,qRm,2022-07-06,00:46,True,False
jasmine63,DOOqSXqn,2020-06-15,04:24,False,False
pinedamichael,PXAddeFv,2020-11-20,01:43,False,True
ydunn,dkxZGvzWaJ,2021-11-08,20:39,True,True
matthewbarrett,jlZxkXvKt,2022-07-24,08:14,True,False
ronaldsummers,QQvQirGkCX,2023-04-03,23:15,False,False
virginianorman,zaCd,2020-07-11,06:39,True,False
mhayes,PyAz,2022-03-29,11:40,True,True
hbrown,qgRnC,2022-04-24,23:16,True,True
kellermatthew,HaEkoR,2020-05-30,02:27,True,False
brian37,Oj,2021-07-28,14:26,False,True
tammypreston,VFpQrMgR,2022-01-23,12:49,False,True
qhart,dUaOSkhfgG,2021-06-17,13:16,False,False
swalker,jVCkJhil,2024-01-02,13:16,True,False
mallory85,ewZuaQjql,2020-04-30,23:46,False,True
qmadden,Qprl,2021-05-09,07:30,True,True
andrealopez,BGwBwCQXHN,2022-09-24,05:42,False,False
ksanders,Uhip,2022-12-10,01:26,False,False
rachelperry,vtEg,2022-08-19,00:37,True,True
shelby52,BUnjEwny,2021-08-21,15:38,True,True
brianmacias,eQJLphKSE,2022-09-07,16:22,True,False
bnguyen,MRrMxm,2022-06-10,22:35,True,True
cbaldwin,wiNBjr,2023-04-22,20:47,False,True
maurice92,lpm,2023-09-11,02:47,False,False
hwilliams,Kbkf,2020-12-05,13:51,True,True
miguelmcbride,fSsbuz,2020-01-21,11:59,False,True
ryanadams,ifnTCOu,2021-02-27,06:01,False,False
judith39,niXht,2022-03-15,04:54,False,True
jacksoncarla,VfTqvvB,2023-02-25,03:53,False,False
