UserTag,TweetId,TimeStamp,Device,OS
tayloramanda,bOmQ,2020-04-20,Android,Android
crawfordethan,kGZWbeZVMR,2022-12-06,iPad,Android
erik68,Ng,2024-03-24,Desktop,Linux
uwilson,BiwlLTl,2022-11-08,iPad,iOS
ryan45,SqVxJjex,2021-09-17,Android,Android
jonesjohn,jRl,2020-07-02,iPhone,Windows
hhansen,PkWTa,2020-09-24,Android,iOS
judithrivera,OpIECGzc,2020-03-17,Web,Windows
alejandrokim,aPJCb,2022-04-19,Web,macOS
marybrown,AhC,2021-10-05,Desktop,macOS
kenneth20,CsFsul,2021-12-01,iPad,Linux
molinaraymond,gxztNy,2022-11-30,Web,iOS
jessicarichards,zcfCiXb,2022-10-27,iPhone,iOS
stephen24,FOjHiF,2024-01-22,iPad,Linux
michaelknox,cM,2023-12-28,Web,Linux
lisamorales,mSJJl,2020-09-20,Web,Linux
james85,ijPG,2023-03-30,Web,Linux
duncanjustin,qZgzdz,2023-04-18,iPad,Android
revans,nTmAnq,2022-03-22,iPad,Linux
rita37,AWhsSUD,2021-10-03,iPad,Linux
aaroncoleman,Bi,2022-06-04,Android,iOS
jennifer96,jiLI,2020-02-14,Web,Linux
huberbeverly,ZCQsjvbY,2021-06-22,iPhone,Windows
nicole84,PZ,2021-01-26,iPad,Linux
egates,UuZ,2024-02-08,Web,Windows
frasmussen,OJuGrBM,2020-02-23,Web,macOS
christina70,xeP,2021-05-08,iPhone,macOS
tstevens,rBrEzMdkKs,2022-03-20,Desktop,macOS
traceyschultz,IP,2021-02-02,iPad,iOS
ipark,gwpytF,2022-04-06,Desktop,Linux
alexandria45,vcyLnKl,2020-08-26,iPad,macOS
karen83,nfBTKRn,2021-03-08,Android,iOS
hallchad,QjK,2023-10-12,Desktop,Linux
mayaustin,Bcp,2022-08-30,Desktop,iOS
cortega,zNoP,2021-07-04,Desktop,Android
lisaday,CKptKAXRK,2024-02-06,Desktop,Android
christopher70,QNn,2020-11-15,iPad,Android
lori91,MNiFrHLpg,2020-09-01,Web,Android
castilloalexandra,CICWBSFBTS,2022-09-23,iPhone,Android
robin84,wGTBlkFkN,2022-05-01,Desktop,iOS
brittany97,CyMHbGB,2021-11-09,iPad,iOS
peter85,cjVyu,2022-06-23,iPhone,Windows
barry11,ejSODMk,2023-10-13,Android,Android
gina04,VAVBkTjhd,2023-03-20,Android,Linux
crystaltaylor,Tvdkyz,2022-09-15,Desktop,Android
wpittman,IJfmA,2022-05-09,iPhone,macOS
penningtonscott,TTaDqt,2020-01-15,iPhone,macOS
natashaodom,SaZCurMMB,2022-09-28,Android,macOS
denisehughes,ogCsd,2023-02-17,iPhone,iOS
kimberlymckay,KgsqtgpchN,2023-11-19,iPhone,macOS
rebekahzimmerman,YokFtb,2023-04-28,iPhone,Linux
calhounryan,vmr,2023-09-26,Desktop,iOS
stacypotts,xsQkOZlZk,2024-04-09,iPhone,Android
torresjason,JubHWtAAED,2022-06-17,Android,Linux
oliviadean,ehKANals,2022-09-28,Web,Linux
jacksonchristine,DqZowqskbV,2022-09-01,Desktop,Windows
emily98,ZOzhH,2020-06-03,Android,iOS
castroaaron,BQAIFxx,2022-11-28,iPad,Android
ocalhoun,wGTBlkFkN,2021-07-15,Desktop,macOS
matthew68,oPNTTOQYJ,2020-07-19,Desktop,Android
aimee42,jOSe,2020-04-05,iPad,iOS
debradiaz,hbq,2024-02-14,Desktop,Linux
ejackson,geOt,2020-03-12,Web,iOS
kreid,yf,2023-10-28,iPhone,iOS
bsmith,BKCdn,2023-04-08,iPhone,Android
smithmelissa,VKHJslJiq,2021-04-22,iPad,Windows
kendra41,XttTCxZxrr,2020-09-02,Web,iOS
foxpatrick,ICCcr,2020-07-11,iPhone,Linux
kimberly17,yE,2020-08-11,Android,Linux
millertaylor,Kct,2021-05-23,Desktop,Linux
brad42,GYPgtFcV,2023-07-19,Android,Windows
jennifer36,ibOEkcs,2023-06-16,Desktop,Linux
tboyer,wRX,2022-08-11,iPad,Windows
donnabyrd,APg,2021-04-29,iPad,Linux
lori15,yTuDIwD,2020-11-11,Desktop,iOS
justin70,Nwz,2021-04-07,Web,Linux
cherylwhite,XiPVUdLuu,2020-02-18,Desktop,Windows
parksshawn,CSNECFKPRS,2020-06-10,Desktop,Android
ashleybailey,HgcdZ,2021-11-30,iPad,Linux
georgeterry,ctWtCjG,2023-08-18,Desktop,Windows
riverajohnathan,rQ,2021-08-11,Desktop,Android
paul30,qq,2023-01-14,Web,macOS
reynoldsjoshua,UOgRAYAs,2022-10-07,iPad,macOS
alyssa62,yiJL,2021-05-13,Web,iOS
ubarr,uVdTnENq,2023-05-22,iPad,macOS
knapplisa,hLaI,2022-02-16,iPhone,Linux
apowell,PEoN,2022-06-17,Desktop,macOS
quinnaudrey,ZwBRjIV,2020-10-03,Desktop,Linux
crystal50,lenjFtGR,2020-04-28,Android,Android
beverly54,NP,2020-01-02,Web,Windows
turnerjoshua,clE,2020-06-08,iPhone,Linux
lauren94,Cwkb,2023-01-29,Android,Linux
zmunoz,vzvkj,2021-06-15,iPhone,Linux
ann94,izlxbhy,2023-02-12,iPhone,iOS
dpope,Dlqj,2023-01-28,Desktop,Windows
klopez,NdnEC,2021-01-13,Web,Linux
briancurtis,xWd,2021-02-05,Web,Windows
jeffrey32,hXoyZPta,2022-04-18,Web,iOS
armstrongbarbara,SNIdWW,2023-04-20,Web,iOS
abigail59,SRin,2022-12-25,iPhone,Android
yortiz,FP,2022-11-13,Desktop,Linux
williamsscott,PEju,2023-09-12,iPhone,Linux
hardinmichelle,GRO,2020-05-01,Desktop,macOS
philip94,pNytplIPB,2021-09-10,iPad,Linux
xortega,OITGns,2020-06-23,iPhone,Android
boltonjose,eQ,2023-04-29,iPad,Android
mariaevans,jcT,2021-08-06,Web,macOS
cortezbrandon,NDEUp,2023-04-13,iPhone,iOS
stewartbrenda,vEXYCzF,2020-11-25,Desktop,Windows
turnertiffany,gYgKslzhv,2021-03-11,Desktop,macOS
stephanie08,ZL,2021-06-27,iPad,Linux
porternicole,lVO,2023-01-10,Web,macOS
perrybrenda,eOFQhIb,2023-06-28,Desktop,Linux
amy42,akOgKDVRuO,2021-04-17,Android,iOS
kristenmanning,ozHwhNj,2023-03-29,iPhone,Linux
shernandez,oLuqEPC,2022-06-18,Web,iOS
david82,tUZoq,2023-05-20,Android,iOS
madkins,Df,2022-11-06,Android,macOS
tara94,CLiSIaauS,2023-10-27,iPad,Windows
jacksonamy,GPOOvXjTnG,2023-09-15,Desktop,macOS
deanna15,ap,2023-12-10,Android,Windows
josephjones,aIGBDaAZS,2023-11-12,Desktop,Linux
weavermarie,WdKi,2020-04-17,Android,macOS
daniel63,DN,2022-11-21,Web,macOS
egardner,nQW,2022-09-23,iPad,Android
heatherjones,fxZOpRb,2021-08-08,Desktop,Linux
harriselizabeth,oIEayEMEQH,2022-11-03,Web,Linux
johnsonwilliam,QTUkuaG,2021-07-18,Android,Linux
phyllisvalentine,KUJzumL,2020-08-25,Web,macOS
taylormichael,IwocBY,2020-11-08,iPad,Android
mark09,YsGtKv,2023-10-20,iPad,Linux
steven71,azHgaKfZ,2023-08-27,iPad,Linux
kristincollins,aUamlP,2021-08-14,Android,Android
jjohnson,FHfGf,2022-09-01,Android,iOS
adam99,HlYiIoYaNT,2023-05-28,iPhone,iOS
ashley99,aU,2021-08-09,Web,Windows
benjamin37,JbnNQoKkp,2020-11-14,Android,macOS
rodneybecker,uqyoWOB,2020-09-24,Desktop,iOS
cheryl46,JvviKsJYTx,2022-07-22,iPhone,macOS
daniellegutierrez,EgSH,2020-08-04,iPad,Linux
sherry64,CaS,2022-02-24,Web,Windows
hbeck,lHVXPDk,2020-12-15,Web,Android
dpope,qgXGbcwQZ,2023-01-08,iPad,Android
quinndawn,sAuqhK,2024-03-22,Web,iOS
brownkyle,rANzCAciB,2023-09-03,Web,Windows
clinton19,BldH,2022-03-27,iPad,Windows
cassandra26,ZOc,2023-09-23,iPhone,Windows
scotthannah,AeUzGdFTV,2023-03-01,iPad,Windows
michelle28,zULdtVdV,2021-02-01,Web,iOS
parkerjeff,gco,2020-05-07,Web,iOS
georgeking,IHRQ,2021-09-01,iPhone,iOS
rosechristopher,ktLAK,2021-11-09,iPhone,Windows
lucasmeyer,GPP,2020-03-07,Web,Windows
hamptonnicole,tCu,2021-11-10,iPad,iOS
aprilayers,QxpX,2024-01-27,iPad,Android
traceybass,KgudQei,2020-07-01,iPad,macOS
dale60,Ph,2022-04-24,Web,Linux
charlesibarra,CSNizXOVUW,2021-06-04,Desktop,Windows
katherinesaunders,bOHD,2021-10-12,Web,Android
garycaldwell,YTyXAi,2021-02-19,Web,Android
drivera,nJvEFLk,2022-11-23,Desktop,Windows
kochjill,XyntH,2020-07-25,Web,Linux
brianrodriguez,yjeBS,2020-06-07,Android,Android
cdavis,FMj,2021-12-27,Web,Linux
dadams,BAOLsDIvRY,2021-01-29,Android,iOS
kristina61,RGlN,2020-07-13,iPhone,macOS
miranda08,lis,2023-03-13,iPhone,iOS
howardteresa,IivSumXACO,2021-08-07,Desktop,Windows
uthomas,QdGSIQTsq,2024-02-08,iPad,Linux
miagarcia,DnGRWBDY,2021-12-02,iPad,macOS
owenashley,awec,2021-09-20,Android,macOS
christensencaitlin,YiWWwiY,2021-03-24,iPhone,macOS
christinesmith,QcSylsj,2021-07-07,Android,Windows
moniquecole,vamifo,2020-11-12,iPhone,macOS
slee,FGy,2021-04-18,iPad,Linux
olsonrachel,WySNDl,2024-01-09,Desktop,Android
goodmanrobert,SrsRoLMiEN,2021-06-10,iPad,Android
rebeccaparks,nZnMvottS,2022-02-21,Android,Linux
ashaw,feZ,2022-09-24,iPhone,iOS
andrew66,cNTTy,2023-12-01,Desktop,Windows
marthaflowers,DQArTNrhvc,2021-06-19,Web,Windows
shawntorres,GpGVkkhlp,2023-07-11,iPad,macOS
brennanryan,NQ,2023-04-17,Desktop,iOS
ginahernandez,wPkA,2020-04-29,Web,Windows
reyesdavid,tXMzd,2023-12-14,Desktop,macOS
nicole50,kuOmgtW,2022-11-12,iPhone,Android
tatewalter,fQirBz,2022-09-10,iPad,iOS
justin90,fqRGwpPt,2022-03-31,Web,iOS
kelseystokes,VZRl,2022-07-23,Android,Android
jason12,SWWFgs,2023-12-16,iPhone,Windows
sryan,qaUOZ,2021-11-05,Android,iOS
henry10,SooFgv,2020-11-27,iPad,macOS
douglasmark,mJL,2023-09-26,iPad,Windows
harrischristopher,YTFXrYw,2024-01-06,Desktop,macOS
morrismarissa,JvviKsJYTx,2020-03-25,iPad,macOS
buckleysarah,HS,2022-03-09,Android,Windows
santiagomelissa,vrX,2023-02-09,Web,macOS
craig19,XfYsHQXn,2024-02-26,iPhone,Windows
craig81,KAGlPSqXos,2024-01-16,iPhone,Android
hubersylvia,BSYAi,2022-09-03,Desktop,Linux
ramseydakota,Esyhtw,2023-12-19,iPhone,macOS
ustewart,fKERHrz,2021-10-13,iPad,Windows
eric67,XXr,2023-04-04,iPhone,iOS
eortiz,DVVGUN,2024-03-04,Web,macOS
troywalker,vqeA,2023-03-23,Web,macOS
cynthia90,AVPRaVwFcR,2022-05-22,iPad,macOS
nathanielmcdonald,EagYe,2022-12-07,Desktop,macOS
veronicaharris,KQH,2020-10-17,Web,iOS
ashleybradley,Au,2020-03-09,iPad,Linux
dpatterson,duSCTJxtVZ,2023-12-28,iPhone,macOS
ugonzalez,mredCRmn,2021-02-02,iPad,Linux
vanessasloan,Pj,2020-07-25,iPhone,iOS
colson,ooidhHaQ,2024-04-07,iPhone,Windows
hollowayjoseph,RmHEYady,2022-07-30,iPhone,Android
kelleredward,sUxNW,2023-06-02,Android,Android
erin18,YDGJTvLm,2021-07-19,Desktop,Android
pattersonsheryl,fEkNWsutcJ,2020-08-02,iPhone,Android
yhanna,kayzEuwZi,2022-06-29,Web,Linux
hinestyler,Adp,2021-05-17,iPad,macOS
shirley96,nbxOvF,2020-08-08,iPad,Android
heatherlyons,PVJYBdoqRn,2021-04-09,Desktop,iOS
ppham,hrcGmukV,2021-08-07,iPad,macOS
debbieroberts,iJzY,2023-10-30,Desktop,Windows
barbarahughes,EtiFFV,2021-06-19,iPhone,macOS
james04,DIRnhBktO,2023-01-18,Web,Linux
kmccarthy,qfMwyFxxE,2024-03-25,Web,macOS
tdudley,wUtYX,2021-03-25,iPad,iOS
vsharp,vEpuTheoN,2021-01-10,iPad,Linux
toddmary,pEtl,2023-12-30,Android,Linux
ucordova,NcZWYeXeWp,2020-03-12,Desktop,Android
carlos34,LXCIHoL,2021-12-29,Web,Android
burnsheather,CuDRIQSbPy,2023-07-03,Android,Linux
brian29,iQulxO,2023-04-07,Web,Windows
brownlisa,FLGQQD,2024-01-28,Desktop,macOS
jonathanhouston,ftfrlwg,2023-07-24,Desktop,Android
garciawendy,AX,2022-05-15,iPhone,iOS
kyle78,HnluwT,2021-08-24,Web,iOS
fparker,iyXXBcq,2022-11-22,Desktop,iOS
kimkayla,ijXxfwRzkM,2021-01-20,Web,macOS
waltersrobert,CsDJvGgiHv,2020-11-10,Desktop,Windows
zbailey,PxD,2020-07-07,iPhone,Linux
dwarren,EJOFyuRJUw,2020-07-31,Android,Windows
brian80,KgyuN,2022-10-19,Web,Android
bbell,qbu,2023-10-23,Desktop,macOS
peter86,cGX,2020-03-09,iPad,iOS
karasteele,FhEqY,2023-02-27,iPad,macOS
molinashaun,PRqiH,2020-08-25,Web,Android
megananderson,rQnEWPU,2021-09-27,Web,iOS
pgreen,CHGRdQ,2023-02-12,Desktop,macOS
chasemark,MbcyxJ,2020-05-29,iPad,Android
alexander18,ct,2023-03-10,iPad,Windows
bwatson,FxEiykhSK,2022-10-22,Web,iOS
anthony93,Jkggxq,2023-02-09,Android,macOS
ashley84,Mvr,2020-10-23,Desktop,Android
denise46,BLkDWqzZ,2023-03-05,Android,Linux
baileyrobert,WWw,2020-06-23,Web,Android
bethanypark,fKCUwDVanh,2024-02-17,Desktop,iOS
twarner,eMWEcYH,2020-12-16,iPad,Linux
smithnancy,iPaF,2020-12-08,iPad,Android
kingwilliam,Zol,2023-04-05,Desktop,iOS
smithoscar,LtDsYtJDww,2023-02-13,Desktop,Android
yateserin,gwSzP,2022-01-31,Web,Windows
brad42,Sh,2023-02-20,Android,Linux
agarcia,aewZs,2021-10-22,Android,macOS
kevingates,XMNifsOQk,2020-04-01,Web,Windows
debra42,HkeTZQqaqu,2022-06-08,Desktop,Windows
parkerjeff,tY,2022-08-25,iPad,Android
jweeks,fxrO,2021-10-18,Web,Linux
ariley,rVOzW,2022-01-19,iPhone,iOS
evansgeoffrey,CFnTaFeZ,2023-07-13,Android,iOS
lauriehanson,KgvYZikep,2021-05-10,Web,Linux
edaugherty,fFriKdeOQ,2021-01-22,iPad,iOS
gjones,ISg,2020-08-15,Desktop,Windows
banksscott,RNiLlnIgQR,2024-01-24,Web,Linux
johnschroeder,Mzncu,2022-07-24,Android,Windows
millsheather,AWhsSUD,2021-12-02,Web,Windows
twells,bw,2020-06-27,iPhone,Windows
saramarquez,LmtxFxkJUF,2023-01-16,iPad,Linux
xwallace,WsSv,2021-06-11,iPad,iOS
ucastro,HLfEFa,2023-06-16,Web,Windows
angela32,eFyZki,2020-04-19,Web,iOS
qjohnson,rdHq,2020-01-24,iPad,Windows
millerbenjamin,KplIpQ,2022-08-23,iPhone,iOS
guerreromichael,IknNSNPj,2021-12-24,iPhone,Android
scottwilson,YfZ,2020-07-27,Web,Linux
fwilliams,Qbtz,2021-02-16,Desktop,Linux
thampton,FdnqCECC,2023-01-21,iPhone,Linux
umartin,MVFhHaZ,2020-07-17,Web,iOS
murphystephanie,og,2020-04-06,Desktop,macOS
costaemily,XtyaXbJ,2020-05-29,Android,Android
thompsondaniel,Sj,2022-01-02,iPad,Android
veronicarivera,umY,2021-01-17,Android,iOS
seanthompson,mWcbzKosxO,2022-11-29,Android,Windows
april19,mmrhRD,2023-04-21,Desktop,macOS
codygiles,sjutAh,2021-05-19,Android,macOS
xmills,Ve,2022-07-04,Android,Linux
yjones,UoKWzhR,2020-04-14,iPhone,iOS
alex21,EwlWJdr,2024-03-12,iPhone,Windows
karenyoung,YbGZo,2020-04-02,Android,Linux
rcollier,ppHMTa,2023-11-25,iPhone,Android
thomassusan,iRo,2022-07-14,iPad,macOS
brianna97,RKlyjQ,2024-03-28,iPad,Android
jessica15,EPp,2022-07-12,Desktop,Android
ibanks,oIEayEMEQH,2020-07-23,iPad,Windows
carrilloalan,rQ,2023-07-04,Web,Windows
andrea25,MzYQNnA,2021-03-04,Android,Linux
paulwilliams,adYHBXo,2022-08-30,Desktop,Windows
annewallace,rXOel,2021-04-26,Web,Windows
sfrazier,cxfB,2022-04-25,iPhone,iOS
fosterallen,BLkDWqzZ,2024-03-27,iPad,Windows
edaugherty,oPoKZ,2020-01-24,Desktop,macOS
lopezryan,FOjHiF,2024-03-25,iPhone,macOS
yhammond,GvlPr,2023-03-24,Desktop,Android
jakegomez,xxBN,2020-05-14,Desktop,Android
heatherlyons,wXVdEo,2021-03-11,Android,Windows
debradiaz,dVeNVIf,2024-01-01,Desktop,macOS
douglasmark,hfB,2020-04-16,Android,Android
ashleyjohnson,hnWJSD,2020-10-01,iPad,macOS
joann01,uAErTtdB,2023-01-17,Desktop,Windows
douglassuzanne,xr,2023-09-16,Web,iOS
andersonjacqueline,HzQvF,2020-02-28,Android,macOS
joseph40,HstlocZLXN,2022-10-15,iPad,macOS
roberthaynes,YmcLU,2023-09-14,Web,Android
lauriebyrd,aEoW,2020-07-23,Desktop,Windows
yneal,LBk,2023-03-03,Desktop,Linux
nmullins,tgsYtsoZOS,2021-06-04,Desktop,Android
banksjaclyn,lhzIikJED,2022-05-31,Desktop,macOS
timothycook,LQO,2020-11-02,Web,iOS
christopher78,LirqFigu,2021-07-07,Web,macOS
stacycook,dzYVpni,2021-06-02,iPad,iOS
destinyperez,SVyVjz,2022-06-17,Web,iOS
alyssa48,EFprlCmC,2023-01-04,iPad,macOS
flara,KaKp,2021-04-24,Desktop,iOS
vanderson,aRsKrWANCF,2020-06-04,Desktop,macOS
russellemily,coo,2021-10-20,Desktop,Windows
flarsen,xEBbGtjxj,2022-05-07,Web,Linux
jamie15,frUiRbYPU,2023-10-17,Web,iOS
ytate,oFZJYJG,2022-08-22,Desktop,Windows
haroldchapman,pNytplIPB,2023-01-07,iPhone,Linux
nhuang,LaEnSPHL,2023-12-08,iPad,Android
