Id,Name,Is_dm
IS,"Boone, Davidson and Torres",False
iYgdLwc,Morrison LLC,True
JMnBnXrX,"Thornton, Harper and Johnson",True
nYMQuRYZ,Perkins-Long,False
giQw,Mcdowell-Graham,False
ElUGW,Gibson LLC,False
hORAQEm,Roy-Cline,False
zWNwsR,Patterson-Alexander,False
TeO,"Ferguson, Aguilar and Long",True
FEYqW,Jones Group,True
CXlPyLV,Thomas-Wilson,False
wsc,Parrish-Lopez,False
PYzUz,Watkins-Montgomery,False
kaJxvj,Turner Group,False
lJogOexbV,"Fowler, Miller and Anderson",False
PiJGxx,"Bradley, Callahan and Bowen",True
OVy,"Anderson, Ellis and Thompson",True
BRaxf,"Mcgrath, Simmons and Mitchell",False
ARhFptq,"Cruz, Henderson and Jones",False
zYM,"Coleman, Stewart and Chang",False
UHrmjTeZL,"Velazquez, Atkins and Gardner",True
TNEdrcI,Wolfe-Martin,True
AeyJtAwgM,Barber-Ayers,True
ApjJfLOwM,"Castaneda, Ellis and Graham",True
ZxVrhuq,Hoover-Nguyen,True
aDfoE,Browning and Sons,True
Xek,"Gomez, Nguyen and Brown",False
FrVuDKDHjm,Cain-Barrett,False
sWmyspFD,Becker Ltd,True
cAPRoNZ,Day-Tyler,False
Iw,Gordon Group,True
JiZ,Reynolds-Palmer,True
MNz,"Copeland, Fischer and Stafford",False
aWQXZFUi,Jackson Inc,False
mENEFBZ,"Stewart, Nguyen and Singleton",False
pQIVyJSgmD,"Wall, Collins and Tyler",False
tQe,"Robinson, Leonard and Mckinney",False
KfyLuoP,Mendez-Miller,True
tWNq,Garcia and Sons,True
Tv,Hall Inc,True
FbBSynEnI,Carney-Ramos,True
rcJvcDftNV,Barrett Group,False
StodM,White-Frederick,False
cNsZe,Hall-Hernandez,True
seKNQ,"Berg, Griffin and Chase",True
mhLXGyxN,Cline Inc,False
PEx,Sellers and Sons,False
fciimtl,West-Kirby,True
IqEF,Blair Ltd,True
mbu,Jackson-Johnson,False
wHkH,Benjamin-Jefferson,True
CxKj,"Lindsey, Huff and Anderson",True
yXMspBAQqf,Payne PLC,False
wT,Tucker and Sons,False
kBJkLV,"Burton, Carter and Webb",False
pHoN,"Lee, Thomas and Floyd",True
kKMQWLz,White-Lane,True
cHQRyvL,Jimenez LLC,False
XRiRV,Jordan-Thompson,True
xFBNXeJ,Ward Ltd,False
zOwZBTX,Jarvis Ltd,False
CQKXEnZ,Weeks-Bell,True
rDhtU,"Smith, Bailey and Boyle",False
YkW,Medina Ltd,True
lfEtVyMM,Mosley-Ashley,False
dFFJ,"Hammond, Kennedy and Anderson",True
SoIuf,Fleming Inc,False
bUCe,Ray PLC,True
XHplL,Heath-Jimenez,False
RYDmFgLQC,Jones Group,False
zwGNtHia,Christian LLC,True
nhaQ,"Solis, Brown and Robinson",True
PIpvpTLou,Park and Sons,True
MsyFQOfm,"Butler, Rodriguez and Myers",False
nAT,Evans Ltd,True
BHmDYNt,"Torres, Farmer and Everett",False
hm,"West, Peterson and Park",False
PHeT,"Wright, Mccall and Arias",True
pR,"Wright, James and Morris",False
rtoMkKm,"Morrison, Hernandez and Medina",True
Ghmb,"Baker, Padilla and Lucero",False
uYQX,Morton Ltd,False
wWic,"Gomez, Huynh and Charles",False
IZSBDl,"Ali, Hayes and Webster",True
PfyhgViMtj,Mcguire-Sullivan,False
esKuiqDe,Russell Ltd,False
ccnpOyhGor,Navarro and Sons,False
PzGJHtYW,Bass Group,True
moXLoD,"Frazier, George and Watkins",True
fsBkBqrKXd,Phillips-Henderson,False
kGVeGIE,"Williams, Saunders and Bowen",False
yeOfB,Waters-Leach,False
YNTFlwmJ,Myers Group,False
ZTuw,Roberts-Jones,False
aH,Griffin-Juarez,False
cuInqvz,"Mitchell, Hernandez and Jordan",True
nkx,"Madden, Chavez and Collins",True
lkRHGklm,Compton LLC,False
fLAC,Patel LLC,True
XttsFB,Christensen and Sons,False
kumoEC,"Henry, Underwood and Morton",False
NGIvyt,Santos LLC,True
ABXBpnmksI,Brown Ltd,True
tpcay,Hernandez-Barnett,False
VyWAGh,Nguyen Inc,True
UkNTSu,Dixon Ltd,False
JFQUyGR,"Brown, Stone and Beasley",False
EofhXCZc,Decker Group,False
FybGAasV,"Johnson, Marshall and Howell",True
rpQ,Collins Group,True
OcH,Ellis Inc,True
XVIeyT,Hall-Walton,True
otWhv,Krause Ltd,False
PItiPEY,Jones PLC,True
TchzXqybpm,Hurst Ltd,False
JHgpTpx,"Martinez, Mosley and Peterson",False
BSlLfgQf,"Sanchez, Johnson and Hernandez",False
jSJZq,Edwards PLC,True
RliRy,Gibson Group,True
red,"White, Campbell and Clay",True
yaDmODxXg,Harper-Greene,False
oxhKFbMHhf,"Jackson, Davenport and Carlson",True
jQFPJlVHxX,"Martinez, Strong and Hernandez",True
iXBPACq,Madden Group,True
FOVnoq,"Smith, Jones and Farmer",True
lTA,"Norman, Figueroa and Murray",True
WIgdrVC,Reynolds-Giles,False
sDkllyTtC,Sosa-Marshall,False
wSgDrwL,Anderson-Byrd,False
kxKdLHGY,Christensen Group,False
BaSSeQ,"Nunez, Gonzales and Campos",False
Yx,"Hamilton, Russo and Chan",False
TqHoqv,Reed LLC,True
KRyDxryr,"Lara, Reynolds and Smith",False
njbgrzrVR,Rodriguez Group,False
KC,Marshall-Price,False
gCxb,Wheeler Group,False
IiX,"Maxwell, Sheppard and Martinez",True
gVanJMgGgz,Adkins-Collins,True
gWixGEoOtQ,Matthews-Chung,True
zkGqiJdw,Davis-Owens,False
eFdoDo,"Johnson, Adams and Moore",False
avHHvH,"Buckley, Brady and Scott",False
PlnekMBu,Oliver Group,False
uZJbDC,Oliver LLC,True
LLFfsO,Thomas LLC,True
GfpygoaHol,Snow-Nelson,True
hNw,Manning-Leblanc,True
QoNo,Crawford Inc,True
DFUoQGhc,Roberts-Johnston,True
QcjlIpz,Lowe Group,True
oy,"Solis, Joseph and White",False
dBFQhblWE,Stewart PLC,True
tKVG,"Mendoza, Weaver and Roth",True
oWGOVaXMU,Mercado-Rodriguez,True
jbFzDUkGX,"Clark, Giles and Rodriguez",True
qxvJrisedD,Arnold-Jones,False
bWmZDv,"Saunders, Clayton and Smith",False
UfbHMMWv,Fox LLC,False
cTvtypvUz,Allen Inc,False
xRD,"Lopez, Bryan and Mueller",False
xfwDbbHN,Gray-King,True
BkTLmt,Snow PLC,True
TiSFuG,Davis-Figueroa,True
YoRqZdU,Kelley-Ramos,True
EfDPR,Davis PLC,True
SSHTBOULsO,Lozano-Allen,False
GTMe,"Anderson, Cook and Walker",False
EUcpOm,Smith-Atkinson,True
OXvCuXQ,Walter-Hunt,True
ac,Smith-Tyler,False
XphaEDEUs,Welch-Abbott,True
mEGQEiO,Munoz Group,True
IE,Sanchez Group,False
FKo,Ortiz PLC,True
Fl,Ramos Inc,False
sIwUQ,"Garcia, Webster and Morrow",False
qapfObfn,"Bishop, Carson and Bailey",False
mD,Beasley-Brown,False
dOQLicblW,Odonnell-Chandler,False
OnqXA,"Gutierrez, Smith and Carter",False
hwXFWIrnIR,Thompson Ltd,False
RSbtrMYvt,Jones-Greer,True
ZG,Sellers-Fox,True
FPLJ,Short and Sons,False
akFrkDiI,Reese-Griffith,False
EtK,Crawford-Rose,True
cxkUDH,"Morgan, Valencia and Strong",True
Fil,Stephens LLC,True
gyOwDxNMn,"Campos, Diaz and Brown",True
pvjRgVETm,Robinson-Vaughn,False
xvq,Wilson LLC,False
sL,"Galvan, Harrison and Stevens",False
xfJxZLX,Matthews-Baker,True
GseCNwPujz,Elliott-Baird,True
HgS,Martinez Ltd,True
vEXlHOtnqj,Gomez Inc,False
Tvz,Smith-Mercado,False
lYSnj,Dixon-Hess,True
FZeEAkhdN,Green Group,True
AFiin,Bennett Inc,True
GJE,Knight-Johnson,False
ykyQ,"Colon, Smith and Hubbard",False
oJOsDakd,Edwards LLC,True
hIHu,Martin-Lynch,False
vVvDvk,Crosby-Walker,False
hmZAI,"Mccoy, Ferrell and Kelly",True
aPkSudCL,"Craig, Wolfe and Barnes",False
TIRj,Stephenson and Sons,True
BwppU,"Bond, Lawrence and Sanchez",False
xwmUshpxYM,Goodman-Murray,False
JYJN,"Decker, King and Marshall",True
KT,Guzman and Sons,True
lYZH,Grant-Hunter,False
tpKuDCXo,"Wilson, Hall and Bryant",True
Eowfx,Calhoun-Hale,True
aC,"Robertson, Smith and Wong",True
kccBOj,Clark-Mason,True
JbpC,"Reese, Foley and Long",True
xdRLmjNr,"Gutierrez, Cooper and Tran",False
ytBKJe,Cabrera Ltd,True
cqxjV,Silva Group,True
ipboZd,Gonzalez PLC,True
TvFTppazF,"Gray, Williams and Roberts",False
DiooKKm,Cortez LLC,True
EfeMbcdMO,Kim-Ruiz,False
FSXRG,"Clark, Richard and Page",False
GogwbmVmjn,Perez Ltd,True
vJnyDOfytC,"Weber, Cummings and Ponce",True
Dieg,Sellers and Sons,False
eJdsUVHTg,Brown-Ramirez,False
LrAll,Curry Inc,True
PvAWDr,Martinez LLC,False
LOh,Russell-Hawkins,False
mYcZ,Wagner-Davis,False
kIZNfb,Zamora PLC,True
fiRzsL,"Rivas, Fuller and Church",False
uNeHswCN,Robinson-Young,True
lCQtqXHU,Johnson PLC,True
cuVrRmu,Davis-Stevens,True
rPTUr,Stokes Inc,False
ecGsb,Myers-Wright,True
wYDMxTWca,Vasquez-Matthews,False
vLxHonrja,Potter-Gilbert,False
OTpdJv,"Roth, Stafford and Johnson",False
rlvF,Ruiz LLC,False
rH,Castaneda LLC,True
ZplXD,Bowers Inc,False
xGZvgDukDO,Allison-Berry,True
WgneORjyG,"Dawson, Graham and Graham",True
tAxEL,Butler PLC,False
PsHEjwhiNN,Rodgers-Sanders,True
UeCJK,Smith and Sons,True
ZfuOLysxok,Porter-Anderson,False
LRwV,Santana-King,True
DAzD,"Arnold, Lowe and Sanchez",False
yJPBSO,"Norris, James and Phelps",True
SGFeezo,Williams-Lee,True
kXMpw,"Martinez, Ford and Bean",False
GqnHdKSMS,Petty-Coleman,True
gSUog,"Robinson, Ray and Mckay",True
IvZsg,Smith PLC,False
xsU,Morrow LLC,True
bqeM,"Zimmerman, Davis and Elliott",False
piQ,Rivera Group,True
mbEso,Rangel-Peterson,True
zd,Moore-Potter,False
EvzRQzIyhj,Arias and Sons,True
mQVR,Brown Inc,True
DbrbBwmiEG,Davis Inc,False
snytntss,"Hall, Becker and Reyes",False
TUBiqg,Mclean Inc,False
TZOuyqI,Fischer Ltd,True
awd,"Mills, Nelson and Oconnor",True
Ywawt,Stevens-Kennedy,False
fluodMXxS,Scott-Dickerson,False
mB,"Henry, Leonard and Friedman",False
YFFTTXGPW,Stuart-Middleton,True
WJrcCIjADZ,Stevenson Group,False
CVQYSD,"Weiss, Williams and Byrd",True
vVuiSP,"Porter, Kim and Garcia",False
XiREgGa,Mcdonald-Crosby,False
tUbys,Hernandez LLC,True
LqECizPp,Avery-Cook,False
FhWEE,Ferguson-Reynolds,False
BEjs,"Jones, Morris and Smith",False
ilng,"Bailey, Knight and Gomez",True
eOz,Cook and Sons,True
XaDQdn,Williams PLC,True
KCxmM,Hunt-Christian,False
dyDe,"Smith, Turner and Thompson",False
vRfUcBYyWd,Davis LLC,True
BSVxEJ,Lewis-Scott,False
QZNQ,"Stein, Ross and Henderson",False
USMujE,Rivera-Burton,False
cxVH,Perez LLC,False
xHgM,Pratt Group,False
VuP,Phelps-Reed,True
lsSgdTT,Jacobs-Bryant,True
RAju,"Bryan, King and Benitez",True
azuWrciuZk,Reed-Barnes,False
pucFzU,Williams Ltd,False
mkEne,Mckinney-Anderson,True
bGER,"Campbell, Lewis and Washington",True
NONRYHnlwG,"Shields, Cook and Mcdonald",True
piw,Best LLC,False
tJaXC,Anderson Group,True
aHqiQreWQF,"Flores, Smith and Pratt",True
At,"Hayden, Rodriguez and Edwards",False
ITK,Parker-King,False
RIDofhgjhA,Oneal and Sons,True
MTVIMt,Lara LLC,False
OBeDsARnS,Pena Group,False
ZgG,"Duke, Moody and Russell",False
QlTLWLsJ,Henderson and Sons,False
ZsMHvVmJ,Gonzalez-Hoffman,True
zUPfSDcN,Lee-Bennett,False
Aiuae,Walker Inc,True
eVkraFYY,Mccall-Andrews,False
nbFSHY,Banks-Jackson,False
xGRv,"Liu, Watts and Mcknight",False
PCL,Ellis-Perez,True
Xoeuqvb,"Thompson, Ramsey and Maxwell",True
cXAmhM,"Martinez, Miller and Martin",True
UGyijCgOl,Gomez Ltd,False
OEA,"Arnold, Fritz and Bush",True
nsnNTV,Whitaker-Davis,False
RuZAPW,Schultz Inc,False
KXVkVO,Williams Ltd,False
CUSbv,Jones LLC,True
wmb,"Williams, Johnson and Adams",False
wcMinad,Chapman and Sons,True
nKjhSs,Smith Inc,True
vtjT,Wright LLC,False
neeulGLnEb,"Davidson, Becker and Cantrell",False
cvJzmwcXo,"Guzman, Shepherd and Edwards",False
cKqQPFHnDE,"Burton, Walker and Hernandez",True
rBPm,Dixon Ltd,False
EPfbBzOG,"Johnson, Johnson and Evans",False
rFbJanGo,Jones PLC,True
XIKntDs,Anthony PLC,True
ThWx,Rivera Inc,True
ZCBEfZsVya,"Johnson, Roth and Fox",True
CsqLlzblC,"Oconnor, Hinton and Collier",True
CKIT,Brown and Sons,True
Cvt,"Gomez, Taylor and Espinoza",False
kfJbjFdFI,Friedman-Smith,False
UhGU,Griffith-Moore,False
jB,Roberts Inc,True
EIKgSKYWnb,Holland Ltd,False
ZMoEO,Pena Inc,False
cZiETbXEa,"Ross, Jenkins and Coffey",True
ppd,"Wright, Mcknight and Serrano",True
VY,Soto-Hodge,False
uSmEq,Bryant-Wood,False
zaolpuI,"Hall, Mclean and Kim",True
iNQ,"Richard, Cantu and Cook",True
EwPqqWKGq,"Bradley, Jenkins and Stein",True
yzKuc,Bailey-Skinner,False
ElDykHp,Bradford-Perez,True
sHBCGQ,Burgess-Neal,True
TwR,Pierce Inc,True
xFcPtD,Cooley-Mathis,False
ySjvdvV,Stevenson PLC,True
FOt,"Rivers, Keller and Young",False
oItn,Burns-Garner,False
AGjJKECeU,Carrillo-Morgan,False
fdAwqspz,Nguyen and Sons,False
yRw,Garcia-Prince,False
OSlkC,"Baker, Berry and Walls",True
DPx,Mccarthy-Smith,False
PBnbDNUvPs,Hill Group,False
DpbWKufDz,Estrada and Sons,False
rhCdhaEcSy,Greer-Hall,True
unGAirkDG,"Fowler, King and Walsh",False
uHuX,Gonzalez LLC,True
rmvLohDw,Bradford and Sons,False
Mj,"Howard, Perry and Oliver",True
ixo,Vaughn Ltd,True
pdAYvZ,"Cordova, Young and Knight",False
Obz,"Hicks, Barnes and Williams",True
bUpndX,Lopez and Sons,True
tpsYVlqjoo,"Kelly, Johnston and Murray",True
kXkT,Evans-Hill,True
eijcVGgJFu,"Walker, Sanford and King",True
kyVACi,Austin-Pope,False
mLdaRJLN,Vaughn and Sons,True
nCHN,Reyes Ltd,True
eKuEuetc,Riley PLC,False
YyQGXbbw,"Miller, Burke and Lyons",False
Xwl,Mann LLC,False
Axa,Reyes and Sons,False
AwhfeyRDP,"Tran, Jones and Walters",False
Xn,Tyler PLC,False
zwaKqYaQUV,Russell-Rojas,False
GB,Patterson-Wallace,False
dhz,Melendez Group,True
VtLZiNQKWy,Richmond LLC,False
nwEAEz,Walker-Rodriguez,True
rgxlAMCDg,Gutierrez-Robinson,False
WZCWUE,Chandler Group,True
CMtqLf,Kelly Ltd,True
kNmRRmoj,Thompson-Nguyen,True
DJoyIMJOD,"Walker, Parker and Leon",False
kMvNROQU,Garcia-Thompson,True
BWeBDX,Kramer Group,False
AXAtuMI,"Turner, Simmons and Martinez",True
qQTFNpmW,Newman-Johnson,False
YPtfkc,Johnson-Lucas,True
RDadq,Chase PLC,False
eCslg,Ruiz Ltd,True
yjLrMLGc,"Beck, Martin and Andrews",False
SHzPOud,Soto-Jackson,True
EEzS,"Park, Banks and Huynh",False
ApfZ,"Sosa, Velez and Murillo",True
ul,"Sanchez, Schaefer and Meyer",False
CW,Davis and Sons,True
DIzXmKhPi,"Turner, Williams and Anderson",True
ELcc,White Group,True
hSfQfl,"Davila, Cook and Mendez",False
QwxyzBdJvi,Edwards-Lindsey,False
Zvj,Lara Inc,True
bsQjzlG,Terrell Group,False
IOBo,Wright and Sons,True
gZXRgUIauM,Huerta Group,False
hgYm,Patterson-Morrow,False
VLuflkB,Perez Inc,False
QJUTbTAlQ,"Moore, Vaughan and Hunter",True
XTfaMAnAe,"Silva, Reynolds and Howard",False
QGUDWZ,Johnson Group,False
Yw,Lee LLC,False
CMbT,Anthony and Sons,False
qsMCNRO,"Murillo, Hayes and Beck",True
IopwNUE,Rowe-Harris,True
bAn,Morris Group,False
iMofY,"Ritter, Cuevas and Miller",True
udtPYUC,"Villarreal, Evans and Morales",False
iJPU,Kline Ltd,True
ED,Rose-Crosby,False
BmDs,"Hansen, Delgado and King",False
fuVFusquOZ,Davis-Williams,True
sDpvD,"Edwards, Knight and Williams",False
hBDGCD,"Allen, Jones and Madden",True
RkVMPn,Andrews Group,True
kxDUvgz,Bryant-Hill,True
KYkTz,Lopez Ltd,False
Zx,Melton LLC,False
umV,Harris PLC,False
hCvEkNXA,Russell-Day,False
rmyeMPO,Lowe-Anderson,False
xDeDoXNkL,Norman and Sons,False
EbHZKky,Stephens-Rice,False
zsuDXEpLD,Kline PLC,False
oTUKLVMC,Malone Ltd,False
CSEsXZGMzd,"Banks, Austin and Walton",True
KrVjxgf,Martinez Ltd,True
MxO,"Reeves, Mendoza and Davila",True
IugGe,"Baker, Young and Wise",True
vcvY,Curtis-Murphy,True
YokP,Williams-Henry,True
GinryoQPd,"Mills, Summers and Levine",True
FX,"Owens, Ruiz and Webster",True
ZepDKqdmU,Hardin-Griffin,False
xXYPxM,"Miller, Murphy and Gonzalez",True
GJtKzOtfK,Fields-Alexander,False
OTMqFD,"Rodriguez, Tucker and Mitchell",True
eYv,Moreno and Sons,True
iZXWMB,Adams-Fisher,False
lwllcgDD,"Brooks, Young and Le",True
tKVlnJVbAd,Brown-Roman,True
HSlcATfU,Wilkerson Ltd,True
PeyfGTh,"Fernandez, Young and Palmer",False
IlStAFtm,Brewer-Johnson,False
zWZ,Paul Group,False
rmrI,"Small, Hill and Mercado",True
EQ,Thomas-Henson,True
CjCfmi,"Norris, Donovan and Blackwell",False
biNttp,Hobbs and Sons,False
bqCYnWBm,Hall-Barber,True
ZlFhn,Fernandez LLC,False
mByjlFnmE,Swanson Ltd,True
hvo,"Mcdonald, Gates and Cole",True
OqIMfnz,"Garner, Reyes and Wyatt",True
GXnDwNsYsM,Ortiz-Nguyen,True
CIZKQ,Nelson Group,False
aKpKtWSdqp,Durham-Nicholson,True
pgMMOx,"Crawford, Miller and Sherman",True
etNARy,Johnson PLC,False
EImHYxCb,"Davis, Berry and Little",True
XCT,Wolf Inc,False
SiZqeezm,"Collins, Webster and Davis",True
xCXRaUvLHQ,Dean LLC,False
MCFN,Hernandez Ltd,True
ywFl,"Stevens, Pratt and Zamora",True
kQVjtedA,Walker-Davis,False
euX,Brown-Williams,False
eORH,Anderson and Sons,True
FdaDApXFGH,Brown-Moore,False
zBaXTzM,Ramos Ltd,False
KUgTPR,Marsh LLC,True
ZjkmGabx,Mcknight PLC,True
bcHJYUAh,"Wood, Gillespie and Adams",True
YCbiaiNY,Foster and Sons,True
