UserTag,ChatId,Since,IsAdmin,MutedMentions
meltonnicholas,vGeDdAtWrC,2023-11-14T00:31:14,False,False
patricia60,bCKEYaC,2020-07-04T22:53:04,True,True
cmcconnell,ithXxwYaed,2023-10-21T02:56:03,False,True
john04,VIHF,2023-03-31T09:14:06,False,True
bcaldwell,KksRzdwj,2022-08-21T19:30:39,False,False
ltran,GQs,2023-05-01T23:15:24,True,False
john82,zYaMKBYlGn,2020-04-05T13:58:11,False,True
williamsjerry,JWkfP,2023-07-08T13:55:50,True,True
henryrachael,voHnGio,2020-05-22T15:45:05,True,True
katiethornton,nqLy,2020-02-13T21:18:20,True,True
shawnnicholson,NBrtgRubDp,2021-03-04T12:52:21,False,True
rreed,RiLjqdC,2022-08-06T05:48:58,False,True
alejandro88,XOEAdbIWQ,2020-06-30T07:56:32,False,False
webbadrian,zwtJpxkjv,2022-11-04T18:14:12,False,False
uhayes,ZEmhoM,2022-06-29T03:43:05,False,False
tiffanywarren,eXfll,2021-09-13T14:27:08,False,False
theresamassey,afxf,2020-08-27T20:49:07,True,False
baileymark,xSFkRdXtN,2024-03-26T13:19:59,True,False
ablackwell,CxWQDv,2022-05-30T12:36:10,False,True
christina35,IFQxUPmUN,2021-02-25T01:33:43,True,False
anthony84,IQNPquPnE,2021-01-09T10:07:30,False,False
ashley70,xWwvkWxA,2020-10-24T02:59:26,True,True
cookbrianna,zhIVUF,2021-11-08T05:37:59,True,True
oliverlinda,CSRpxwyWsL,2021-12-30T08:28:32,False,False
huntdavid,YspcWRs,2020-10-19T12:45:43,True,False
uhayes,nERYS,2021-05-28T13:21:31,False,False
samuelsmith,mNyqFnv,2021-02-11T08:45:37,True,False
fernandezbrianna,rwoU,2022-01-27T13:33:42,False,True
davisbrianna,wJOkGoVe,2022-09-07T12:30:46,True,True
mgomez,jZeCBWpg,2021-11-07T08:15:59,False,False
jessegonzalez,bPLhYFm,2020-08-28T15:16:07,True,True
martinezbrandy,toerZUImRS,2020-05-13T05:46:23,False,False
hansonjulia,ps,2020-01-13T14:02:58,False,False
tpham,dNrzhf,2021-05-19T10:36:35,True,True
suzannesantiago,BVxVzzATGJ,2023-02-06T10:22:15,False,True
harrismark,LFCL,2021-01-24T01:00:29,False,False
theodorejimenez,FvDOWgIvJD,2022-05-06T18:33:58,False,True
reillyandrew,HxKFsMgCME,2020-11-11T09:03:57,True,False
alvarezrobert,NHKuT,2020-08-30T05:32:54,False,False
ramseychristina,veCoiyip,2020-03-07T22:10:32,True,True
melissa28,VtX,2021-08-11T03:32:18,True,False
ocastillo,odNFK,2023-12-12T22:16:28,False,True
weaverwilliam,lmzJmJIPO,2020-11-09T10:11:04,False,False
michael08,Qy,2021-02-09T15:13:19,False,False
judithbutler,xbxhNuE,2022-08-19T23:19:17,True,True
dbrock,HfFHgKG,2021-10-04T23:39:42,True,True
tayloradam,fJtUL,2024-02-26T04:40:00,False,False
nicholaslewis,OyIwOZNPbr,2021-09-07T12:51:52,False,True
jessica83,ehYJNNQo,2021-02-05T02:59:10,False,True
osborneanthony,saNz,2022-06-05T16:45:24,True,False
rebecca70,nxLWNolLH,2023-03-29T03:39:20,True,False
mirandabrown,qTKAouVa,2021-12-21T15:25:10,True,True
halerobert,DeCRkATZv,2024-03-12T07:04:31,True,False
ucrawford,QbjrellWk,2024-02-11T10:59:58,True,False
ghartman,vOYFshMUJ,2021-01-02T23:54:12,True,True
duanecampbell,CDksGxo,2024-04-13T02:06:23,False,True
xkelley,sToGWC,2021-08-19T00:01:18,False,True
jacqueline24,hoEztIo,2020-01-05T23:03:28,True,False
jonesdominique,qtFj,2021-03-24T03:57:44,False,True
wmaldonado,qRWc,2020-11-22T19:51:59,True,False
cgriffith,gBtPwbr,2020-04-26T17:08:55,False,False
christina26,OkxTqY,2020-01-09T05:38:40,True,True
jasmine10,uAs,2023-03-31T23:57:49,False,True
andrewkelley,qyq,2024-02-15T01:18:44,False,True
ubush,RI,2020-02-19T21:16:48,True,False
patrickeverett,EvsEwFKIU,2021-10-13T22:16:50,True,False
tbrowning,RHU,2020-04-18T19:15:27,True,True
melissa99,Atr,2023-02-24T21:36:38,True,True
jareddiaz,dSwo,2022-07-25T09:14:36,False,False
fbruce,liL,2022-06-30T20:30:36,True,True
robert21,NDVSIECKpS,2021-05-14T20:27:56,True,True
audreyharris,tfXEwrQP,2020-05-01T02:24:49,False,False
coxsharon,MtOFErLk,2022-11-26T00:13:39,True,True
gsmith,qaAEqyV,2024-01-26T07:51:09,False,True
robertrussell,vOsxpAp,2023-08-18T22:12:25,False,False
barbara86,yM,2020-12-21T02:32:34,True,True
connie40,NB,2020-11-13T08:10:13,True,True
scottbrooks,NQiugVpjk,2020-03-26T02:38:58,False,True
zvillarreal,QsM,2022-03-11T12:55:58,True,True
juliaglover,JYieA,2022-03-07T15:06:14,False,True
laraashley,yomd,2022-12-20T10:36:28,False,False
justin74,xHKGyl,2020-01-28T06:34:55,True,False
carpenterrussell,uGDlWavX,2021-06-19T07:36:34,True,False
tbright,Vwa,2022-11-11T01:45:07,True,True
jadkins,WeZr,2020-07-20T22:48:15,True,True
michaeldavis,SUViVXn,2023-11-10T07:43:40,False,True
robert19,ndxEHxNC,2022-01-29T11:20:00,True,True
angelasimmons,WuBSp,2020-06-16T05:34:43,False,True
matthew10,XPgRjQf,2020-07-19T11:13:49,True,True
nowens,gToqFrHgL,2021-12-23T14:48:05,False,True
markblack,pcRjtA,2022-02-02T08:32:05,True,False
kenneth89,KPIIiEW,2022-07-09T22:16:46,True,True
wigginsjames,FlXGbvCz,2022-06-22T22:36:18,False,True
mortonangela,Cc,2023-06-22T12:11:58,True,True
fgarcia,hkReUr,2023-04-12T18:19:08,False,False
cole91,fxUhR,2022-08-04T05:42:29,False,True
tammymueller,fflDo,2023-05-01T07:14:04,False,True
ryan81,PifzBtbfaz,2024-04-13T02:43:33,True,True
fsherman,wUL,2020-07-01T14:37:36,True,False
mcgeesamuel,HuNHhDia,2021-01-28T02:46:29,False,False
belllee,BXFLB,2022-05-08T04:43:12,False,False
jeffrey65,jWXs,2023-12-15T12:52:34,True,False
heather38,oyDWsfE,2022-01-10T20:33:49,False,True
lori42,KAMZii,2020-12-14T05:04:55,True,True
bianca01,oUzOEDG,2021-05-20T22:31:10,False,False
xbooth,mwY,2023-11-07T18:55:27,True,False
mstephenson,HPgPWLfxI,2022-10-08T01:37:21,True,True
megan85,FUnszXE,2023-03-07T06:33:16,False,True
emily39,JgIjplacSa,2022-11-02T19:50:47,True,False
lloydjordan,UTPteAb,2023-07-07T04:35:39,True,True
huffjames,kscD,2023-12-19T19:00:10,False,True
laura19,UPJo,2023-11-04T07:21:24,True,False
johnburnett,dYXM,2023-08-02T21:18:24,False,False
pattersonkristine,XxLPgev,2020-09-13T22:37:25,False,False
wrighterik,xlCXOZ,2024-02-12T09:58:34,False,False
jeffrey21,DlEGvIRCG,2023-09-06T04:02:38,False,True
wbeltran,HmZBnqJi,2020-12-10T22:36:20,False,False
fisherrobert,AHytLeBIFk,2021-06-24T12:44:34,True,True
kevin69,SWzsY,2024-02-20T10:35:00,True,True
changlindsey,eFgsJbMb,2021-04-08T04:57:09,False,False
hernandezcarrie,kiNgkDlkL,2021-08-31T00:48:03,True,False
alyssagarcia,gdzvMPj,2023-10-02T15:06:06,False,True
larsonkirk,hlmxH,2020-06-14T10:52:52,False,False
alvarezsamuel,UvyEOA,2021-01-09T05:50:45,False,False
joshuasullivan,yZtEvS,2024-01-06T09:38:41,True,True
wsmith,UBeRYY,2021-03-17T12:00:30,True,True
xking,WLTjprjbq,2020-01-20T00:36:26,False,False
harry36,bPqRtqOWuK,2021-07-17T07:35:01,False,True
smithsherry,HyYcwuCv,2023-01-02T16:54:13,False,False
mariahsullivan,UVdCBpZps,2020-11-22T07:07:15,False,True
millerkevin,BtNoGgybJA,2021-09-25T13:54:08,False,False
danieldean,slAGOXgIY,2021-08-10T19:08:28,True,False
russellnicholas,ZfkqOiR,2020-12-24T10:56:36,True,True
anthonychambers,RUPC,2020-06-13T22:28:25,True,True
mbriggs,INexE,2023-08-19T02:10:52,False,False
gonzalesthomas,DuRg,2021-07-01T19:47:54,False,True
alicia25,NQDOXfvJ,2021-08-30T08:40:48,False,False
oking,nQsoKAUtA,2024-02-04T14:39:50,True,False
joel85,uDKnkOff,2022-02-22T16:37:57,False,True
huntjennifer,mwVPwTMGnb,2020-06-14T00:29:56,False,True
megan56,qMtypx,2023-02-10T22:50:52,False,False
sgonzalez,rmCJz,2020-01-07T17:15:37,False,False
jonathan53,USRkg,2021-07-21T20:51:45,True,True
fgross,NrBjY,2023-06-16T12:28:13,True,False
wwilson,bCyIoTbNA,2023-12-29T18:03:23,True,True
brian40,ZxzFxyHdv,2020-04-10T11:07:08,True,True
kimberlywilliams,FikPmPtymu,2020-07-17T02:39:17,True,True
frivas,qCTBUMq,2021-11-04T00:57:06,True,True
fhuffman,IIAE,2023-07-04T15:55:14,True,False
brandon26,waI,2022-04-29T17:53:54,True,False
asmall,zEaRZkm,2023-08-31T03:50:44,False,False
bday,mFMeHtQ,2020-03-07T03:40:44,False,False
tuckerjay,hxsmML,2021-01-12T15:53:27,False,True
matthewgarcia,rLlzzFZ,2020-07-03T21:10:34,True,True
jocelyn86,hPLw,2021-06-23T22:40:23,True,False
aarnold,BONEYFVL,2023-05-12T05:31:28,True,False
greershannon,EFIaPbp,2020-08-07T07:18:38,True,False
halldennis,vwTJrPIbc,2023-04-11T02:34:10,False,False
gbell,eZe,2023-07-22T18:34:55,True,True
prussell,gNrUVLZC,2021-07-29T18:31:12,True,True
kmelendez,XxLPgev,2022-11-12T06:27:44,False,False
brooksnatalie,GwYKO,2023-01-14T12:24:13,False,True
awhite,tnK,2023-06-02T02:21:26,True,True
xcochran,ZUrNe,2023-12-27T19:55:55,False,True
gregory82,XREDqYhCVX,2022-09-07T13:38:23,True,False
wendyhoward,REDSrpR,2021-07-15T22:36:30,False,False
lindayang,ilfvGROTb,2021-12-11T20:38:11,True,True
maciasryan,FNI,2023-03-12T09:11:26,True,False
virginia68,HqZPZ,2022-03-08T07:47:53,True,True
victoryork,AcW,2022-01-01T04:34:56,False,False
hubbardjackie,rKjSHKbe,2024-02-27T15:22:14,True,False
nathanleach,zcZaw,2020-07-30T14:14:37,True,True
andrewkelley,cAUkwdGyV,2022-11-27T03:46:30,False,False
pereztammy,YHguOR,2021-10-26T10:08:15,False,True
michaelwerner,KbuRa,2021-10-17T13:26:13,True,False
tonyrobinson,Rm,2023-07-14T09:41:38,False,False
amy77,oYun,2021-10-09T14:58:57,True,True
darrylreed,xKCDoDu,2020-07-06T14:40:59,True,True
williamsanita,JgIjplacSa,2022-09-06T15:12:16,False,True
mbriggs,BtNoGgybJA,2020-06-12T22:07:09,True,True
jillianharris,RJNEik,2023-05-10T17:26:38,False,False
victorroman,vk,2020-11-21T02:35:02,True,True
parklacey,rwBSmQH,2022-01-03T05:53:50,False,True
nicholas92,NeB,2023-07-31T17:39:19,False,False
xrobinson,MdQTsQE,2021-05-22T23:38:08,True,True
ugreen,OWbfr,2022-07-29T08:37:46,False,True
xholmes,rXsjUEH,2021-12-02T06:50:04,False,False
gonzalesbrittany,StxBJLqH,2021-12-14T21:03:22,False,True
andersonjoseph,Up,2023-12-22T03:35:46,True,True
rebeccawatson,WctUzIRvQ,2020-03-28T13:21:54,False,False
hallbreanna,QevV,2022-07-04T15:38:28,False,False
mooreedwin,mZP,2020-10-30T08:59:43,True,True
wcarey,pTgSWtLCjw,2023-03-27T03:15:04,False,True
jonescarla,wYDJuE,2021-08-15T22:48:03,False,True
dawn46,NmiObcfi,2021-03-29T07:04:06,False,False
dmartinez,WWiha,2021-03-24T02:01:37,False,True
jmcdonald,QJTxEztzrs,2021-03-30T10:14:02,True,False
shannon12,SqDGJkMRQ,2022-05-13T22:41:37,False,False
qgonzales,hwFfdsgCN,2021-02-02T09:07:38,True,True
chelsea76,aJJolwqD,2023-07-09T19:38:24,True,True
marvinparks,iebpyEls,2022-03-03T15:00:26,False,False
dmyers,CnSljS,2021-01-12T10:14:15,False,False
eadams,nCu,2024-02-21T02:27:10,True,False
huntdavid,NdxWhVsK,2020-06-25T18:11:52,False,False
sheascott,EwP,2023-08-07T21:53:08,False,False
patricia52,UTaVOESnkj,2023-07-16T01:05:11,True,True
blakesanders,VhtRV,2023-02-12T13:08:49,True,True
jimenezsusan,FZYkcyCQKt,2023-04-05T12:40:35,False,True
elizabeth81,XUA,2021-09-01T15:56:07,False,False
samantha41,UTaVOESnkj,2022-02-26T11:35:58,True,True
carrollroy,SveslISM,2021-04-01T23:10:34,False,False
robert84,zdXOzf,2022-10-21T08:19:31,True,False
rterrell,ESjt,2023-12-25T22:13:27,False,False
wendyrodriguez,WgOmL,2020-01-27T05:38:37,True,True
lindagonzalez,ewyM,2022-06-24T08:20:10,False,True
jessemurphy,ZHUhH,2020-03-01T01:53:33,True,True
pmccullough,MCVpFYX,2023-11-27T16:40:29,False,False
christopher83,atKkZd,2022-07-16T08:28:36,True,False
janice85,JNW,2023-08-07T12:49:00,False,True
jamesmoore,ifWcwogU,2020-02-20T23:39:41,True,False
vhernandez,iNxVZ,2022-02-24T22:28:30,False,False
sanchezkevin,RsFh,2020-10-24T06:33:58,True,False
deborah39,sCbvqHcZ,2024-02-03T18:39:11,True,False
rodriguezeric,uAZi,2022-08-30T22:21:41,False,False
jchandler,ESw,2022-07-16T13:24:13,False,True
parksjessica,MkYi,2022-09-06T07:06:44,True,False
emily39,Gsq,2020-10-14T19:32:34,True,True
johnvelez,gERGbkdwcm,2021-10-18T14:49:30,False,False
jsmith,lLncPgaV,2023-12-22T12:23:09,True,False
tdominguez,djpHf,2020-04-10T19:46:29,False,True
richardsonsteven,MWaZ,2021-11-09T16:56:54,False,True
kimberlywilliams,aeWTmNUOO,2020-03-08T12:39:29,True,False
amanda60,zCerihe,2021-06-05T19:52:58,False,False
anitareynolds,kvhPcR,2020-04-21T16:50:25,False,True
kendra53,YLEidivw,2023-02-08T12:51:48,False,False
angie87,nkeJg,2024-04-02T22:10:47,True,False
austincollins,brwvMpN,2023-05-29T07:07:13,True,True
sandra68,MygzD,2020-08-14T15:37:00,False,True
ihamilton,PXXNeR,2023-12-07T04:05:59,True,False
marissawells,OpaUD,2022-12-30T05:01:38,False,False
natalie11,XqVgpf,2022-05-16T00:02:17,False,True
petersensarah,dUSNm,2022-07-22T13:54:08,True,False
kevin66,JeHnrXc,2024-03-25T17:01:16,False,True
billyjohnson,fCvSEgfjDb,2020-08-31T04:14:40,False,False
michelle07,VlA,2020-03-06T01:50:12,False,True
debbieruiz,iXvCSq,2020-06-23T20:25:47,False,True
joselowe,ZaIbnT,2022-12-24T02:31:06,True,False
audrey79,JUOQFy,2020-11-04T19:56:49,True,False
jeffrey27,tDgNewnUef,2021-09-23T01:39:15,True,True
melissa89,cZM,2021-01-18T04:55:36,False,True
daniel84,GXXJz,2024-02-22T18:50:57,False,False
jamessmith,qCUDMEDbK,2023-09-05T20:01:27,False,False
jesse60,uZWslOA,2020-12-20T20:42:34,True,True
beckycraig,bKePjqo,2021-07-13T17:12:19,False,False
crossmelissa,gjPxh,2021-10-02T00:31:11,True,True
john38,HGKqPdR,2023-01-20T05:15:36,False,True
sheenacarter,ogYI,2020-05-01T17:49:13,False,False
sandra06,kWmJYPpb,2022-09-24T11:37:48,False,False
jray,kjDNK,2021-02-03T00:32:23,False,False
kristina28,UnjkbXI,2024-04-01T08:38:00,False,False
melissa18,jw,2021-09-04T09:26:17,False,False
cynthiacastillo,OQwYGylsP,2020-06-24T14:52:53,True,True
eshannon,FlXGbvCz,2020-05-30T12:44:12,False,False
stephanie24,eaoRhAiB,2020-03-11T02:50:54,True,False
phillipgreene,VssniAyv,2022-09-26T06:42:54,True,False
xmiller,iRz,2022-11-10T15:20:20,True,False
kimberlyscott,uYptWXM,2020-03-08T14:08:43,False,True
zoeroberts,BMcxMUqsmS,2021-11-27T07:10:28,True,True
campbellcheyenne,idRhDRO,2022-04-05T09:00:25,False,False
andrew71,tsrhr,2023-01-11T22:46:57,False,True
nancyjackson,ycTgMlP,2021-03-05T10:05:41,True,False
randywalton,mdn,2020-11-26T23:33:43,False,True
jramirez,lUbUFKMwE,2021-08-16T10:50:02,True,True
susanfoster,wtHn,2020-09-15T00:08:03,True,True
qsolomon,HTldYe,2021-11-03T14:47:09,False,True
gordonchad,fVVxaAzBN,2022-09-28T03:39:58,True,False
karenpowers,IHG,2023-02-25T15:15:04,True,False
pughedwin,KAMZii,2021-11-29T18:21:23,True,False
brittanyreed,YjEfSa,2020-03-28T19:36:59,True,True
jennifer15,UmyQ,2022-02-08T22:50:35,False,True
lindseymichael,Xmi,2023-04-24T13:26:40,False,False
nthompson,vwxGOCrEQe,2020-05-01T01:43:43,False,True
parkjoyce,AdIis,2023-06-23T18:07:39,False,False
davidsellers,jiIgVldg,2021-03-07T03:38:55,True,True
lindagonzalez,iFy,2021-03-31T12:06:04,False,False
michelle26,btLd,2023-01-14T05:01:20,False,False
hilledward,KCarKl,2020-11-27T00:00:40,False,False
courtneysweeney,dQKm,2022-06-30T02:21:32,False,False
kbush,XgsHg,2020-05-20T05:17:37,True,True
virginiaboone,DsiW,2022-03-08T03:07:37,False,False
ariel32,lSDJVES,2024-01-26T16:00:10,True,True
zgreen,At,2020-10-20T13:53:01,True,True
joelpacheco,uNrjYdnms,2023-11-07T09:31:44,True,True
mcconnellkathryn,BXM,2021-12-26T06:47:03,True,True
ihorn,RBkdidV,2020-03-03T09:46:38,False,False
burkepaige,gwJG,2020-07-02T14:54:09,False,False
gutierreznoah,hyiiElW,2023-11-03T17:34:10,False,True
rthompson,FIQzma,2024-01-21T11:22:30,False,False
xwright,nYCAgX,2021-04-02T14:58:26,False,True
emily66,zK,2020-05-28T21:08:05,False,True
cynthia82,SEQTZry,2024-02-26T21:59:59,False,False
stevenevans,fzGl,2022-12-17T15:10:40,True,False
millerrebecca,NKbL,2020-06-27T17:33:47,True,True
deborahross,wBQg,2023-11-19T23:48:21,False,False
marcusmendoza,HjbLSzFECT,2023-05-26T21:31:42,True,False
bowmandawn,WSh,2023-11-18T14:56:51,True,True
richardmcneil,cw,2020-10-28T04:08:40,False,True
dawn46,IuU,2022-03-04T13:28:41,True,True
darrenthompson,XiVSrQ,2023-12-15T18:07:48,False,False
mitchellmichael,JSky,2023-08-27T22:26:19,False,False
dawn46,msPudlF,2022-04-22T12:28:37,True,False
flemingnatalie,EsDK,2020-03-20T13:31:44,True,False
wolfeedward,bpqywJ,2021-12-07T12:19:27,True,True
martharose,my,2021-12-03T22:58:46,False,False
ryan81,wPz,2021-06-05T16:45:55,False,True
castrostacy,FqxQKU,2022-10-07T08:28:12,False,True
colinmcdonald,Zn,2023-01-12T14:26:13,True,False
figueroabenjamin,lMjfPsejUH,2021-12-01T15:58:15,False,True
jeffreyknight,QQECYi,2022-04-02T11:08:48,True,True
keypamela,DrOGu,2022-08-08T03:46:28,False,False
sanchezandrew,DrOGu,2020-08-30T18:59:04,False,False
charleslopez,WWiha,2022-10-21T00:10:10,True,False
jonesnicholas,QIF,2020-03-17T12:58:14,True,True
dperry,qCoz,2020-09-27T08:13:11,True,True
cdiaz,yMJYGMh,2021-01-06T15:06:10,False,False
wilsonlori,zedytYBfRy,2023-10-10T21:26:22,True,False
tristan95,sxvQpxCFGf,2024-04-13T12:32:14,True,False
joedavidson,HTldYe,2022-07-16T19:57:27,False,False
scottandrea,DhcqSfz,2023-11-12T23:18:20,False,False
fgoodman,sQiUugwQ,2023-10-14T03:31:14,True,False
johnsonjoy,YdpyWYW,2022-07-05T01:06:55,False,False
thompsonrhonda,nVp,2021-09-19T07:17:50,True,True
timhicks,qTKAouVa,2022-05-15T21:57:03,True,True
nicolepittman,uwU,2021-12-28T22:14:27,True,False
branchmelissa,WLTjprjbq,2021-06-06T13:29:16,False,True
ble,dUSNm,2023-01-22T16:00:14,True,True
dbernard,zAldpEj,2021-12-07T00:11:41,False,False
briannarodriguez,XOsWLZuWqT,2020-01-18T20:41:43,False,True
gordonchad,ViOKKfxk,2021-02-03T15:49:13,False,False
meganroman,DrOGu,2020-11-29T10:15:59,True,False
monroedylan,oqEfHaiZpu,2020-04-15T07:01:48,True,False
khicks,ffSo,2023-11-04T08:23:52,True,True
kevin66,QIjXP,2023-02-04T23:38:54,True,True
johnsonkatrina,et,2020-12-20T17:39:35,True,False
davidnielsen,ysyOm,2023-10-25T11:11:39,True,False
annecarpenter,ojvdG,2021-09-26T01:53:33,False,True
crystal81,BedjvAUxsY,2020-02-16T11:13:26,False,False
vscott,AyBseIzxuB,2023-08-30T03:23:28,True,False
ikramer,xHKGyl,2020-02-09T23:06:27,True,True
anthony93,Zrcu,2021-10-14T00:57:57,True,False
thompsonalexander,MqrM,2022-06-12T20:16:34,False,True
karenstafford,yrvLXQYE,2023-09-14T21:42:08,True,False
josephthomas,qLe,2021-05-16T12:06:28,False,False
ngarcia,wwHeMsuhv,2021-06-04T21:25:12,False,False
rachaelgardner,pwhqzk,2020-07-04T14:12:46,True,False
jennifer00,DFVq,2020-11-13T17:10:28,True,True
williamstokes,VTeb,2021-03-19T01:42:59,False,True
vward,pjrJZ,2022-05-05T06:18:08,False,False
sethmccarthy,PhDtV,2020-02-13T12:40:43,True,True
fisherrobert,vayQNWJ,2023-03-25T16:41:00,True,False
floresjeffrey,ZuO,2022-05-13T12:02:20,True,True
debbie64,wmPvo,2023-04-21T05:00:40,False,False
jennifer24,THKXCpfnk,2023-10-29T12:20:50,True,True
davemyers,uTtVphqloc,2021-12-27T07:31:59,False,True
jvillegas,DEGiFJAzf,2023-12-21T06:01:12,True,False
vpierce,uqDOCm,2021-10-15T22:49:03,True,True
lisacunningham,PRHOibn,2022-01-17T18:03:36,False,False
browningstephanie,gQaHr,2021-09-30T06:29:30,False,False
harmonthomas,NPkd,2021-11-29T19:11:25,True,False
linda66,CXmTQJ,2022-12-18T14:47:23,False,True
brenda12,ps,2020-01-17T09:45:53,False,True
ebird,fcszF,2022-11-10T06:45:45,True,False
georgeestrada,oMrnRf,2021-08-22T07:54:53,False,True
braunstephanie,wvRaIl,2020-12-05T09:42:54,False,True
ncosta,rJmjP,2021-01-12T03:47:00,True,False
cookshane,Pjf,2023-09-24T05:23:34,True,True
derekchen,RUPC,2021-09-28T09:45:51,True,True
jessicaharper,stVSOQMpgc,2023-02-21T18:47:37,False,False
davidnavarro,vClMrNeG,2023-11-02T08:04:30,True,False
christian96,CxAUQJzdzD,2020-05-04T04:27:45,False,False
bowenlogan,CCR,2023-05-09T01:40:13,False,True
klineheather,efuniVgM,2022-07-10T19:46:35,True,False
rstrong,bBOxQd,2022-09-25T00:06:51,False,True
rmiller,TYyIFjsTKy,2024-02-04T20:59:41,True,False
shawwilliam,Khvh,2023-08-02T19:59:30,False,False
annwolf,eayRSLQn,2022-12-06T03:06:16,True,False
brandilong,OozRkCd,2020-04-10T07:12:07,False,True
joshualambert,huUBkgKgHF,2020-02-29T12:20:30,True,True
lisa03,zlUyKRifLB,2022-01-02T02:24:38,False,False
lauren60,kQUU,2020-02-16T19:29:29,False,True
bennettjames,fXIgXIAMdN,2021-07-04T18:10:39,False,True
rachelgomez,pz,2020-10-16T20:04:08,True,False
rasmussenandrew,UqcN,2020-07-13T08:24:06,True,True
graymary,Gvlc,2020-01-28T14:10:29,True,True
gardnerbeth,uMfrtov,2021-08-12T05:59:58,True,True
alejandromccoy,JEPJpbF,2020-11-26T08:49:06,True,True
wmyers,icr,2021-08-29T03:40:26,False,False
jacobsonchristopher,ndCdgWK,2020-12-12T21:19:35,True,False
dunnwilliam,hFuUjtzRC,2022-04-27T02:43:27,True,True
ggarcia,NB,2021-01-09T11:14:06,True,True
cohenjennifer,ura,2021-06-02T16:28:31,True,False
bassbryan,QiIdHvFM,2022-09-09T05:10:13,False,False
martinezkristina,BMXVCVcR,2021-10-28T12:29:56,True,False
loweryrichard,fGz,2023-07-12T10:36:13,False,True
