FollowerTag,FollowedTag,TimeStamp,IsMuted,NotificationsActive
wrighterik,johnathan33,2021-04-23T17:41:04,True,False
rhonda07,sabrinadecker,2021-06-21T09:06:23,True,False
hoganellen,jamesmoore,2020-05-15T14:14:34,False,True
olutz,rushjesse,2023-12-26T02:12:10,True,False
lawsoneric,hbaker,2021-12-31T00:53:42,True,False
lawrence95,xhall,2022-02-19T01:25:10,True,False
pmiller,jean44,2020-01-30T12:52:34,False,True
murphylauren,bphillips,2023-04-02T00:38:50,True,False
davenportchristopher,johnsonmorgan,2022-12-09T17:37:45,False,True
littlemary,jeffreyrice,2021-09-07T12:28:02,False,True
heather60,jamiemiller,2023-01-25T23:35:51,True,False
davidhowe,leduane,2020-08-14T07:08:00,True,False
whiteheaddaniel,sarah77,2022-11-23T08:49:06,True,False
rbarnett,shepardwilliam,2020-01-02T16:05:00,True,False
gcampbell,adkinsjoshua,2021-02-03T19:13:12,True,False
gfox,johnlopez,2020-10-29T06:40:23,True,False
watsoncatherine,teresaschultz,2023-01-24T03:49:23,True,False
michael02,cisnerosmitchell,2024-01-19T13:12:58,True,False
ocox,john00,2023-11-21T20:37:14,True,False
amberhernandez,bmejia,2020-06-09T12:34:33,True,False
andersonpatricia,zgarcia,2023-05-09T15:28:34,False,True
davidflores,kimberly81,2021-05-06T07:58:28,False,True
mark94,williamsjesse,2020-11-09T11:40:51,False,True
allenmichael,spope,2020-03-11T21:13:45,False,True
barnesronald,lambertdeanna,2022-06-06T16:47:19,False,True
dawn46,wjacobs,2021-04-29T17:09:46,False,True
dwolfe,vdawson,2022-10-11T20:55:28,False,True
marshallangela,brittanybennett,2023-05-28T01:10:29,True,False
oruiz,lindastephens,2020-03-20T14:03:22,False,True
angelasmith,mlawrence,2022-05-10T17:01:15,False,True
rfuller,jonathonbrown,2022-12-04T15:56:44,True,False
whitneysmith,walterlarry,2024-01-24T14:24:53,True,False
anthonywilliams,katherine08,2020-02-23T21:14:36,False,True
bmullins,kelly47,2020-12-09T18:44:23,True,False
heather60,abbottkiara,2023-09-23T01:46:15,True,False
theresamassey,whall,2022-07-25T15:36:27,False,True
nowens,taylor11,2023-12-18T21:19:58,True,False
ramirezjuan,savannah49,2022-11-28T16:28:52,False,True
ecampbell,shelia85,2020-02-07T02:11:16,False,True
morrisonamanda,michael15,2022-07-29T11:25:58,False,True
larry06,justin98,2020-01-20T12:02:04,False,True
rthompson,tinamason,2020-04-25T01:15:45,True,False
lawsonmarcus,walterberry,2022-06-26T10:51:21,True,False
patrickfreeman,benjamingeorge,2021-06-09T09:46:36,False,True
garciatimothy,julie48,2020-08-20T05:23:29,False,True
icraig,gilbertkyle,2022-04-12T10:11:58,False,True
mweaver,psmith,2023-01-13T11:10:23,False,True
blevinsalex,james26,2023-05-29T08:45:46,False,True
lmatthews,whitebrendan,2021-05-04T14:59:40,True,False
mcintyrekathryn,jennifercarr,2021-10-11T01:25:12,True,False
anthony78,uhenderson,2023-09-29T23:35:13,False,True
jross,monroesylvia,2023-03-05T04:21:37,True,False
pamela14,oparker,2021-09-27T10:41:11,True,False
krystalsalazar,wcarroll,2020-06-10T08:04:03,False,True
ynewton,amy77,2020-09-16T20:49:06,False,True
zsanford,michaelwerner,2021-02-12T14:26:51,True,False
mmurray,kimberlycook,2021-12-01T22:42:44,True,False
joe07,michaelclarke,2022-05-14T11:55:01,False,True
luiscopeland,martinmatthew,2020-01-31T03:57:39,True,False
ablackwell,vburns,2020-04-10T01:03:32,True,False
amy61,christopherbell,2020-07-25T02:44:07,False,True
blevinsalex,vanessaguerra,2023-09-22T19:27:18,False,True
ocarr,jonathan23,2020-04-03T08:43:27,True,False
kennethphelps,tatehenry,2021-03-25T20:23:30,True,False
zbooker,meyersreginald,2021-12-22T05:15:14,False,True
fvazquez,johnathan33,2020-01-25T09:00:38,True,False
oking,sharicain,2022-02-09T14:18:27,False,True
crystal69,keithtaylor,2022-08-02T07:32:39,False,True
tammysheppard,flane,2021-01-04T23:22:09,False,True
chavezjeffrey,michael07,2024-04-06T23:11:50,True,False
ggarcia,garrettmatthew,2024-02-13T03:11:09,False,True
rodriguezleslie,matthew83,2024-03-27T09:46:25,False,True
traciperry,rchavez,2023-05-30T16:49:44,False,True
klineaustin,tammydeleon,2023-02-26T09:26:07,False,True
fgoodman,bowmanheather,2021-10-12T11:01:29,True,False
alicia41,hollandronald,2020-09-28T06:14:04,True,False
raymondgoodman,campbellsarah,2021-07-08T07:26:17,False,True
richard43,garrettmatthew,2022-12-06T10:58:06,True,False
myerslaura,ofoster,2023-11-17T06:22:14,True,False
pmercado,ryansharon,2022-12-08T17:36:18,False,True
olutz,toni27,2020-07-01T18:46:29,False,True
fmorris,wernertammy,2023-01-18T10:02:45,False,True
kjackson,joshua04,2022-10-30T23:17:56,False,True
richardlisa,xwilliams,2021-08-05T18:46:53,True,False
mortonlindsey,derek29,2023-03-05T16:55:11,False,True
johnwest,eedwards,2024-03-11T10:55:16,False,True
wwilson,robert21,2023-09-13T15:01:06,False,True
james92,moralesstephanie,2020-12-15T08:07:19,False,True
qgreen,elizabeth26,2023-12-16T07:53:14,True,False
melissa18,stephaniestokes,2023-09-20T03:52:41,True,False
teresa30,susan88,2023-05-04T00:12:19,False,True
cday,wrighterik,2023-01-07T15:43:50,True,False
austincollins,julia70,2021-11-15T05:49:39,False,True
bcollins,lisa95,2024-02-17T08:10:34,False,True
amanda28,yferrell,2021-09-29T06:55:26,False,True
julian70,patriciabishop,2021-12-19T07:36:39,True,False
ruben29,kaylamoss,2020-12-16T04:40:51,True,False
jerry83,john91,2024-03-24T22:19:16,False,True
aedwards,catherineowens,2021-01-31T09:08:56,True,False
jameshoward,krista77,2020-06-02T01:39:12,False,True
xvillarreal,sconley,2022-11-07T14:02:40,True,False
oswanson,burnsmorgan,2020-12-11T10:37:15,False,True
shansen,zhernandez,2021-08-19T18:59:08,True,False
angelasmith,ppeters,2023-08-20T04:40:27,False,True
djackson,gary97,2020-10-26T16:27:37,False,True
aaronespinoza,beverett,2020-08-16T07:07:14,True,False
graceboyd,kmelendez,2024-03-24T01:10:05,False,True
howefrank,michellepayne,2023-10-18T06:31:34,False,True
heatherfisher,evan06,2021-09-13T04:53:00,True,False
andrewwilliamson,matthew50,2022-01-15T19:09:29,True,False
robert70,qtaylor,2022-08-04T09:24:12,True,False
vchen,perryrobert,2021-08-31T10:43:09,True,False
kristin01,alicia25,2024-01-12T06:09:52,True,False
brendajohnson,amy77,2020-12-16T15:38:33,False,True
epetersen,michael99,2021-01-06T07:33:08,False,True
gvaldez,imcmahon,2020-02-02T23:40:53,True,False
ochoamatthew,nicolebrown,2020-03-12T21:45:38,False,True
herreraaudrey,angela49,2021-10-05T10:26:13,True,False
mjimenez,arthur98,2020-10-29T00:11:38,True,False
jessicaschroeder,melindaarnold,2021-12-09T13:43:24,True,False
kphillips,swalker,2020-02-18T21:47:38,True,False
hgillespie,keithflores,2022-10-20T04:13:12,True,False
keithdoyle,terrydominguez,2021-01-25T20:31:06,True,False
jean32,david20,2020-08-10T20:29:48,False,True
briandean,stacyzavala,2020-05-07T02:47:07,False,True
tom40,nicholas06,2021-11-29T06:46:27,True,False
stanleymichael,josephgilmore,2020-02-24T15:56:14,False,True
brittanyporter,donaldcontreras,2023-01-19T14:25:02,False,True
jamierussell,heatherfisher,2020-04-15T12:28:15,True,False
johnnyjohnson,rachel58,2022-05-03T22:24:56,True,False
shanereynolds,suzanne59,2023-12-25T04:13:15,True,False
schneiderscott,emilyrodriguez,2023-02-05T21:43:39,False,True
lauren52,hlawrence,2023-06-30T14:06:57,True,False
josephflowers,kayla54,2023-05-03T19:10:44,False,True
peterwalker,lisamurphy,2021-03-13T22:36:11,True,False
grantjohn,matthew41,2021-02-08T00:51:47,True,False
huntmallory,coopererica,2023-01-10T10:30:45,True,False
brittanyortiz,jonathan82,2020-08-24T09:48:49,True,False
kpitts,lmoran,2021-12-25T23:28:40,False,True
ldiaz,timothyrice,2020-12-10T17:57:32,False,True
rhondaodom,rebecca50,2020-10-25T05:46:26,True,False
kingkristine,hlawrence,2020-12-31T15:24:46,True,False
devans,santosanthony,2021-07-23T07:56:16,True,False
willisaimee,mwillis,2024-04-05T00:10:55,False,True
alexanderdaniel,molinadavid,2022-02-27T10:10:44,True,False
miranda70,walterskevin,2021-12-21T14:26:16,False,True
wcunningham,jacobsonchristopher,2020-12-14T16:51:38,True,False
jamie55,jimeneztimothy,2023-12-03T19:05:57,False,True
wendymcgee,samuelsmith,2022-09-18T21:46:03,True,False
fwall,wjackson,2020-05-22T17:05:03,True,False
rmoyer,olopez,2022-12-20T23:51:39,True,False
gregg78,andersonrenee,2021-08-11T13:19:45,True,False
ithompson,vanessa02,2020-12-21T00:25:01,False,True
jcarr,patrick69,2020-02-08T16:10:24,True,False
dustin23,jessica20,2021-10-10T04:32:51,True,False
benjamin84,ericaday,2020-11-25T05:36:36,True,False
elizabethfields,justin17,2020-07-10T19:09:06,True,False
michaelwalsh,campbelldebbie,2020-08-28T14:05:42,False,True
belljason,hpayne,2021-04-02T13:41:24,False,True
ashley29,katie64,2020-09-05T18:49:03,False,True
bowensusan,alangonzales,2021-07-24T21:50:24,False,True
brendakennedy,mirandabrown,2022-08-01T04:28:52,True,False
candice41,frazierjoshua,2020-05-31T09:29:30,False,True
andrewmayer,tbonilla,2021-03-02T23:22:02,False,True
barbara28,sarahnorris,2020-12-22T17:21:28,True,False
kathleenortiz,oruiz,2020-09-01T15:06:25,False,True
mcopeland,morriswilliam,2020-09-28T16:45:10,False,True
ulyons,cameron64,2022-12-21T21:01:53,True,False
martinmelissa,michaelleonard,2021-10-11T09:35:48,False,True
phuff,gillheather,2023-10-23T08:02:31,True,False
joshuasullivan,mitchellmichael,2023-01-23T05:30:22,False,True
campbellhailey,cabrerajeffrey,2023-09-26T08:34:26,False,True
debraosborn,coopererica,2022-07-02T02:58:08,True,False
williamsfrederick,carrillocasey,2021-02-20T05:44:49,True,False
cynthiacastillo,daviskevin,2021-05-25T09:04:01,False,True
elowe,joel13,2022-07-11T15:41:29,False,True
mnielsen,xharris,2023-10-20T08:02:38,True,False
douglasdavis,sheascott,2021-10-10T14:43:10,False,True
anthonyrobbins,trevinotrevor,2020-02-13T03:57:00,False,True
ostephenson,jenniferlane,2020-10-31T04:51:58,True,False
richardsonandres,rowecody,2021-12-15T19:17:34,False,True
vgonzalez,tford,2022-10-10T07:24:35,True,False
john29,maryhenry,2024-03-01T01:11:50,False,True
sarahmccullough,glenn28,2022-04-01T22:03:03,True,False
william95,wendylopez,2024-02-04T13:24:02,True,False
hmiller,hebertandrea,2022-07-23T09:00:21,False,True
jonathanhiggins,lowerandy,2021-01-29T17:54:36,True,False
thompsonpaul,qmorrison,2021-01-20T23:12:27,False,True
brian26,torreslauren,2022-05-12T22:04:30,True,False
moorelinda,charding,2020-08-05T04:52:36,False,True
erogers,qrodriguez,2021-07-19T02:30:06,True,False
david09,stoneemily,2020-09-30T12:58:46,False,True
peter20,smithpaul,2021-11-23T02:25:21,True,False
rjones,philipmartinez,2020-02-21T03:32:12,False,True
joshuaramirez,collinsnancy,2021-05-19T21:35:00,False,True
brianwebster,matthewmorgan,2020-08-13T16:56:14,False,True
cgrimes,megan38,2020-05-03T13:52:35,True,False
justin53,martinezarthur,2020-04-25T19:21:23,False,True
julielyons,pduncan,2021-07-28T20:46:46,True,False
desiree09,loriperry,2022-10-26T21:19:11,True,False
weberdana,laurie13,2022-08-21T00:18:01,False,True
melissa89,scottcharles,2023-02-15T08:50:23,False,True
savagedebbie,wesley90,2021-04-03T06:58:56,True,False
jessicamarshall,pmueller,2022-02-26T03:14:44,False,True
lauragonzalez,thomastroy,2024-01-27T13:43:52,True,False
rguzman,davisdaniel,2022-09-03T13:12:54,False,True
larrybrown,christopher81,2022-02-22T12:30:26,False,True
pcollins,richard26,2021-01-28T07:16:50,False,True
jacksontanya,jsimon,2020-07-24T09:25:16,True,False
juliehenson,bmoore,2022-01-19T01:36:25,True,False
nmartinez,susan77,2022-10-28T14:39:38,True,False
allentammie,melissa99,2020-04-01T03:52:57,True,False
marcusmcdonald,ritashea,2021-08-03T06:50:17,False,True
amanda25,xhamilton,2020-01-19T01:11:26,False,True
tylermunoz,victoriarivers,2023-02-18T23:17:39,False,True
beckycraig,xwhite,2022-07-05T12:53:54,False,True
brianedwards,roger00,2020-09-19T20:10:34,False,True
lwagner,moraemily,2021-03-28T20:47:21,False,True
jessicalowe,deanna40,2022-09-24T19:53:35,False,True
lpatrick,vdawson,2021-06-18T23:31:11,True,False
nmitchell,westwayne,2022-08-10T19:06:15,True,False
sanderstimothy,scott80,2023-04-30T23:44:13,False,True
melissa32,mclaughlinvirginia,2022-12-06T18:39:27,False,True
ohill,bsanders,2022-01-15T00:16:49,True,False
jeffrey65,smithraven,2023-12-23T12:06:25,False,True
johnsonkatrina,mcgrathspencer,2020-07-11T16:26:20,True,False
virginiaboone,phillip79,2020-08-30T08:34:05,True,False
michaelclark,christopher51,2020-11-23T17:25:39,True,False
timothygarner,bradley34,2022-04-29T12:22:46,False,True
angel91,kdavis,2023-11-30T07:46:24,True,False
mcastillo,williamsjerry,2022-11-30T13:48:27,True,False
billyjohnson,cooleysusan,2022-12-06T17:29:13,True,False
julianthomas,keithjohnson,2020-10-03T02:17:53,True,False
amanda53,johnstonbradley,2021-10-24T01:56:30,True,False
robinsonevelyn,kimberly20,2022-12-22T08:44:21,False,True
sheila04,isabel40,2024-02-24T19:07:36,False,True
krista77,thompsonmanuel,2020-09-17T20:35:31,True,False
longtammy,paynecody,2021-07-14T13:55:44,False,True
michael29,johnsglenn,2023-03-17T11:30:57,False,True
ymayer,richardsonsteven,2020-03-03T02:02:49,False,True
robertlloyd,jasonacosta,2021-08-07T06:54:42,True,False
acollier,bowenlogan,2021-03-26T18:59:08,True,False
sandra00,melissaperez,2023-06-14T10:34:50,False,True
ralphwalker,cadams,2023-09-30T11:39:33,False,True
jim16,peter71,2022-03-29T03:01:11,False,True
kristine67,heidibradford,2022-01-28T00:46:18,False,True
kwarner,pgarza,2020-01-15T09:02:42,False,True
douglaskimberly,patricia08,2020-06-11T08:48:59,True,False
dianavasquez,crystal48,2021-12-18T13:42:11,True,False
browningstephanie,jonescarla,2020-01-22T13:39:05,True,False
dillon74,paigeharvey,2020-01-08T23:15:39,True,False
bryanrobinson,ksanchez,2022-07-27T04:43:26,False,True
garciajohn,atkinsshane,2022-02-22T16:01:21,True,False
xmartin,crosbymary,2022-10-16T00:26:24,False,True
petersenjacqueline,walkerrobert,2023-01-28T00:39:58,True,False
dennisphelps,pattersongary,2021-02-03T05:53:48,False,True
simmonsalexa,james75,2020-09-01T07:32:25,True,False
shelia85,qrivera,2023-12-15T14:34:41,True,False
kevinlee,kimeric,2024-03-23T17:45:45,False,True
brendawright,ugreen,2022-09-10T02:33:56,True,False
vaughnjonathan,walkerdenise,2022-05-02T16:49:50,True,False
btaylor,williamscarrie,2023-11-27T10:44:26,False,True
kelsey93,lboyd,2024-03-13T04:49:26,True,False
pamelarodriguez,gfoster,2020-07-14T12:26:14,False,True
cburgess,angel29,2021-08-22T03:51:20,False,True
vincentrobinson,xmorrow,2022-11-13T00:18:07,False,True
sanderstimothy,lopezdennis,2023-03-27T06:07:08,False,True
molly82,tyler98,2021-10-24T07:29:59,True,False
harristimothy,ronald35,2022-03-21T07:42:00,True,False
hgillespie,kelly08,2022-10-13T19:15:18,False,True
morriswilliam,racheladkins,2021-04-04T15:12:49,True,False
sheri35,tford,2023-09-23T06:33:00,False,True
tbrowning,hartjoseph,2023-01-20T15:21:22,True,False
jonathonbrown,rmoyer,2023-05-21T05:01:28,False,True
sonya07,lopezjessica,2023-05-25T23:50:28,False,True
lindahoward,johnsmith,2020-01-02T06:41:11,True,False
kentholly,howard40,2023-06-11T19:41:08,True,False
erik25,xtaylor,2021-06-20T11:24:23,False,True
anthonystephens,wwhite,2021-06-07T02:40:08,False,True
zsanford,wprice,2020-08-25T19:09:15,True,False
davidnielsen,melinda56,2021-12-17T22:54:54,True,False
kylebowen,xhall,2022-09-20T03:41:55,False,True
davidharris,michelle04,2020-09-22T05:18:31,False,True
tammy91,blakecameron,2022-04-05T01:15:54,True,False
mlopez,morrisjoseph,2022-05-17T10:21:39,True,False
donaldbarton,anthonywilson,2020-11-26T11:40:36,False,True
ricardo09,nhiggins,2021-04-01T15:35:44,False,True
davisrobert,taylor60,2021-08-07T08:38:37,False,True
cmiller,sarah95,2024-02-12T08:45:26,False,True
katelyncook,summersmith,2021-09-05T15:00:03,True,False
andrewpatterson,clarkamanda,2023-01-14T22:21:52,True,False
yjuarez,sara75,2021-02-25T05:34:07,True,False
comptondawn,davissandra,2021-02-19T05:54:04,True,False
stephanieedwards,wilsonrobert,2022-04-16T15:28:25,False,True
mortonlindsey,lbowman,2024-01-07T22:06:49,True,False
jonathan74,ronaldharris,2020-03-16T06:49:24,False,True
brian03,wilsonamy,2020-06-16T01:28:28,False,True
dorseyashley,ginaturner,2023-05-08T18:45:06,False,True
shelia85,dixoncourtney,2021-09-17T22:56:44,True,False
henryrachael,tammy00,2020-01-07T20:56:37,True,False
martinmatthew,tward,2023-09-22T20:25:22,False,True
millerkatherine,christina35,2022-05-14T05:51:25,True,False
troy41,shannon12,2022-11-25T08:38:54,True,False
nicholsjeff,amy30,2024-02-29T07:52:11,True,False
fbarnes,adam32,2022-08-20T14:09:16,True,False
lcabrera,epitts,2021-03-18T11:15:28,False,True
beardrachel,fcunningham,2022-05-01T06:44:16,False,True
krystalsalazar,shawn69,2023-04-19T16:37:26,False,True
anthony84,collinsnancy,2021-07-30T17:52:29,True,False
ronaldfields,williamsthomas,2022-11-03T00:47:47,False,True
victorwalton,gravesvanessa,2023-08-21T23:35:40,False,True
perryrobert,bailey11,2021-09-19T02:06:52,False,True
gary98,carrollsuzanne,2022-02-05T00:12:56,True,False
smithandrea,fergusonpaul,2022-05-25T18:53:01,False,True
prandall,brandongardner,2020-08-28T13:25:18,True,False
frank14,valerierobles,2020-09-18T06:03:37,False,True
andrew05,davidbenitez,2020-04-06T03:02:42,False,True
cgarcia,sanchezchristine,2020-12-14T00:05:10,True,False
brian78,lisacunningham,2022-12-18T11:06:50,False,True
hubbardkatherine,rodriguezpamela,2024-03-08T07:57:46,True,False
michael49,youngdiana,2021-04-05T18:41:16,False,True
vchen,diazpeter,2023-07-09T15:59:05,True,False
zsims,padillamichael,2021-04-03T06:47:45,True,False
sandra68,jennifergillespie,2020-01-15T10:56:12,False,True
michaelmccarthy,sherry55,2021-11-28T22:16:03,False,True
paynecody,trose,2023-02-03T11:25:38,False,True
wheelerstephanie,khanwayne,2022-08-28T02:59:44,False,True
htorres,veronicatapia,2022-11-23T12:22:28,True,False
coopermarc,lori79,2023-07-02T00:54:59,True,False
shellylindsey,kpierce,2020-11-12T13:53:29,True,False
luis83,jean44,2022-11-03T13:32:13,False,True
brianedwards,jessica83,2022-10-16T18:52:56,False,True
simpsonmichael,bbaker,2020-01-16T21:58:00,False,True
brooksnatalie,freemantracey,2022-10-02T09:55:57,True,False
cramirez,lblack,2022-04-13T08:23:17,False,True
laurasmith,pattersonricky,2022-12-28T18:02:56,False,True
deanna73,michaelmccarthy,2021-08-11T14:12:33,True,False
davidnielsen,joshua76,2021-05-31T06:57:46,True,False
katieharris,jsmith,2021-05-09T15:52:21,False,True
helenrobles,deanna40,2022-06-07T18:49:07,False,True
larrybrown,douglasdavis,2021-08-21T13:56:43,False,True
jeffreywilliams,james62,2021-10-29T14:31:32,True,False
hollyyang,emily39,2024-03-12T19:45:17,False,True
ypadilla,tbright,2020-05-02T19:35:00,False,True
alicia41,rknapp,2021-09-02T09:52:35,False,True
lorrainemckay,melissa18,2020-09-22T20:36:27,False,True
morrisoncrystal,kgutierrez,2020-03-22T12:49:43,False,True
hendersoncrystal,morgansuzanne,2021-09-02T22:02:36,False,True
fwilliams,molinadavid,2021-03-13T22:10:16,True,False
barkerjose,gramos,2023-02-03T20:46:50,True,False
ginaturner,jason54,2022-03-24T20:29:24,True,False
washingtonwilliam,swest,2022-05-15T18:32:37,False,True
livingstongregory,rogersjordan,2020-09-11T22:17:44,False,True
chapmanjuan,ysalazar,2023-02-07T01:59:11,True,False
alex78,lparker,2023-07-29T04:34:31,True,False
vburns,wmyers,2020-04-30T16:54:18,False,True
mstephenson,humphreysally,2021-03-23T06:27:11,False,True
taylortina,hestermartha,2022-03-15T17:31:11,True,False
anthony49,abigailpeterson,2020-04-22T09:10:43,True,False
jessica11,raywilliam,2021-09-30T01:01:31,False,True
bcalderon,wwarren,2022-12-11T06:58:01,True,False
tmolina,strongjulie,2020-01-06T06:47:31,False,True
robertmurray,vrobinson,2022-09-27T20:50:43,False,True
elizabeth87,william46,2020-08-19T03:03:05,False,True
teresa36,hpeterson,2021-01-16T20:39:02,True,False
andrea10,brian83,2023-12-10T03:03:34,True,False
shanejones,blackburnisabella,2021-09-07T19:25:20,True,False
dwarner,paul56,2023-08-30T11:36:59,False,True
scottrachel,loristanley,2023-05-27T18:35:38,True,False
lbriggs,amandagonzalez,2022-05-21T14:54:09,False,True
houstonmichael,gerald22,2021-05-06T00:04:29,True,False
evansrachael,floresmatthew,2021-11-21T09:59:38,True,False
victoryork,burkepaige,2022-04-14T13:26:16,True,False
pbenjamin,johnsonkatrina,2020-01-26T06:17:33,True,False
aaronespinoza,dukealexander,2020-02-14T11:02:47,False,True
natashaflores,sparksjeremy,2024-04-14T08:20:52,False,True
lynn05,ashleygray,2020-09-02T02:08:07,True,False
jkline,michaeldavis,2020-06-23T00:58:25,False,True
aliciabishop,norriskristen,2022-03-27T15:18:28,True,False
donaldnelson,palmerronald,2023-03-16T14:23:54,True,False
william71,debbie64,2021-07-29T15:52:10,True,False
hernandezjasmine,humphreysally,2023-06-22T01:55:44,False,True
egibson,mstephenson,2023-04-01T06:45:56,True,False
madisonbarnes,yhall,2020-07-31T11:00:46,False,True
alicia49,jim19,2023-11-27T18:15:35,True,False
henryrachael,clarkegloria,2023-03-09T02:56:02,True,False
alejandrojoyce,blakebryan,2023-03-20T22:01:53,False,True
evansmelissa,arthur98,2021-03-02T21:29:34,False,True
robin87,xschmidt,2023-08-22T09:28:51,True,False
